,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
73,2007-02-10 15:42:00,209,121.33333333333331,52,0,0,0,41,35,11
74,2007-02-11 15:42:00,146,155.33333333333334,52,0,0,0,36,17,8
75,2007-02-12 15:42:00,166,173.66666666666663,36,0,1,0,33,18,7
76,2007-02-13 15:42:00,164,158.66666666666666,29,1,0,0,32,25,11
77,2007-02-14 15:42:00,64,131.33333333333334,23,0,1,0,14,6,4
78,2007-02-15 15:42:00,116,114.66666666666669,36,0,1,0,23,13,10
79,2007-02-16 15:42:00,166,115.33333333333331,30,3,0,0,26,22,10
80,2007-02-17 15:42:00,190,157.33333333333334,45,2,0,0,44,26,10
81,2007-02-18 15:42:00,104,153.33333333333334,32,1,2,0,19,18,7
82,2007-02-19 15:42:00,49,114.33333333333331,13,0,0,0,12,5,4
83,2007-02-20 15:42:00,137,96.66666666666669,45,2,1,0,31,20,8
84,2007-02-21 15:42:00,134,106.66666666666669,38,1,1,0,32,16,9
85,2007-02-22 15:42:00,104,125.0,23,0,0,0,24,13,6
86,2007-02-23 15:42:00,99,112.33333333333331,19,0,0,0,16,11,4
87,2007-02-24 15:42:00,109,104.0,25,2,2,0,27,13,9
88,2007-02-25 15:42:00,150,119.33333333333331,54,1,0,0,35,18,11
89,2007-02-26 15:42:00,64,107.66666666666669,21,1,0,0,17,8,7
90,2007-02-27 15:42:00,105,106.33333333333331,35,0,0,0,23,17,11
91,2007-02-28 15:42:00,70,79.66666666666667,16,0,0,0,21,9,6
92,2007-03-01 15:42:00,42,72.33333333333333,11,2,1,0,14,5,4
93,2007-03-02 15:42:00,136,82.66666666666667,42,1,2,0,44,35,17
94,2007-03-03 15:42:00,101,93.0,22,3,1,0,20,14,7
95,2007-03-04 15:42:00,129,122.0,42,0,0,0,30,20,13
96,2007-03-05 15:42:00,180,136.66666666666666,57,1,0,0,34,14,19
97,2007-03-06 15:42:00,135,148.0,24,0,0,0,23,22,23
98,2007-03-07 15:42:00,95,136.66666666666666,38,0,0,0,19,17,15
99,2007-03-08 15:42:00,115,115.0,29,2,1,0,22,11,14
100,2007-03-09 15:42:00,71,93.66666666666669,16,0,0,0,14,14,4
101,2007-03-10 15:42:00,139,108.33333333333331,35,2,2,0,20,18,22
102,2007-03-11 15:42:00,89,99.66666666666669,33,0,0,0,24,9,8
103,2007-03-12 15:42:00,109,112.33333333333331,25,1,0,0,24,15,6
104,2007-03-13 15:42:00,60,86.0,22,0,0,0,16,9,7
105,2007-03-14 15:42:00,49,72.66666666666667,13,0,0,0,12,7,0
106,2007-03-15 15:42:00,100,69.66666666666667,23,0,0,0,20,13,10
107,2007-03-16 15:42:00,70,73.0,15,0,2,0,16,13,10
108,2007-03-17 15:42:00,83,84.33333333333333,19,0,1,0,21,23,6
109,2007-03-18 15:42:00,86,79.66666666666667,12,2,0,0,15,10,3
110,2007-03-19 15:42:00,93,87.33333333333331,28,0,0,0,22,18,7
111,2007-03-20 15:42:00,97,92.0,26,1,0,0,24,6,8
112,2007-03-21 15:42:00,86,92.0,17,0,1,0,12,7,4
113,2007-03-22 15:42:00,95,92.66666666666669,18,0,0,0,21,9,7
114,2007-03-23 15:42:00,77,86.0,12,0,1,0,14,9,3
115,2007-03-24 15:42:00,91,87.66666666666669,20,2,0,0,14,15,7
116,2007-03-25 15:42:00,27,65.0,8,0,0,0,5,7,0
117,2007-03-26 15:42:00,84,67.33333333333333,27,0,0,0,21,15,3
118,2007-03-27 15:42:00,70,60.33333333333334,15,0,0,0,15,12,8
119,2007-03-28 15:42:00,43,65.66666666666667,12,0,1,0,10,6,1
120,2007-03-29 15:42:00,77,63.33333333333334,19,0,1,0,20,5,6
121,2007-03-30 15:42:00,66,62.0,12,0,0,0,10,4,1
122,2007-03-31 15:42:00,92,78.33333333333333,29,2,0,0,14,10,5
123,2007-04-01 15:42:00,97,85.0,27,1,0,0,25,22,9
124,2007-04-02 15:42:00,8542,2910.333333333333,500,84,56,0,707,545,242
125,2007-04-03 15:42:00,2003,3547.333333333333,106,23,15,0,169,134,59
126,2007-04-04 15:42:00,128,3557.666666666666,22,4,3,0,29,27,7
127,2007-04-05 15:42:00,63,731.3333333333335,17,1,2,0,14,6,5
128,2007-04-06 15:42:00,275,155.33333333333334,40,3,2,0,49,36,15
129,2007-04-07 15:42:00,84,140.66666666666666,32,0,0,0,25,15,9
130,2007-04-08 15:42:00,131,163.33333333333334,34,1,1,0,29,24,8
131,2007-04-09 15:42:00,133,116.0,29,1,1,0,31,29,8
132,2007-04-10 15:42:00,48,104.0,16,1,1,0,16,3,3
133,2007-04-11 15:42:00,64,81.66666666666667,23,1,0,0,11,6,5
134,2007-04-12 15:42:00,49,53.66666666666666,12,0,0,0,8,9,3
135,2007-04-13 15:42:00,93,68.66666666666667,27,0,1,0,17,10,8
136,2007-04-14 15:42:00,72,71.33333333333333,15,2,0,0,18,5,10
137,2007-04-15 15:42:00,161,108.66666666666669,49,5,1,0,32,21,19
