,unnamed: 0,unnamed: 0,mth_day,musicians,musicians_norm,musicians_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.481008538292595,-0.5388332349510725,
2,2,2,01-03,0.4581408531706825,-0.6693796046391071,
3,3,3,01-04,0.442932395356037,-0.7562012022634814,
4,4,4,01-05,0.4598199560914322,-0.6597939911645536,-0.7852998891206533
5,5,5,01-06,0.5163308650706208,-0.3371861725036753,-0.7751850978435534
6,6,6,01-07,0.2687786260667827,-1.7504051292020302,-0.9150812037806936
7,7,7,01-08,0.4916393292928194,-0.4781444872884729,-0.9488291019354472
8,8,8,01-09,0.31110803526864056,-1.5087562402619474,-0.8852671898049521
9,9,9,01-10,0.4074628693765636,-0.9586885911920036,-0.8793778106666358
10,10,10,01-11,0.5266244392411489,-0.2784225183815837,-0.7734600492692428
11,11,11,01-12,0.5225206871861073,-0.30184989767377673,-0.685807694913282
12,12,12,01-13,0.3800997155267881,-1.1148985608176745,-0.4438210937590131
13,13,13,01-14,0.5837632134450788,0.047769638847294016,0.019871009576399885
14,14,14,01-15,0.5654394308704375,-0.05683663333633417,0.15013780814931
15,15,15,01-16,0.8948099340830336,1.8234640288204744,0.0482383848042957
16,16,16,01-17,0.6635367167126817,0.5031782730558769,0.16044985408489984
17,17,17,01-18,0.4154229287699959,-0.9132464377438624,0.09814945003742484
18,18,18,01-19,0.498035582424106,-0.4416297451340497,-0.11248776674050387
19,19,19,01-20,0.5182845934207873,-0.3260327854375559,-0.16556595117166908
20,20,20,01-21,0.3440566887959853,-1.3206599340039065,-0.1837137947395996
21,21,21,01-22,0.8390239994155939,1.5049949222334833,-0.0012062695990148016
22,22,22,01-23,0.6444630723051866,0.3942912116482941,-0.002630653656877369
23,23,23,01-24,0.6072409606586433,0.18179871309964601,-0.1990476706452768
24,24,24,01-25,0.4965385343082965,-0.4501760494812251,-0.012727169148874543
25,25,25,01-26,0.3118474856953283,-1.5045348873679525,-0.3420488279885549
26,26,26,01-27,0.5398822136340191,-0.2027369250254931,-0.3663050494679975
27,27,27,01-28,0.49290220302241705,-0.4709350308045992,-0.4753211132892717
