,unnamed: 0,unnamed: 0,mth_day,dance,dance_norm,dance_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3409485416274436,-1.4689728061287113,
2,2,2,01-03,1.9063007696456813,0.07368640346878673,
3,3,3,01-04,1.7011614006523443,-0.4860710736316346,
4,4,4,01-05,1.5030682560172608,-1.0266017353761616,-0.8742107079033842
5,5,5,01-06,1.4106665317278633,-1.2787354741205843,-1.0435403984241765
6,6,6,01-07,1.4913527185309523,-1.058569561632,-1.2647760190020187
7,7,7,01-08,0.9686138722073082,-2.4849509492534647,-1.259752965077518
8,8,8,01-09,1.4198314954241318,-1.2537273199982673,-1.1294086865742547
9,9,9,01-10,1.7122064637875003,-0.4559327500846284,-1.1987633525661745
10,10,10,01-11,1.789678913002778,-0.2445360643565822,-0.8542029450541863
11,11,11,01-12,1.2581643535485765,-1.6948634700721033,-0.2782503942574254
12,12,12,01-13,2.2489976715906765,1.0087928834399291,-0.1874401553352021
13,13,13,01-14,2.235061014129317,0.9707643555271004,-0.023878130770530515
14,14,14,01-15,1.6195117770397045,-0.7088658864649277,-0.3189433055875959
15,15,15,01-16,2.0718587619678783,0.5254393973034015,0.11757454502931305
16,16,16,01-17,1.1408677447722648,-2.0149271132589743,0.20093057999676675
17,17,17,01-18,2.2180121457789497,0.9242436336293504,0.08535443144695846
18,18,18,01-19,2.4322870972568102,1.5089290932446515,0.013904690488742636
19,19,19,01-20,1.9809236154794256,0.2773074642282508,-0.10112591432700298
20,20,20,01-21,1.4624027927971273,-1.1375643322142226,0.047610480063059235
21,21,21,01-22,1.818920945300637,-0.16474423159107218,-0.3458843935170249
22,22,22,01-23,1.4679203488704606,-1.1225087469186008,-0.7205512657867855
23,23,23,01-24,1.3527664630971632,-1.4367256078511543,-1.0233965727266685
24,24,24,01-25,1.608441818852384,-0.7390721403739121,-1.1372534673884316
25,25,25,01-26,1.3150049162950392,-1.5397643774110472,-1.4123200325949603
26,26,26,01-27,1.2120458169784936,-1.8207057001848008,-1.227128279506971
27,27,27,01-28,1.2140842016102027,-1.8151436228302449,-0.9984306576018316
28,28,28,01-29,1.8751336967085064,-0.011358228390661999,-1.0506688585481656
29,29,29,01-30,1.855643738708584,-0.06453987642032144,-1.0309831650789347
30,30,30,01-31,1.49357659220114,-1.0525013460519144,-0.86206287935279
31,31,31,02-01,1.358291277639166,-1.4216502165956622,-0.6765431077335672
32,32,32,02-02,1.5834802568027126,-0.8071839858279333,-0.8854564952523004
33,33,33,02-03,1.6220188208981323,-0.7020249931149078,-0.8500725673320945
34,34,34,02-04,1.4157594615109483,-1.2648385535030615,-0.5123672387616746
35,35,35,02-05,1.9334485410703883,0.1477636911009147,-0.3617550840430124
36,36,36,02-06,2.2361480897805657,0.9737306253706044,-0.07740816342547847
37,37,37,02-07,1.6894684425259192,-0.5179772882836899,-0.19896009691570027
38,38,38,02-08,2.2087233335669896,0.8988975378772704,-0.10509892498857763
39,39,39,02-09,1.3547414235659574,-1.4313365940562386,-0.12164700532646015
40,40,40,02-10,1.6221483606661171,-0.7016715219403258,-0.2686263331596789
41,41,41,02-11,1.8970613959501603,0.04847520907361963,-0.34407399157181223
42,42,42,02-12,1.9129590538113816,0.09185465837129178,-0.4019654378208353
43,43,43,02-13,1.5235685411736783,-0.9706632387564901,-0.26154467271577564
44,44,44,02-14,2.081427332286359,0.5515488603831319,-0.24100773616300164
45,45,45,02-15,1.6635090058742408,-0.5888120034258804,-0.4394196327006159
46,46,46,02-16,1.6673064983722767,-0.5784499026236817,-0.5671344385521561
47,47,47,02-17,1.4607786171938657,-1.1419961701520658,-0.5050619625619166
48,48,48,02-18,1.6321302761142369,-0.6744341767379485,-0.5105574050063836
49,49,49,02-19,1.6600581004283623,-0.5982283828150537,-0.5853894236269864
50,50,50,02-20,2.069343546273493,0.5185762057163299,-0.20884538933717053
51,51,51,02-21,1.498962818909337,-1.0378041151494979,0.11979551177587973
52,52,52,02-22,2.4952794197082864,1.6808143031152138,0.15263167815272635
53,53,53,02-23,2.1834185800823445,0.8298492365262358,0.3862011627866071
54,54,54,02-24,1.7043328716268442,-0.4774171784768689,0.5273587125446633
55,55,55,02-25,2.1736479887717106,0.8031885249882309,0.6809384790152349
56,56,56,02-26,2.379731225266319,1.3655215042646671,0.3179384441972534
57,57,57,02-27,1.8366653883912096,-0.1163255163260683,0.10285664577432836
58,58,58,02-28,1.6970880479071633,-0.4971859057926747,0.20894824057339914
59,59,59,02-29,1.7104807859613864,-0.4606415540113146,-0.017657306829688597
60,60,60,03-01,1.9376149307641133,0.15913239031755586,-0.338806114497823
61,61,61,03-02,1.6753709215804895,-0.5564447594302956,-0.466803539901909
62,62,62,03-03,1.6735654325455045,-0.5613713417441395,-0.5738939160346862
63,63,63,03-04,1.5552151658821995,-0.8843100687505844,-0.670988970689193
64,64,64,03-05,1.461609794372061,-1.1397281625893376,-0.7453849127496764
65,65,65,03-06,1.496980985861789,-1.0432118819383571,-0.8069255383305
66,66,66,03-07,1.7740276212491983,-0.28724326204534484,-0.9440187831899276
67,67,67,03-08,1.5400508344116617,-0.9256885129152368,-0.7554388895939589
68,68,68,03-09,1.3721146482945243,-1.3839308109007051,-0.6033951883452469
69,69,69,03-10,1.969878608101847,0.24716929282522795,-0.5702039840454095
70,70,70,03-11,1.7959347498346216,-0.22746595509706474,-0.5341944912413202
71,71,71,03-12,1.5699642650647865,-0.8440646561393329,-0.2030268549615057
72,72,72,03-13,1.8532079620267712,-0.07118630522080925,-0.008065675154533825
73,73,73,03-14,2.268246769794604,1.0613173047636508,-0.2972896974847501
74,74,74,03-15,1.800809735434454,-0.2141637320588739,-0.418050209146279
