,unnamed: 0,unnamed: 0,mth_day,science fiction,science fiction_norm,science fiction_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.9260070863923575,-1.2600809075416397,
2,2,2,01-03,5.682142886258992,-0.3222359353149093,
3,3,3,01-04,6.026001364101832,0.10425616393409336,
4,4,4,01-05,4.582396415600765,-1.6862656485130203,-1.0594267481165236
5,5,5,01-06,5.320031158104149,-0.7713677760427945,-1.2643305247177898
6,6,6,01-07,3.9901259102587328,-2.4208663852208705,-1.5401234654053193
7,7,7,01-08,3.9347873074033233,-2.4895035671492374,-1.5081579735976394
8,8,8,01-09,4.347997551070772,-1.976993579440086,-1.302855768282561
9,9,9,01-10,6.180634081226135,0.2960491147801744,-1.2093855319963345
10,10,10,01-11,5.575543589136635,-0.4544524166225514,-0.7950025955490636
11,11,11,01-12,5.772192404180049,-0.2105463583254328,-0.2532567335664368
12,12,12,01-13,5.994698834658176,0.0654312334627536,-0.012212371964908616
13,13,13,01-14,6.555476991554926,0.7609716047465234,-0.1545819702082296
14,14,14,01-15,5.5140470148547545,-0.5307274098309168,-0.10033647068033276
15,15,15,01-16,5.4919227063249565,-0.5581684746797513,-0.1556014042589191
16,16,16,01-17,5.837955600008567,-0.12897941945517058,-0.03930593230011633
17,17,17,01-18,5.504848892233908,-0.542135959796951,-0.4491048890751475
18,18,18,01-19,6.557276908739986,0.7632040652155703,-0.6145755976469884
19,19,19,01-20,4.5730790187009065,-1.6978221359036638,-0.652320036628928
20,20,20,01-21,4.713584271315819,-1.5235516612619622,-0.5170236034639896
21,21,21,01-22,5.309334395429411,-0.7846351085713891,-0.7108607486008179
22,22,22,01-23,6.492450616177665,0.6827991795344596,-1.0351666270920676
23,23,23,01-24,4.5671638219568536,-1.7051588306179208,-0.9608232465157436
24,24,24,01-25,4.988450767343456,-1.1826312057319297,-1.0641008079343148
25,25,25,01-26,4.932714309404019,-1.2517618524457184,-0.969237339841567
26,26,26,01-27,4.2139801971407875,-2.1432170297733912,-1.196889804034921
27,27,27,01-28,5.768235385136429,-0.21545430001490012,-1.0592561816952466
28,28,28,01-29,5.391184309685143,-0.6831156056256645,-1.1109331729548837
29,29,29,01-30,5.232964965205031,-0.8793570965798749,-1.039536468622277
30,30,30,01-31,4.738463887136394,-1.4926931532897505,-0.8702881387777781
31,31,31,02-01,5.278095085995688,-0.82338162645008,-0.4598239228499226
32,32,32,02-02,5.032717142283508,-1.1277270507063983,-0.3223910491680017
33,33,33,02-03,7.753851541868611,2.2473309955522325,-0.11739339071777664
34,34,34,02-04,6.056014333496328,0.14148163646586093,0.23994877093400235
35,35,35,02-05,6.2246388966119435,0.35062885412147543,0.3908262565281566
36,36,36,02-06,6.467102687119112,0.651359816620923,0.4975394870632382
37,37,37,02-07,6.007963272935365,0.08188328711484595,-0.0829093236228891
38,38,38,02-08,5.548941228245698,-0.4874476674959088,-0.25123179261007944
