,unnamed: 0,unnamed: 0,mth_day,foreign,foreign_norm,foreign_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.224165769831248,-0.04985657011906197,
2,2,2,01-03,1.8357354910036656,-0.9233884145616321,
3,3,3,01-04,1.8892935941623241,-0.8029428386445316,
4,4,4,01-05,1.8916024431477847,-0.7977505217147154,-0.9363201544360296
5,5,5,01-06,1.7181450170587609,-1.1878349039136216,-0.9433142698025002
6,6,6,01-07,1.42096876790094,-1.8561476776626145,-1.0501813149153587
7,7,7,01-08,2.205505480346204,-0.09182126231788687,-1.0438209739273427
8,8,8,01-09,1.55061437221613,-1.5645906852387843,-0.7054069180976129
9,9,9,01-10,1.9062629745401405,-0.7647807927164347,-0.6451790055554646
10,10,10,01-11,2.7944906451159532,1.2327338132636632,-0.29004469287958184
11,11,11,01-12,1.878832998916219,-0.8264674286607315,-0.048564216191509225
12,12,12,01-13,2.3684665904809203,0.27465819839268185,0.3540144637810796
13,13,13,01-14,2.8497750360912812,1.3570615978105491,0.4946445862266245
14,14,14,01-15,2.6246936967878405,0.8508813945967489,0.2886072296142199
15,15,15,01-16,2.281463933868221,0.07899994195683435,0.4708971167601242
16,16,16,01-17,2.244783281472503,-0.0034903264107638853,0.2796963741042739
17,17,17,01-18,2.365182149038271,0.26727189421469405,-0.07337028507311287
18,18,18,01-19,1.8583432909972315,-0.8725462575424202,-0.32721255906485064
19,19,19,01-20,1.9077937099965687,-0.7613383572537716,-0.1304171650298055
20,20,20,01-21,1.947442884063836,-0.6721722493536777,-0.3369259595901737
21,21,21,01-22,2.806513754982386,1.2597723061671051,-0.35093794772302705
22,22,22,01-23,1.6938181220790125,-1.2425430937729731,-0.2102663189628024
23,23,23,01-24,2.327798185360247,0.18319996541757355,-0.2269044856388533
24,24,24,01-25,2.2336549891116766,-0.028516484981072163,-0.5278521587337486
25,25,25,01-26,1.8634031058375484,-0.8611673573100774,-0.9331370737333372
26,26,26,01-27,1.1445149359886866,-2.477858287923049,-0.6132309154384904
27,27,27,01-28,1.7252141993489367,-1.1719371838304269,-0.5235197223692162
28,28,28,01-29,2.5473272807136813,0.6768938559961074,-0.3533565038357522
29,29,29,01-30,2.5671475161915005,0.7214671238332192,-0.2764022340190618
30,30,30,01-31,2.6876502052562983,0.9924628262197122,0.22874008390558945
31,31,31,02-01,2.068716984240766,-0.3994417384099353,0.4818055132669126
32,32,32,02-02,2.4922338953882264,0.5529956196248585,0.15674359938883492
33,33,33,02-03,2.4003923917444387,0.34645539233751144,0.2271965956529813
34,34,34,02-04,1.6800625737850232,-1.2734776272723585,-0.00882046992142238
