,unnamed: 0,unnamed: 0,mth_day,romantic,romantic_norm,romantic_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.2208000063626545,-0.2508045381821589,
2,2,2,01-03,2.9686956819451082,-0.7596480372721569,
3,3,3,01-04,2.631187961850816,-1.440868439418954,
4,4,4,01-05,2.534007500703613,-1.6370159906661172,-1.1231811279437394
5,5,5,01-06,3.1059354798703884,-0.4826453355055566,-1.442385833530567
6,6,6,01-07,2.2708820179354583,-2.168104426617493,-1.6715166291993468
7,7,7,01-08,2.2719084104580056,-2.166032771703126,-1.4700090488724231
8,8,8,01-09,2.2875644750183683,-2.1344328112848374,-1.308817077543771
9,9,9,01-10,3.2302043489425407,-0.2318229574574084,-1.2107619505132077
10,10,10,01-11,3.013178716678859,-0.6698641626942078,-0.8368763611355171
11,11,11,01-12,3.397421427120484,0.1056854266778236,-0.5331338303907462
12,12,12,01-13,3.3823220668474034,0.07520910964865002,0.2485232362015165
13,13,13,01-14,3.1748359979841965,-0.343577587234501,0.37405091803737495
14,14,14,01-15,4.611176277686874,2.55550958826874,0.21214017345847566
15,15,15,01-16,3.6033572513362015,0.5213431335577419,0.0819390931675454
16,16,16,01-17,2.531870821999998,-1.6413286301676036,0.007111270997025456
17,17,17,01-18,3.0103760336678995,-0.675521055067758,0.06352886394551979
18,18,18,01-19,3.159883329715002,-0.3737578233744696,-0.6656450778047494
19,19,19,01-20,3.3425471215140896,-0.005072029543534975,-0.8842220384135845
20,20,20,01-21,2.4435797066792806,-1.8195340622328755,-0.8287411481803876
21,21,21,01-22,2.9535991577053164,-0.7901186300952692,-0.8183356536809788
22,22,22,01-23,2.6967974335259948,-1.3084432887684216,-0.965250293717438
23,23,23,01-24,3.0413081788052003,-0.6130880880713055,-1.216683877246124
24,24,24,01-25,2.7231539682550334,-1.255245663593224,-1.2671743721696638
25,25,25,01-26,2.5951169923123687,-1.513673530715653,-1.1732974737207371
26,26,26,01-27,2.293487914586382,-2.122477031774113,-0.9496694717858921
27,27,27,01-28,3.232664592608657,-0.22685723940170785,-0.8116600724467578
28,28,28,01-29,3.361570627438709,0.033324722840649364,-0.7663201203050006
29,29,29,01-30,3.4515651609132885,0.21496830796349964,-0.4267859000295817
30,30,30,01-31,2.8579348746547018,-0.9832059507426818,-0.25519129107490196
31,31,31,02-01,3.604441612226988,0.5235317909368608,-0.4062502977747613
32,32,32,02-02,2.803582783145109,-1.092909378046035,-0.4953013580869226
33,33,33,02-03,2.783615379252964,-1.1332112796008635,-0.6007189962814062
34,34,34,02-04,3.0968508371045944,-0.5009816390323181,-0.38564202978705103
35,35,35,02-05,3.1381928666077683,-0.4175375212034023,-0.3785157844754856
36,36,36,02-06,3.4972886260474616,0.30725584822344937,-0.4565257305434178
37,37,37,02-07,3.6256256178764894,0.5662892628062529,-0.29059598934753555
38,38,38,02-08,2.5716846283708823,-1.560969054453628,-0.12429017966743368
39,39,39,02-09,3.2768704415238985,-0.13763283242556976,-0.05424737876419286
40,40,40,02-10,3.5912238284596403,0.49685321904829294,-0.08809700423121088
41,41,41,02-11,3.3464072944261862,0.0027192842160426232,-0.15199416853341918
42,42,42,02-12,3.3966647174145215,0.10415809542134123,0.4613112587871671
43,43,43,02-13,3.4356801654839932,0.18290627699300327,0.7235302859688524
44,44,44,02-14,4.39484185482008,2.1188635094698896,0.5774426262463549
45,45,45,02-15,4.056362180912785,1.4356813306645424,0.5228658627878133
46,46,46,02-16,3.156952810050893,-0.37967273928669176,0.4510301452416982
47,47,47,02-17,3.184168357245482,-0.3247412965352069,0.4875519081300941
48,48,48,02-18,3.1831205325317367,-0.3268562098553493,0.3105663201192221
49,49,49,02-19,3.5442474681141687,0.4020368543233788,0.1831865719195152
50,50,50,02-20,3.868721361856116,1.0569499814046568,0.10164303486373724
51,51,51,02-21,3.677703688604707,0.6714028414663012,0.1947580128146181
52,52,52,02-22,2.9145504404795592,-0.8689339616213595,0.17895868194059253
53,53,53,02-23,3.46096885073446,0.23394857117007825,0.1180322724360234
54,54,54,02-24,3.1361542691124087,-0.4216521950995027,0.08172440668563777
55,55,55,02-25,3.36313310189188,0.036478397295963895,-0.06085579787635523
56,56,56,02-26,3.760789905731627,0.8391027869023432,-0.15567190255550406
57,57,57,02-27,3.2538591916931816,-0.1840783859056567,-0.33978826701201764
58,58,58,02-28,2.6326930514380726,-1.4378305896962522,-0.3889409706631994
59,59,59,02-29,2.913650882535584,-0.8707496155690038,-0.5181679322704987
60,60,60,03-01,2.9900392946327763,-0.7165684170065929,-0.9789973914359976
61,61,61,03-02,2.978983445927286,-0.7388833723478327,-0.9537272040831992
62,62,62,03-03,2.3908940574121806,-1.9258739680906487,-0.5708770683243457
63,63,63,03-04,3.3289792259104836,-0.03245726178886569,-0.6500167091551355
64,64,64,03-05,3.77078177617873,0.8592702248568683,-0.3650190725999372
65,65,65,03-06,2.678394513275005,-1.345587460553743,-0.2809503758510702
66,66,66,03-07,3.837244418638551,0.9934174023245974,0.2453076571355273
67,67,67,03-08,3.2288922925935752,-0.2344711918546308,0.4242669984082654
68,68,68,03-09,3.955287739705379,1.2316742298289356,0.3446065691965077
69,69,69,03-10,3.860967044292258,1.0412987858475626,0.3578544043770389
70,70,70,03-11,3.533977272729351,0.3813076495863221,0.0817296835280622
71,71,71,03-12,2.7177760112501868,-1.2661004494705552,0.1697783783282659
72,72,72,03-13,3.0164155823172747,-0.6633309227692631,-0.01810833811816474
73,73,73,03-14,3.4906323768216265,0.2938209769465913,-0.4015599923593676
