,unnamed: 0,unnamed: 0,mth_day,ewan mcgregor,ewan mcgregor_norm,ewan mcgregor_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.30707230116472,-0.8301828415423037,
2,2,2,01-03,0.4301432931848864,-0.01952186423424657,
3,3,3,01-04,0.3153470903293377,-0.7756773194765684,
4,4,4,01-05,0.15648544696062944,-1.8220890933325773,-0.8861385847724621
5,5,5,01-06,0.2432310821344333,-1.2507009844622012,-0.8270010507955409
6,6,6,01-07,0.33918486094895195,-0.6186594055868739,-0.922705459359616
7,7,7,01-08,0.3609403064781193,-0.4753576376807772,-0.6945232119797381
8,8,8,01-09,0.3429667533065535,-0.593748315618697,-0.5278888325174514
9,9,9,01-10,0.5231968548981407,0.593416164802698,-0.5552970032188745
10,10,10,01-11,0.3082716482887489,-0.8222828165588572,-0.4411046948752511
11,11,11,01-12,0.2182651529573561,-1.4151500086707398,-0.22399741819693
12,12,12,01-13,0.4432019116938179,0.0664944444748669,-0.2502584604546885
13,13,13,01-14,0.5587019503479763,0.8272860223891492,-0.390909154744272
14,14,14,01-15,0.3190457361666029,-0.7513145691652486,-0.3541807388361568
15,15,15,01-16,0.3950790278970792,-0.2504880009348028,-0.1581242725983527
16,16,16,01-17,0.3417273298202651,-0.6019123211101656,-0.19900944195233167
17,17,17,01-18,0.396851746864804,-0.23881121124391544,-0.4471384263772486
18,18,18,01-19,0.4059598697639181,-0.17881657164900733,-0.3319678589518253
19,19,19,01-20,0.3326828292830693,-0.6614878841603519,-0.3284367004263933
20,20,20,01-21,0.42395387691594616,-0.06029116461270888,-0.1166415705805884
21,21,21,01-22,0.3982955378429395,-0.2293010497822112,0.0719451659662561
22,22,22,01-23,0.5346501727703677,0.6688584579646643,-0.12436277673600915
23,23,23,01-24,0.5686342112859041,0.8927092080371515,-0.11758704113352345
24,24,24,01-25,0.2271442075370323,-1.3566642278625989,-0.20187933143060927
25,25,25,01-26,0.3388548039477439,-0.6208334705454376,-0.19611230822034686
26,26,26,01-27,0.34717256331950763,-0.5660449063952244,-0.2971434208439392
27,27,27,01-28,0.40354868277546496,-0.19469891052063665,-0.29402799884856384
28,28,28,01-29,0.4426215718863636,0.06267178222311066,-0.2849534705547849
29,29,29,01-30,0.5714720294584686,0.9114017400094035,-0.3078406871444171
30,30,30,01-31,0.2354101379110761,-1.3022170580999253,-0.1810881642146548
31,31,31,02-01,0.3180069832499723,-0.7581567700832307,-0.117583716303562
32,32,32,02-02,0.4626306340150466,0.19447023118334952,-0.29768854219878466
33,33,33,02-03,0.4613944823455696,0.18632777694592007,-0.4396898293826895
34,34,34,02-04,0.2785652261807929,-1.0179571731482249,-0.38953974969064814
35,35,35,02-05,0.44212395594026394,0.05939401690597473,-0.10608080657750717
36,36,36,02-06,0.28109152801389226,-1.0013165799476769,0.0642021991880314
37,37,37,02-07,0.5762079400181089,0.9425968885956152,0.11301831937305415
38,38,38,02-08,0.617740345944181,1.2161682657765809,0.43612862734393204
39,39,39,02-09,0.5058607771784346,0.4792244980560566,0.29575206804806004
40,40,40,02-10,0.572884360174136,0.9207046746770424,0.3171501012028803
41,41,41,02-11,0.31425583676948826,-0.7828653388692577,-0.02016385965091548
42,42,42,02-12,0.30058286094857284,-0.8729283810187553,-0.13852772333512234
43,43,43,02-13,0.2689507885337881,-1.0812868765271593,-0.15914026969408274
44,44,44,02-14,0.5099234518487388,0.5059850836713397,-0.6219705907166116
45,45,45,02-15,0.4870849391933659,0.3555492199022943,-0.4781222948834925
46,46,46,02-16,0.1512951508274343,-1.8562772514581312,-0.42817261765433295
47,47,47,02-17,0.4452863387732737,0.08022443612945726,-0.4227361546958999
48,48,48,02-18,0.3460817057166521,-0.5732303176437978,-0.6979817607021715
49,49,49,02-19,0.2739028282256234,-1.0486680987765604,-0.7889590701105228
50,50,50,02-20,0.2592039718544939,-1.1454885523662908,-0.34452831756224794
51,51,51,02-21,0.40421428400980014,-0.1903146365478129,-0.11411178878035655
52,52,52,02-22,0.5561243097343903,0.8103072638315179,-0.030849961938244057
53,53,53,02-23,0.6551712961264473,1.4627236088208055,0.16042896099146312
54,54,54,02-24,0.42192437667558336,-0.07365935659112291,0.4163413288399251
55,55,55,02-25,0.4481375881792579,0.09900543880168254,0.4210391197451155
56,56,56,02-26,0.49231292760509104,0.38998565472448105,0.2396277965815851
57,57,57,02-27,0.4084934720047002,-0.16212789111667048,0.3690933101646389
58,58,58,02-28,0.39087788393825296,-0.2781606751496643,0.5543172290587653
59,59,59,02-29,0.7731006128327473,2.2395166903191286,0.498739316696825
60,60,60,03-01,0.5906436717860506,1.0376841567736357,0.5238133970325699
61,61,61,03-02,0.39751201965979577,-0.23446203536995944,0.5172751696434373
62,62,62,03-03,0.5151527486446634,0.5404301367389508,0.5592701895189728
63,63,63,03-04,0.4025378420679589,-0.20135725545146613,0.4040628495971249
64,64,64,03-05,0.4291308816820291,-0.026190555896451875,0.1280877622379677
65,65,65,03-06,0.6317232294800444,1.3082726507880411,0.04006984677970641
66,66,66,03-07,0.3392597118456417,-0.6181663673813077,-0.13462905922080842
67,67,67,03-08,0.3173370576901219,-0.7625695281195272,-0.21187656014018755
68,68,68,03-09,0.3560206211475418,-0.5077632992641382,-0.4047822465554696
69,69,69,03-10,0.332173582516726,-0.6648422609677409,-0.627530786751072
70,70,70,03-11,0.2534143131680514,-1.1836246743881438,-0.5494969472587982
71,71,71,03-12,0.42882299438584254,-0.028218590385573825,-0.4298270977609495
72,72,72,03-13,0.41034024222479504,-0.14996333042766447,-0.3250605845530142
73,73,73,03-14,0.4263435659953134,-0.04455043113243577,-0.17545214027437872
74,74,74,03-15,0.4514517747758588,0.12083577998347372,0.4734480285091671
75,75,75,03-16,0.4684509672733522,0.23280840470407185,0.1229663515486748
76,76,76,03-17,0.8444933688746891,2.7097763383131306,-0.14930798567519046
77,77,77,03-18,0.10957145366172552,-2.1311086521485274,-0.38235778083670624
78,78,78,03-19,0.1623272721540224,-1.783609353770856,-0.4399471348329405
79,79,79,03-20,0.2140599829675461,-1.4428492021015304,-0.37025405556363616
80,80,80,03-21,0.3989939968056944,-0.22470034399393202,-0.7489494888186234
81,81,81,03-22,0.5319339519688446,0.6509668803198981,-0.4758997629604336
82,82,82,03-23,0.4995420961567433,0.4376037387832069,-0.046695911921462566
83,83,83,03-24,0.3582907203306967,-0.4928102969993882,-0.005537492291823432
84,84,84,03-25,0.5532863428741782,0.7916137524629703,0.18296020412361386
85,85,85,03-26,0.2515509268436598,-1.1958986843236956,0.3558693885630855
86,86,86,03-27,0.5706953551347883,0.9062858344986916,0.3603679530838933
87,87,87,03-28,0.6894358334263292,1.688421986956728,0.3763852218753708
88,88,88,03-29,0.5036398100993658,0.4645951259080534,0.4775164943105907
89,89,89,03-30,0.3728807490711947,-0.3967066842505229,1.0003592887596904
90,90,90,03-31,0.6454061786965052,1.3984013870742895,0.9442959700753468
91,91,91,04-01,0.7278051183094055,1.9411580823709031,0.4623298750222252
92,92,92,04-02,0.5196276330692455,0.5699059223926319,0.4453860176936909
93,93,93,04-03,0.25041596865936144,-1.2033745833620029,0.6278530306542711
94,94,94,04-04,0.4882057577264825,0.3629319819368477,0.4155479339741479
95,95,95,04-05,0.5390887960201346,0.6980953935129587,0.16751435950455476
96,96,96,04-06,0.4520188101855052,0.12457080699354993,0.3632885829036343
97,97,97,04-07,0.5018729055687844,0.4529566355533447,0.4107247338238687
98,98,98,04-08,0.697957133761714,1.744551262787109,0.2712685446138399
99,99,99,04-09,0.2936252582252,-0.9187576778405964,0.3956638693200881
100,100,100,04-10,0.3611759978402493,-0.4738051533233253,0.4268412636931229
101,101,101,04-11,0.6523997097767564,1.4444673417504474,0.5208804204951142
102,102,102,04-12,0.4804181013429621,0.3116351732317589,0.036796837004842084
103,103,103,04-13,0.5875325781593624,1.0171915763652917,0.2633379076787203
104,104,104,04-14,0.25700846218268025,-1.1599502381545237,0.19019567363360826
105,105,105,04-15,0.4999800853224217,0.4404887462026729,-0.06995182066392791
106,106,106,04-16,0.29455119989528233,-0.9126585575939974,-0.2127138511392156
107,107,107,04-17,0.4154330041553128,-0.11641762403476966,-0.20503428354205988
108,108,108,04-18,0.3503770715767282,-0.5449370096199673,-0.1751947166855595
109,109,109,04-19,0.5945278476660286,1.063268981948226,-0.10718783754827622
110,110,110,04-20,0.28418913472480545,-0.9809128370155212,0.17152481081021104
111,111,111,04-21,0.5619271209926028,0.8485300210263725,0.20588927421191008
112,112,112,04-22,0.5484287868191096,0.7596173325569263,0.20917332323374635
113,113,113,04-23,0.4467353763143761,0.08976915637542415,-0.01406084501474558
114,114,114,04-24,0.3533684910401571,-0.5252327154889492,0.0404337021882874
115,115,115,04-25,0.3911852570528497,-0.27613602754272565,-0.21358964127839208
116,116,116,04-26,0.3338278727795555,-0.6539455537973233,-0.37829606593433657
117,117,117,04-27,0.3305388655923908,-0.6756100397737044,-0.5655219888973003
118,118,118,04-28,0.3983987473186472,-0.2286212153787403,-0.6719040110634175
119,119,119,04-29,0.276192468371834,-1.0335863814023585,-0.7155999071608451
120,120,120,04-30,0.25646578052924923,-1.1635248484856522,-0.6661407695007934
