,unnamed: 0,unnamed: 0,mth_day,alien,alien_norm,alien_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.028976293354211,-0.9974529467975256,
2,2,2,01-03,2.460362650799093,-0.06499198810648266,
3,3,3,01-04,2.2407386215919485,-0.5397191770678296,
4,4,4,01-05,1.5946123424293273,-1.9363501073364882,-1.0595705257998451
5,5,5,01-06,2.262997679650784,-0.4916052247860797,-1.1771532799662598
6,6,6,01-07,1.4137446617880958,-2.3273037107046624,-1.4415684955224772
7,7,7,01-08,1.7025909650758604,-1.7029494717960163,-1.2964732244556554
8,8,8,01-09,1.7264008760224587,-1.6514832814437863,-1.020134908931979
9,9,9,01-10,2.643492988203879,0.33085244933310104,-1.2540381974470511
10,10,10,01-11,2.3616701687873616,-0.2783202141944287,-1.0019317634544471
11,11,11,01-12,1.6137306834097394,-1.895024955876512,-0.7782621921436322
12,12,12,01-13,2.113539812897618,-0.8146651067490397,-0.7206410693847648
13,13,13,01-14,2.323451285755522,-0.3609320439311257,-0.888876966131929
14,14,14,01-15,1.8863451569737528,-1.3057565448905823,-0.8774743131276712
15,15,15,01-16,2.1765050461599973,-0.6785629311498843,-0.7785333845830499
16,16,16,01-17,2.393321567586641,-0.2099042961688811,-0.7226573534226869
17,17,17,01-18,1.8883701717610404,-1.3013793846087829,-0.7124367756670767
18,18,18,01-19,2.2686400816611427,-0.479408919786861,-0.4933942919049525
19,19,19,01-20,2.35182148893377,-0.29960857739746505,-0.2563183396276838
20,20,20,01-21,2.494361642694295,0.008498357682163702,-0.34679018312282234
21,21,21,01-22,2.8345786987077637,0.7438927825137285,-0.21582046265337892
22,22,22,01-23,2.1421905020792256,-0.7527353571397123,-0.3429811076542861
23,23,23,01-24,2.251914940830181,-0.5155610617921236,-0.4059056837083824
24,24,24,01-25,1.9156685157462288,-1.2423727897923038,-0.6822153721027662
25,25,25,01-26,2.177155922050337,-0.6771560337220431,-0.8961145566504332
26,26,26,01-27,1.7273832793073236,-1.6493597726841398,-0.7730385767576672
27,27,27,01-28,2.240838944421565,-0.5395023247722739,-0.7541360896987692
28,28,28,01-29,2.4838238851825603,-0.014279477783116482,-0.6940127996965321
29,29,29,01-30,2.3043843228218983,-0.4021461394387352,-0.43324747220212095
30,30,30,01-31,2.0825582937895435,-0.8816330497788817,-0.19245521436653626
31,31,31,02-01,2.9009863648839738,0.8874359312444237,0.040821885198169434
32,32,32,02-02,2.3957726249874085,-0.20460622567063166,-0.08941016008244222
