,unnamed: 0,unnamed: 0,mth_day,female protagonist,female protagonist_norm,female protagonist_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4273666179312642,-1.6745951614090273,
2,2,2,01-03,0.6988429393774357,-0.2299095454794613,
3,3,3,01-04,0.6657935546682804,-0.4057848131650311,
4,4,4,01-05,0.3814189310561519,-1.9191099019952416,-1.159939758265574
5,5,5,01-06,0.5899722936555554,-0.8092744603770229,-0.9935288417550154
6,6,6,01-07,0.3810703951389929,-1.9209646671676592,-1.1329837658436508
7,7,7,01-08,0.6149920346917295,-0.6761296623456764,-1.2764307049234989
8,8,8,01-09,0.5416099356774102,-1.066639090011274,-1.1948468705906192
9,9,9,01-10,0.504059623432093,-1.26646644764412,-1.0332400787002218
10,10,10,01-11,0.4734032866416951,-1.4296068959979622,-0.8982813706136694
11,11,11,01-12,0.7721811433846757,0.16036629096535968,-0.7484793858835173
12,12,12,01-13,0.5332339934242457,-1.1112124186483452,-0.7647685818571143
13,13,13,01-14,0.7838911694714862,0.22268224603523665,-0.6462240260760087
14,14,14,01-15,0.5232441502630553,-1.1643742658528566,-0.5029278025890763
15,15,15,01-16,0.6377165502101084,-0.5551991129574868,-0.8084367664879117
16,16,16,01-17,0.6349672886657487,-0.5698295550763672,-0.4049805289457944
17,17,17,01-18,0.4277250952026443,-1.6726874924276527,-0.4079627663547902
18,18,18,01-19,0.9881238906783486,1.3095250066043584,-0.30593589482671163
19,19,19,01-20,0.7805287486130806,0.20478882158126185,-0.35491738636441617
20,20,20,01-21,0.6382776750619383,-0.5522130366843854,-0.2881429571550944
21,21,21,01-22,0.5824907696181968,-0.8490880621837144,-0.0860380481910669
22,22,22,01-23,0.7102542973070735,-0.16918297982043648,-0.3807070286130094
23,23,23,01-24,0.6555948682250505,-0.4600580386434878,-0.5287631279808405
24,24,24,01-25,0.6558897355077624,-0.4584888759272964,-0.6835065510902235
25,25,25,01-26,0.6135980692423217,-0.6835477746257245,-0.5764524434802977
26,26,26,01-27,0.4638071543734902,-1.4806735753406837,-0.5710310786950261
27,27,27,01-28,0.703192415744625,-0.20676341652415986,-0.7530297659156754
28,28,28,01-29,0.7163667918992329,-0.1366547911088071,-0.7424720162066812
29,29,29,01-30,0.4503945108466615,-1.5520501619673823,-0.4512559982099133
30,30,30,01-31,0.6677934148500789,-0.3951423776733315,-0.3261321891591344
31,31,31,02-01,0.9419390692782176,1.0637483333548836,0.11714877047829635
32,32,32,02-02,0.6048820748900161,-0.7299307210360103,0.2141766458944102
33,33,33,02-03,1.2029839951550714,2.452922341300425,0.3475065077824175
34,34,34,02-04,0.8257640354459073,0.44551246138787576,0.6935150710396171
35,35,35,02-05,0.6007216133463669,-0.7520709906393391,0.2915801449554332
36,36,36,02-06,1.057912057575677,1.680909001869866,0.8292238614324684
37,37,37,02-07,0.48876442425817795,-1.3478612231502196,0.30435716133306506
38,38,38,02-08,1.2110660229620094,2.4959315778262017,0.17383606994261058
39,39,39,02-09,0.6112059110316512,-0.6962778592959956,0.2031204997679159
40,40,40,02-10,0.6786037728761677,-0.337614086954851,0.013358205233357734
41,41,41,02-11,0.6337392991195048,-0.5763644116875072,0.229418012977642
42,42,42,02-12,0.8439583678535871,0.5423352346625169,-0.20764698581495966
43,43,43,02-13,0.7323681031708847,-0.0515023766845139,-0.3504125011581214
44,44,44,02-14,0.7182828313937379,-0.12645841492940835,-0.4023968532979901
45,45,45,02-15,0.4502402732179579,-1.552870951354966,-0.5550647926701484
46,46,46,02-16,0.6199923191339078,-0.6495201997940636,-0.9570978707261932
47,47,47,02-17,0.4616088502805597,-1.4923720479204567,-0.9281458288211648
48,48,48,02-18,0.3906730581907918,-1.869863233673752,-0.8403765139861864
49,49,49,02-19,0.7650110273395808,0.12220987474565538,-0.7570754993064245
50,50,50,02-20,0.8172412087646631,0.4001574740804632,-0.3934151120868384
51,51,51,02-21,0.5441607198063781,-1.053064863276394,-0.14907104870956464
52,52,52,02-22,1.0300130866537949,1.5324421235234529,-0.01625928835934283
53,53,53,02-23,0.7371025359438902,-0.02630766765681444,0.16088536518920662
54,54,54,02-24,0.5404160102093293,-1.0729926715724212,0.11470508426432775
55,55,55,02-25,0.9647385460977989,1.185077796036952,0.176627020026228
56,56,56,02-26,0.7651737444640503,0.12307578853119001,-0.3683495172499565
57,57,57,02-27,0.6139766264040931,-0.6815332487049928,-0.4324239926146008
58,58,58,02-28,0.4155615105480189,-1.7374171001336538,-0.4559186879818545
59,59,59,02-29,0.6648596783472447,-0.4107545198446798,-0.6990634198934398
60,60,60,03-01,0.5139261494335101,-1.2139608437759437,-0.9045507279053924
61,61,61,03-02,0.6905970858220946,-0.2737905954325603,-0.9268576161874186
62,62,62,03-03,0.5334903752886724,-1.1098480595405258,-0.4317101761957273
63,63,63,03-04,0.5888259974771817,-0.8153745783971497,-0.07535582738614706
64,64,64,03-05,0.9738316453106268,1.233467539816494,0.1762830911025597
65,65,65,03-06,1.0666430145117294,1.7273715730128016,0.06755851928186214
66,66,66,03-07,0.7976446574774264,0.295872667156297,-0.037632365137343804
67,67,67,03-08,0.5680120203245002,-0.9261380263567458,-0.01661487473663842
68,68,68,03-09,0.4148894809338648,-1.7409933660557615,-0.3598099276774511
69,69,69,03-10,0.6125228526978621,-0.6892696359929174,-0.8077446989832837
70,70,70,03-11,0.5868851865783694,-0.8257027778283821,-1.008544881052668
71,71,71,03-12,0.5616043433111648,-0.9602370548221936,-0.9503478726021553
72,72,72,03-13,0.5712459413574106,-0.9089284252600102,-0.3857980950031948
73,73,73,03-14,0.633628136104062,-0.5769559756536684,-0.20250136188836107
74,74,74,03-15,1.0514095453931709,1.6463052995380003,-0.013767525287769014
75,75,75,03-16,0.8191867342667157,0.4105107626960852,0.15396163981024294
76,76,76,03-17,0.7996793078507011,0.3067002417751702,0.2172375891403852
77,77,77,03-18,0.7507160624477075,0.04613793576587824,0.3559886618314188
78,78,78,03-19,0.6425884747255789,-0.5292727292791573,0.17395440359681213
79,79,79,03-20,0.7900675595836211,0.2555504604925337,0.18401248774806714
80,80,80,03-21,0.8461690823146374,0.5540997501303605,0.14658795869968508
81,81,81,03-22,0.8305270493750176,0.4708592676036153,0.2878553034447488
82,82,82,03-23,0.7574838016483102,0.08215306748487794,0.5123191577120557
83,83,83,03-24,0.9099925389446998,0.8937420042362607,0.5319354531957253
84,84,84,03-25,0.8956675700618015,0.8175103963246839,0.4842572165899386
85,85,85,03-26,0.8121845918829201,0.3732482333945519,0.33888573707520964
86,86,86,03-27,0.7924126990127209,0.2680303304956404,0.1859408801638748
87,87,87,03-28,0.6666232322398845,-0.4013696094847591,-0.27782471359215344
88,88,88,03-29,0.5850411330957445,-0.8355160739831309,-0.2983729381103383
89,89,89,03-30,0.3871048905125818,-1.8888515582999088,-0.4481807416914502
90,90,90,03-31,0.8724998039695606,0.6942210492155746,-0.18509934538896866
91,91,91,04-01,0.6432788964498163,-0.5255985880921195,-0.13582808071333816
92,92,92,04-02,1.0890324019637974,1.8465187083105297,0.027815170173707715
93,93,93,04-03,0.7221757270096241,-0.10574202143097604,0.3533349227222568
94,94,94,04-04,0.7695460549574739,0.1463434313391444,0.3535916101698871
95,95,95,04-05,0.754122755183797,0.06426695699138542,0.2277599689767509
96,96,96,04-06,0.872789214606487,0.6957611739013565,-0.11625522926178225
97,97,97,04-07,0.5014059074922826,-1.2805884352509371,-0.3043286088093451
98,98,98,04-08,0.7011612436594469,-0.2175724811206695,-0.620627246480899
99,99,99,04-09,0.5101262595882862,-1.234182298716353,-0.80013087499184
100,100,100,04-10,0.4129248370812576,-1.7514483946901789,-1.0885683660015797
101,101,101,04-11,0.5517355331457275,-1.0127548140742604,-0.8367751138382795
102,102,102,04-12,0.5475809554679605,-1.0348637721570824,-0.8759548224721928
103,103,103,04-13,0.7852984240725556,0.23017107772886464,-0.5477199163148064
104,104,104,04-14,0.6569868029728879,-0.4526507329241492,-0.4464845692337714
105,105,105,04-15,0.8802054127741552,0.7352271382279649,-0.2473381141135712
106,106,106,04-16,0.5270659318198615,-1.1440363122039685,-0.16798700021341925
107,107,107,04-17,0.7762697008661855,0.18212391664694105,-0.2331941424423845
108,108,108,04-18,0.6370479575620119,-0.5587570887561708,-0.03157097144567788
109,109,109,04-19,0.7117785042679418,-0.16107177564492695,-0.11403509732326515
110,110,110,04-20,0.8843134248079609,0.7570882930560905,-0.19571146955468965
111,111,111,04-21,0.7872285437681601,0.2404423829624413,-0.437099237212794
112,112,112,04-22,0.4349772413616752,-1.6340945455925149,-0.31180596598820737
113,113,113,04-23,0.5041091872567517,-1.2662026893016856,-0.18282645303913944
114,114,114,04-24,0.7783139437348814,0.19300253859134914,-0.4722157290058982
115,115,115,04-25,0.8572006639319399,0.6128053020494808,-0.565376421908759
116,116,116,04-26,0.5580320446688919,-0.979247362744462,-0.3309487381969593
117,117,117,04-27,0.682191481307874,-0.3185217744547237,-0.07875880621465814
118,118,118,04-28,0.6992903812621228,-0.2275284433217171,-0.14627426783954048
119,119,119,04-29,0.7884489534401226,0.2469369025921214,-0.15511910773911028
120,120,120,04-30,0.70219143392141,-0.21209023115794487,-0.09903753732735576
121,121,121,05-01,0.847228260635723,0.559736262652062,0.053834267847585236
122,122,122,05-02,0.6212630408182293,-0.6427579402739347,0.4084906325187541
123,123,123,05-03,0.8545517852970242,0.5987090565949224,0.4839919699378716
124,124,124,05-04,1.0991592698152222,1.9004097447052963,0.3663154004876341
125,125,125,05-05,0.8735753994466597,0.699944927106826,0.09746081463923917
126,126,126,05-06,0.5695131466490617,-0.9181496478593699,0.00866853230000636
127,127,127,05-07,0.5440993867882744,-1.0533912524383071,-0.0564156433409134
128,128,128,05-08,0.5211512853616428,-1.1755116343093317,-0.1344941878912167
129,129,129,05-09,0.781170508183728,0.2082040027494038,-0.22182724791469446
130,130,130,05-10,1.0111270675505846,1.431938477403477,0.0055009950977860465
131,131,131,05-11,0.7751088917952095,0.17594656696595912,0.5520940879641308
132,132,132,05-12,0.8258217905230035,0.4458198102155134,0.6936412570548365
133,133,133,05-13,1.1603736012322092,2.2261673047597617,0.6524308117353468
134,134,134,05-14,0.6807432589460359,-0.3262286197650976,0.4155685614868941
135,135,135,05-15,0.7347064471708615,-0.039058669167534386,0.4280286209343633
136,136,136,05-16,0.7440689961838072,0.010764975912760604,0.3912175077372504
137,137,137,05-17,0.7891573923125613,0.2507069236507741,0.14709799679746394
138,138,138,05-18,0.7843179000340238,0.22495313103283607,0.4170896706443896
139,139,139,05-19,0.8851330945402562,0.7614502391210428,0.4548772157874248
140,140,140,05-20,0.9851541797534514,1.2937214233164565,0.7233484193183313
141,141,141,05-21,0.7773112477120991,0.18766660169067664,0.6540103468380684
142,142,142,05-22,1.0467656131300518,1.6215921970981988,0.8883262468036999
143,143,143,05-23,0.7109799204298725,-0.16532151123080308,0.9301712482273724
144,144,144,05-24,1.0485050057030545,1.6308485308266256,0.9434891459473662
145,145,145,05-25,0.9323126065343548,1.0125202476630786,0.9078154134250748
146,146,146,05-26,1.0001698780170236,1.373628809636418,0.44573900057862864
