,unnamed: 0,unnamed: 0,mth_day,fantasy world,fantasy world_norm,fantasy world_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6407436442054947,0.4471182641074433,
2,2,2,01-03,0.4547680174156947,-0.7663288174582096,
3,3,3,01-04,0.5074611485891479,-0.4225185701441794,
4,4,4,01-05,0.2612186684308478,-2.0291926492335883,-0.7187831390062277
5,5,5,01-06,0.33619939745027805,-1.5399610850075451,-0.8322806502983724
6,6,6,01-07,0.5719389735974512,-0.001815976301287604,-0.7718742348502109
7,7,7,01-08,0.536374342293764,-0.2338668036454251,-0.8142071010271423
8,8,8,01-09,0.5103161553399397,-0.40389032476924025,-0.6282629913389732
9,9,9,01-10,0.4685329673408704,-0.6765157672057676,-0.4390319351892305
10,10,10,01-11,0.43220794125110257,-0.913527991104574,-0.6753153399319073
11,11,11,01-12,0.5102112590807196,-0.4045747481090879,-0.5325599917903322
12,12,12,01-13,0.3546590198296289,-1.4195164047573483,-0.4744356104221989
13,13,13,01-14,0.6676483751785138,0.6226652852040255,-0.3189904668657571
14,14,14,01-15,0.5637657952340537,-0.055144036560440673,0.044114648382308386
15,15,15,01-16,0.6114761996095892,0.2561550941328831,0.09348285226973772
16,16,16,01-17,0.7661097772259148,1.2651027003838191,0.28573148690481426
17,17,17,01-18,0.55560895034026,-0.10836552478451186,0.01448677009583843
18,18,18,01-19,0.531445766621803,-0.2660245969468891,-0.2941484046414976
19,19,19,01-20,0.41821892586020776,-1.0048030156498295,-0.22126747653400425
20,20,20,01-21,0.2799530722411558,-1.906955084984457,-0.35252432135872946
21,21,21,01-22,0.6784955686041988,0.6934406627778436,-0.3385219022600041
22,22,22,01-23,0.6454094630998105,0.4775616314354675,-0.1713478375421553
23,23,23,01-24,0.5684852036586938,-0.02435101019215949,-0.10972336937884364
24,24,24,01-25,0.6851746037893184,0.7370197913602035,-0.011696190403920484
25,25,25,01-26,0.4748871527637139,-0.6350562066699597,-0.35216139054531403
26,26,26,01-27,0.370096266761555,-1.318792011134918,-0.325596636202286
27,27,27,01-28,0.3654127982469755,-1.3493505380705175,-0.2808106041077756
28,28,28,01-29,0.6698377068090657,0.6369501574936361,-0.5005301578678015
29,29,29,01-30,0.6096692512372236,0.2443651823749026,-0.4386022161850972
30,30,30,01-31,0.4831263281820802,-0.5812975311999525,-0.3634673579147754
31,31,31,02-01,0.5318344458688232,-0.2634885565737335,-0.14295829735573806
32,32,32,02-02,0.4391882901692352,-0.8679828615129874,-0.2933674444493401
33,33,33,02-03,0.5681870833722135,-0.026296174716293468,-0.19887662941990536
34,34,34,02-04,0.5315254433543115,-0.2655047250679765,0.0005625527942609102
35,35,35,02-05,0.6965604992427218,0.8113100725515114,-0.04604744217080986
36,36,36,02-06,0.6665253118651667,0.6153375620850451,-0.061200685100579626
37,37,37,02-07,0.4889731303982839,-0.5431485263641581,0.2245159873919056
38,38,38,02-08,0.425253769770739,-0.9589023190916062,0.17241704102947772
39,39,39,02-09,0.8309245594022022,1.6880038602386176,0.008357325920725023
40,40,40,02-10,0.4836166337224687,-0.5780984032425437,-0.2861132407613452
41,41,41,02-11,0.545695535396391,-0.1730482181010047,-0.03901882818415348
42,42,42,02-12,0.3957379868545741,-1.1514858380073765,0.37134023622977147
43,43,43,02-13,0.7161946003086602,0.9394179490989925,0.024313049302692884
44,44,44,02-14,0.8026090844242021,1.5032520673919432,0.05055703082731552
45,45,45,02-15,0.5118075599929156,-0.3941592613238537,0.04440482667308382
46,46,46,02-16,0.5077499032534526,-0.4206345140948079,0.28370464996185063
47,47,47,02-17,0.5400381315865151,-0.2099614430263949,0.17507580123318056
48,48,48,02-18,0.6157917591347569,0.2843131017252244,-0.15912425872749694
49,49,49,02-19,0.6163023913940233,0.2876448567269721,-0.1116214076700792
50,50,50,02-20,0.4952875708522254,-0.5019482923721218,0.09620202304927447
51,51,51,02-21,0.5554899222512213,-0.10914215497934728,-0.04306868538853284
52,52,52,02-22,0.6988588195472064,0.8263060702213142,-0.2847074440621777
53,53,53,02-23,0.4119684809754876,-1.0455856936532388,-0.4767104748248967
54,54,54,02-24,0.3935871638932845,-1.1655194503166446,-0.11528149038259933
55,55,55,02-25,0.4397414954104965,-0.8643733278493416,-0.12436760991275232
56,56,56,02-26,0.8276480813819317,1.6666256142816618,-0.3150641245333645
57,57,57,02-27,0.5471345676566378,-0.1636588721602653,-0.121164265450862
58,58,58,02-28,0.5234993611646954,-0.3178730175023584,0.010899505777553312
59,59,59,02-29,0.5902736499860469,0.1178134608417759,0.18898828836911152
60,60,60,03-01,0.515029506143957,-0.3731368229461526,-0.22013743998431606
61,61,61,03-02,0.6035072177226589,0.20415936770000767,0.02029807651138388
62,62,62,03-03,0.4514269098668616,-0.7881287558389035,0.3588590958529266
63,63,63,03-04,0.7682326932961503,1.2789542268139342,0.1932965873243496
64,64,64,03-05,0.8348310973491729,1.7134930985468981,0.19469638710662607
65,65,65,03-06,0.43802675715855216,-0.8755615903296861,0.3136138698163527
66,66,66,03-07,0.5163167249069864,-0.3647380242524936,0.4820418989744386
67,67,67,03-08,0.7128605816353483,0.9176642639583668,0.4647860277173351
68,68,68,03-09,0.6063088594838016,0.22243941910961212,0.1856064810039812
69,69,69,03-10,0.7523646516406216,1.1754189992713129,0.232170551916833
70,70,70,03-11,0.5781049888488291,0.03841581826677478,0.2172841607629216
71,71,71,03-12,0.4808458420883821,-0.5961771648525753,0.0971015100422976
72,72,72,03-13,0.5026275943257925,-0.4540563711759624,0.08624706474210282
73,73,73,03-14,0.6023438027667264,0.19656835963462327,-0.04686236181796625
74,74,74,03-15,0.5963273993995857,0.15731274730844358,-0.2567712207922638
75,75,75,03-16,0.6299607524733039,0.3767624399108985,-0.4212509438764847
76,76,76,03-17,0.3850783680285396,-1.2210373355790105,-0.5168424143930399
