,unnamed: 0,unnamed: 0,mth_day,based on novel or book,based on novel or book_norm,based on novel or book_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.551718987308372,-0.2898695696833528,
2,2,2,01-03,7.347456227618811,-0.5222951587430231,
3,3,3,01-04,6.4721786270069375,-1.5182520929494008,
4,4,4,01-05,5.878708407457105,-2.193547313565631,-1.4729621586438173
5,5,5,01-06,5.876683658497912,-2.19585122579248,-1.7898165130614565
6,6,6,01-07,5.9451389815240026,-2.117957591129016,-2.0982372719867666
7,7,7,01-08,5.880950847323956,-2.1909956961891885,-1.7993374324728302
8,8,8,01-09,5.721158307019567,-2.372819712294886,-1.431341230169168
9,9,9,01-10,8.04827288591083,0.2751469441342185,-1.2355447608473968
10,10,10,01-11,7.819146725163843,0.014429900256341915,-0.8119861625700597
11,11,11,01-12,6.9091154313403536,-1.0210724098618535,-0.4335278076781574
12,12,12,01-13,8.17855695906415,0.4233939985350065,-0.074125709328189
13,13,13,01-14,7.876555934798509,0.07975443316222654,0.0076079288568237455
14,14,14,01-15,7.61628004669178,-0.2164071221950757,-0.16664795000863786
15,15,15,01-16,8.479253103605863,0.7655487732442949,0.051839805959525496
16,16,16,01-17,6.900298154663688,-1.0311053729364277,0.04069894807126035
17,17,17,01-18,8.061198009846256,0.2898541259471266,-0.02507360444736832
18,18,18,01-19,8.119811386682738,0.3565488512054158,-0.051680280677313006
19,19,19,01-20,7.529738276459713,-0.3148808819495455,-0.14918437650467514
20,20,20,01-21,7.475983451943775,-0.3760471795747439,-0.4147501947091957
21,21,21,01-22,7.965115505194888,0.1805241982801219,-0.6059958501118723
22,22,22,01-23,5.499973677695398,-2.6245002821635506,-0.816749433693515
23,23,23,01-24,7.0527626088415785,-0.8576198064689331,-1.1177656634908448
24,24,24,01-25,7.008510980276995,-0.9079726502844409,-1.3314155981113611
25,25,25,01-26,5.942484324125807,-2.1209782607335246,-1.5911684845179068
26,26,26,01-27,6.349410631034358,-1.6579467872978435,-1.1271820842606173
27,27,27,01-28,6.5954425282377285,-1.3779931201591522,-1.0287416614384923
28,28,28,01-29,7.946566833597378,0.1594181193801882,-1.0555259527275982
29,29,29,01-30,7.571837445102199,-0.2669772695361845,-0.9001520850688512
30,30,30,01-31,6.867277824052431,-1.0686783980190744,-0.7825424866878977
31,31,31,02-01,6.761768339797639,-1.1887350547810431,-0.5074711008499575
32,32,32,02-02,6.969564235337549,-0.9522891970121228,-0.6652510943879221
33,33,33,02-03,8.045889717212216,0.2724351948684893,-0.6067117807246653
34,34,34,02-04,7.114595353152724,-0.7872618418475996,-0.5865220792947213
35,35,35,02-05,7.880514346149954,0.0842586124433565,-0.29680858614080674
36,36,36,02-06,6.973737809325306,-0.9475401894394104,0.007117205985872955
37,37,37,02-07,8.289423135562714,0.5495459041424446,0.03117223023852082
38,38,38,02-08,8.572160265106719,0.8712655557479552,0.3545655849009191
39,39,39,02-09,8.172731490309335,0.4167653403843765,0.4248651498412525
40,40,40,02-10,8.819843540906637,1.1530982861267902,0.5969749172271841
41,41,41,02-11,8.251202871396668,0.5060560020853566,0.5779399863494308
42,42,42,02-12,7.881269966985108,0.08511841487617926,0.6404500435254841
43,43,43,02-13,8.189052237659771,0.43533631887592494,0.3946902622664787
44,44,44,02-14,8.901774835656992,1.2463258988042756,-0.0330725062510863
45,45,45,02-15,6.876843941685428,-1.057793347169656,-0.27299067594039755
46,46,46,02-16,6.564257038318592,-1.4134783249785996,-0.32049198377188753
47,47,47,02-17,6.986118050779285,-0.9334530160505108,-0.5397760114183723
48,48,48,02-18,7.630796301005947,-0.19988943211276072,-0.9487654551773126
49,49,49,02-19,7.032770930834807,-0.8803678470029837,-1.0259901468760724
50,50,50,02-20,6.745179785927278,-1.2076107637493665,-0.9225334216917046
51,51,51,02-21,6.469639329498397,-1.5211414973622148,-0.6518853758237991
52,52,52,02-22,7.109782759821955,-0.7927379738723934,-0.6039987759751136
53,53,53,02-23,8.413241036089799,0.6904352591569216,-0.5191317883102431
54,54,54,02-24,7.883301605868857,0.0874301669793526,-0.23896631086336026
55,55,55,02-25,7.480273252169553,-0.3711659210137605,0.16049374355534649
56,56,56,02-26,8.222488041646535,0.4733821009319308,0.0649144397115864
57,57,57,02-27,8.575986055728086,0.8756188291500256,-0.013671298506025905
58,58,58,02-28,6.605794559951552,-1.366213796934954,-0.10661572496392528
59,59,59,02-29,7.998859646531616,0.21892082985124767,-0.14859131346506274
60,60,60,03-01,7.393207073949312,-0.4702363917680437,-0.22135627978438446
