,unnamed: 0,unnamed: 0,mth_day,doctor,doctor_norm,doctor_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.056694092285684,1.1367871217747845,
2,2,2,01-03,0.8830870088206563,0.2906225400878095,
3,3,3,01-04,0.83525803669597,0.05750312247743373,
4,4,4,01-05,0.8176444182385029,-0.028346024899429438,-0.08331660296084219
5,5,5,01-06,0.4765670402884111,-1.690764349519048,-0.3260400285341641
6,6,6,01-07,0.7689462284553221,-0.2657020276866032,-0.5202623455568121
7,7,7,01-08,0.7578975679611979,-0.3195534316651468,-0.5456567172251151
8,8,8,01-09,0.6439961458949223,-0.8747113620480785,-0.4002781473644689
9,9,9,01-10,0.8039971479952993,-0.09486310753238424,-0.022712264784797855
10,10,10,01-11,0.9966078260060964,0.8439253942644472,0.00743942840130217
11,11,11,01-12,0.9413568443703146,0.5746309459589783,-0.11719511356741102
12,12,12,01-13,0.8060634580973512,-0.08479186857000306,-0.2367585041736477
13,13,13,01-14,0.604470399310036,-1.067360683477426,-0.26175033901242223
14,14,14,01-15,0.4968116478794944,-1.5920917056854986,-0.3934004878378854
15,15,15,01-16,0.7732317887446255,-0.24481411656503144,-0.6271560103440029
16,16,16,01-17,0.8345443300623689,0.05402450131166833,-0.4490376792612732
17,17,17,01-18,0.6535999560456511,-0.8279021890777277,-0.4622715885240885
18,18,18,01-19,1.0253300497758735,0.9839181179263758,-0.5149430463143864
19,19,19,01-20,0.5881792396017599,-1.1467641390543182,-0.3621338003493686
20,20,20,01-21,0.431972218056555,-1.9081204524272857,-0.31559261146603196
21,21,21,01-22,0.9613424808673362,0.6720413592250756,-0.12538095471485358
22,22,22,01-23,0.8918372981532036,0.3332716346116882,-0.21587272198668286
23,23,23,01-24,0.8877536302903551,0.3133677514293424,-0.15358792062528795
24,24,24,01-25,0.913933197671728,0.4409675142953995,0.003139733534725372
25,25,25,01-26,0.6648528532880664,-0.7730553308859479,-0.15755877938550594
26,26,26,01-27,0.6249065350386452,-0.9677545274672056,-0.25917291952792626
27,27,27,01-28,0.7635199715184232,-0.2921497182963125,-0.27610130575962016
28,28,28,01-29,0.7667486223277847,-0.2764132062428337,-0.17480933609821772
29,29,29,01-30,0.8669145087407762,0.21179743403917894,-0.01242893988016952
30,30,30,01-31,1.0386252763424193,1.048719332263814,0.2722816785596165
31,31,31,02-01,0.864745788606455,0.20122704642234124,0.12958209744323448
32,32,32,02-02,0.9753899835444628,0.7405091831715108,0.2263354374165819
33,33,33,02-03,0.5878544429052613,-1.1483472049946049,0.3464289078386884
34,34,34,02-04,0.8858535732921842,0.30410683359725044,0.09904430585235197
35,35,35,02-05,1.0147515437176546,0.9323582565718184,0.2738361846528201
36,36,36,02-06,0.734090767280027,-0.4355882796542047,0.012006644804837171
37,37,37,02-07,1.079917462878784,1.24997831922515,0.25701848431350965
38,38,38,02-08,0.6530735186739389,-0.8304680559163864,0.3618746803251785
39,39,39,02-09,0.8894680423780706,0.3217238320574298,0.20060632598485648
40,40,40,02-10,1.0149332731529186,0.9332440096672636,0.5181582841616946
41,41,41,02-11,0.8162275502192944,-0.03525186947011371,0.5111026770366868
42,42,42,02-12,1.1250024445174245,1.4697234694068242,1.153752001241435
43,43,43,02-13,1.0712318945988712,1.2076446764751032,1.215230923157439
44,44,44,02-14,1.4441853941688438,3.0254278893121027,0.9617476558543218
45,45,45,02-15,0.9651496052281686,0.6905973635534531,0.9298197791568298
46,46,46,02-16,0.7028912068971149,-0.5876555941514402,0.6230781598969497
47,47,47,02-17,0.7769238094957213,-0.2268191296550653,0.26110674827708125
48,48,48,02-18,0.7473984720783059,-0.3707262461524559,-0.17322268097717206
49,49,49,02-19,0.6256391404533802,-0.9641837932441076,-0.239732746595796
50,50,50,02-20,0.9095187316228924,0.41945131378658296,0.06866688392911208
51,51,51,02-21,0.8832746218288628,0.2915369698417096,0.18996479168521874
52,52,52,02-22,1.0825362184411778,1.2627421889980082,0.16730486058186048
53,53,53,02-23,0.9262435266171674,0.5009683168815746,0.08106655196264377
54,54,54,02-24,0.7195037246342837,-0.5066858327726054,0.03829969053823353
55,55,55,02-25,0.5194783658261268,-1.4816136449594084,-0.11412972915802087
56,56,56,02-26,0.8568720226383878,0.16285014524012156,-0.4559420095599976
57,57,57,02-27,0.6956315020827598,-0.623039548335817,-0.7940928400023015
58,58,58,02-28,0.6617596859977314,-0.7881314934138521,-0.7718899216823549
59,59,59,02-29,0.5099742992241261,-1.527936665772249,-0.6408352445558729
60,60,60,03-01,0.7468358818341515,-0.3734683228529269,-0.8503704095205434
61,61,61,03-02,0.6808088263260407,-0.6952855822005154,-0.954944009273241
62,62,62,03-03,0.5989307923376124,-1.0943608445479005,-0.9035720372594196
63,63,63,03-04,0.5668996828592909,-1.2504811468520023,-0.8072771667502968
64,64,64,03-05,0.7249994274819657,-0.4798996613309228,-0.8315787070587525
65,65,65,03-06,0.62851486674636,-0.9501674427175134,-1.0399080069630144
