,unnamed: 0,unnamed: 0,mth_day,independent film,independent film_norm,independent film_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.4206761123571767,-0.9644672247855164,
2,2,2,01-03,3.1354986556491835,-1.4222913063567058,
3,3,3,01-04,3.5281022160377478,-0.7920052853949517,
4,4,4,01-05,3.0609185078298533,-1.5420223260276995,-1.2214566469738466
5,5,5,01-06,3.345040576629592,-1.085892564917093,-1.2935855426734248
6,6,6,01-07,3.073352258465476,-1.5220611743611139,-1.3266518149279825
7,7,7,01-08,3.151102677598088,-1.3972405989829846,-1.4502946832098933
8,8,8,01-09,3.011917274014466,-1.6206889398840525,-1.3236637202978268
9,9,9,01-10,3.0660012457824224,-1.5338624950864168,-1.328695886244532
10,10,10,01-11,3.5341871373848748,-0.7822365485553007,-1.0939879060853317
11,11,11,01-12,3.326233436365292,-1.1160855605973248,-0.9617528515084478
12,12,12,01-13,3.950546284011241,-0.11381329340591187,-0.7206526542574193
13,13,13,01-14,3.645315953873917,-0.6038302715216812,-0.4573823247489359
14,14,14,01-15,3.913001474232348,-0.17408775637788246,-0.4092909764193964
15,15,15,01-16,4.04994376018548,0.045759481964483366,-0.052595357302350466
16,16,16,01-17,3.7139230091967255,-0.4936884585780632,-0.2285992924698952
17,17,17,01-18,4.659342203334309,1.024088154104951,-0.2309612330367279
18,18,18,01-19,3.292751860929447,-1.1698369044111798,-0.27378767708244883
19,19,19,01-20,3.6364884732210885,-0.6180019149226778,-0.1612180705054027
20,20,20,01-21,3.7529425753964634,-0.4310464206522079,0.3984401647965134
21,21,21,01-22,4.470659691021933,0.7211771214267599,0.12256921259846393
22,22,22,01-23,5.805581162538313,2.8642609532334333,0.1668070316800215
23,23,23,01-24,3.628306313861745,-0.6311375590833461,-0.12601186658204785
24,24,24,01-25,3.458085611299569,-0.9044099899218344,-0.26640755007823963
25,25,25,01-26,2.5421115885998016,-2.3749153044950937,-0.4876171150567787
26,26,26,01-27,3.2282298890543157,-1.2734205216293588,-1.0139379526708028
27,27,27,01-28,3.6439144365097786,-0.6060802684444739,-0.8350925080015333
28,28,28,01-29,3.838517690891088,-0.2936640724507103,-0.2699596473491637
29,29,29,01-30,4.296720551219789,0.4419351089322701,0.15164261365750056
30,30,30,01-31,5.570204545933134,2.486387173992384,0.4523445176749705
31,31,31,02-01,4.1178014490842285,0.15469826154489213,0.5188823160714008
32,32,32,02-02,4.352068599163128,0.5307909024754607,0.6125257917754868
33,33,33,02-03,3.892591789477188,-0.2068534780658926,0.6357947502725426
34,34,34,02-04,4.1884993888429305,0.2681967817738057,0.0443316368782507
35,35,35,02-05,4.383685601834792,0.5815488599146054,0.16271855019749634
36,36,36,02-06,3.359679326261208,-1.0623915063733684,-0.2418762540046087
37,37,37,02-07,4.5602588934199835,0.8650197414603663,-0.2493471853988035
38,38,38,02-08,2.839942148361524,-1.8967779227371693,-0.3515918371281503
39,39,39,02-09,3.8646700444227386,-0.25167906643106125,-0.482521318399235
40,40,40,02-10,3.806371786789708,-0.3452711286022749,-0.4960466842462887
41,41,41,02-11,3.894351755320925,-0.2040280277119029,-0.7933173717785588
42,42,42,02-12,3.3091298302180454,-1.1435437014556895,-0.5604648907087698
43,43,43,02-13,3.4492439594739133,-0.9186043837332548,-0.6023392426267978
44,44,44,02-14,3.7102014599085007,-0.499663036318435,-0.5678525721436704
45,45,45,02-15,3.708169480184658,-0.5029251779392298,-0.6904715330666711
46,46,46,02-16,3.9352617431015706,-0.13835110570350972,-0.6099332164188871
47,47,47,02-17,3.4360775208133103,-0.9397417932499076,-0.7339757411136265
48,48,48,02-18,3.6101325065779606,-0.6603138015689856,-0.7355612853104785
49,49,49,02-19,2.985649319436392,-1.662859531901692,-0.8479682908230667
50,50,50,02-20,3.7042756712081166,-0.5091763014995472,-1.1704208682540598
51,51,51,02-21,3.2880612520867003,-1.1773672110147593,-1.059412396401125
52,52,52,02-22,2.7301323978937795,-2.0730665702894693,-1.0672089145600672
53,53,53,02-23,3.850958890540536,-0.2736909621322988,-0.6918231769751099
54,54,54,02-24,3.580993918514426,-0.7070929105226387,-0.5648555637921939
55,55,55,02-25,4.3886102501267885,0.5894548936080527,-0.2865308005637675
56,56,56,02-26,4.178802492351201,0.2526293775979475,-0.08568253267120532
57,57,57,02-27,4.32826797748144,0.4925813683557999,0.1025509021832129
58,58,58,02-28,3.4807796512043296,-0.8679769629340954,0.13817253476398755
59,59,59,02-29,4.554459659241523,0.8557096469942106,-0.2834462830947861
60,60,60,03-01,3.7141256648608745,-0.4933631150379908,-0.6005244468887618
61,61,61,03-02,2.812858510315794,-1.9402580135445893,-0.7723492881718134
62,62,62,03-03,2.9937593987059072,-1.6498396051659068,-0.5604022352493717
63,63,63,03-04,3.686092436148727,-0.5383676793425101,-0.8851442355894711
64,64,64,03-05,4.272907334419409,0.4037053546005546,-0.9431039690923184
65,65,65,03-06,3.3407738597689334,-1.0927423550463864,-0.5183577568488206
66,66,66,03-07,3.4975078408037765,-0.8411215160550756,-0.2823330181131247
67,67,67,03-08,4.400298526204766,0.6082192599163979,-0.4234051437938851
68,68,68,03-09,3.875874657673752,-0.2336911727517311,-0.4534035193052139
69,69,69,03-10,3.1588516251023053,-1.3848004334270725,-0.09638342180037164
70,70,70,03-11,4.160791863284737,0.223715101532582,-0.11434327433922772
71,71,71,03-12,4.6750953273159235,1.049378229982667,-0.11416630168466285
72,72,72,03-13,3.430384961828458,-0.9488806312882121,-0.028130367881184015
73,73,73,03-14,4.400959941104951,0.6092810958437873,0.3837356785199105
74,74,74,03-15,4.1974240445479065,0.2825244300691417,0.2129385660424508
75,75,75,03-16,4.6981535056056325,1.0863958449794957,-0.218694399431158
76,76,76,03-17,3.522457339916281,-0.8010675733321769,-0.0777398525911304
77,77,77,03-18,3.0619168649337216,-1.5404195628589858,-0.1313107967740836
78,78,78,03-19,3.957186335508705,-0.10315335024804627,-0.20237018736900286
79,79,79,03-20,4.200744711319164,0.2878554307460681,-0.4132280345394362
80,80,80,03-21,3.931847761856088,-0.14383191350037375,-0.3662030670867533
81,81,81,03-22,3.9100966033567737,-0.178751238043105,-0.06956968283903757
82,82,82,03-23,3.6982077361022063,-0.5189177686160793,0.020598602234053704
83,83,83,03-24,4.170549951303529,0.2393807426273083,-0.043238831704286856
84,84,84,03-25,4.294179908995953,0.4378563601905013,0.18923660745060814
85,85,85,03-26,3.962159659294508,-0.0951691728839753,0.31923544956662303
86,86,86,03-27,4.800697922700556,1.251020721428996,0.34341431593493793
