,unnamed: 0,unnamed: 0,mth_day,road movie,road movie_norm,road movie_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1029950347345143,-0.7664185384600517,
2,2,2,01-03,1.016662403031158,-1.0717063996747491,
3,3,3,01-04,0.9237237648721064,-1.400354299176698,
4,4,4,01-05,0.8030604501323692,-1.8270416890682084,-1.3028943730923346
5,5,5,01-06,0.9161720670736884,-1.427058473762044,-1.0471414824578005
6,6,6,01-07,0.9450935557736398,-1.3247868384122559,-1.0232835978621502
7,7,7,01-08,1.5369425888829351,0.7680988053471539,-0.9287941951648347
8,8,8,01-09,1.0571431602251482,-0.9285590921008476,-0.6179933887844573
9,9,9,01-10,1.084048229208419,-0.8334178829928053,-0.5916131690935093
10,10,10,01-11,1.3304103049922698,0.03776314921405613,-0.2902570837780064
11,11,11,01-12,0.9609325848703116,-1.2687771556163552,-0.5142350696649619
12,12,12,01-13,1.4564181231165634,0.48334967348076097,-0.3408437755639029
13,13,13,01-14,1.1569089598686573,-0.5757691099745788,-0.15129493262401622
14,14,14,01-15,1.3513440499945797,0.11178867250550607,-0.32416311978727663
15,15,15,01-16,1.4056643664937123,0.3038751746465146,-0.0075182312183892
16,16,16,01-17,1.0370969945407205,-0.9994459737655064,0.0779041971387104
17,17,17,01-18,1.4981983596076154,0.6310921757969693,0.4191982398912271
18,18,18,01-19,1.6013582399731612,0.9958842436233586,0.2992600089200361
19,19,19,01-20,1.7359980748750576,1.471995146540521,0.5250142548956056
20,20,20,01-21,1.1478394020130611,-0.60784071332164,0.7844851700237898
21,21,21,01-22,1.7887118567358071,1.6584006504999318,0.4701548693101302
22,22,22,01-23,1.4773530898410334,0.5573795170035993,0.2530484119583611
23,23,23,01-24,0.9648598512880862,-1.2548896284849884,-0.2376608142772391
24,24,24,01-25,1.2329838457526991,-0.3067545004872561,-0.2123969873920557
25,25,25,01-26,0.9033894267589638,-1.4722602108730802,-0.5835108319174848
26,26,26,01-27,1.1907056853932971,-0.4562577520105396,-0.9161100030768712
27,27,27,01-28,1.1590261286767027,-0.5682824166526429,-0.6667355114000794
28,28,28,01-29,0.9130169586703668,-1.4382155099527187,-0.4840801173897122
29,29,29,01-30,1.387984886010713,0.2413573215757617,-0.35574114482275804
30,30,30,01-31,1.5429035549147747,0.7891778635749473,-0.2522555230255801
31,31,31,02-01,1.121147994840739,-0.7022263754713549,-0.37052286443233307
32,32,32,02-02,1.366294443577014,0.16465597877252788,-0.13226480502542168
33,33,33,02-03,0.9583565549652776,-1.277886465093161,-0.3017961380208568
34,34,34,02-04,1.3172802374910262,-0.008667153511250565,-0.4856907639197592
35,35,35,02-05,1.100333367694084,-0.7758306763968493,-0.3563360724692373
36,36,36,02-06,1.2308811846812315,-0.31418989181846696,-0.5040268702021762
37,37,37,02-07,1.3406299793192284,0.073901773231777,-0.21315838677983664
38,38,38,02-08,1.1157007541472377,-0.721488807625106,-0.15542940598216895
39,39,39,02-09,1.4518863314883237,0.4673244354408765,-0.06046640226439012
40,40,40,02-10,1.4152316231370516,0.3377067312747555,0.0941479173382406
41,41,41,02-11,1.261461412408168,-0.2060526540901764,0.03739850924988256
42,42,42,02-12,1.4932223283587065,0.6134960257973174,0.16665692093171844
43,43,43,02-13,1.2443406792131193,-0.2665946752983713,-0.06205940519083824
44,44,44,02-14,1.335019376366041,0.05406166246590908,-0.3273954149099692
45,45,45,02-15,1.0638129452268814,-0.9049735212944634,-0.3419554292719449
46,46,46,02-16,0.9650239552610552,-1.2543093270400305,-0.3912494191729756
47,47,47,02-17,1.23675677425112,-0.2934127402620312,-0.3323256470836266
48,48,48,02-18,1.4095829751584463,0.31773208639113354,-0.3852772873485815
49,49,49,02-19,1.3443193215499942,0.08694795723772286,-0.3535288703433729
50,50,50,02-20,1.24517392154395,-0.26364817912381994,0.16035770520536932
51,51,51,02-21,1.1176819274046104,-0.7144830192632121,0.3485448398074121
52,52,52,02-22,1.836958665425276,1.8290101262524232,0.4680541165297481
53,53,53,02-23,1.5560624391065423,0.8357100673502255,0.7589208257235635
54,54,54,02-24,1.6123597969688892,1.0347877467251498,0.9674978736759596
55,55,55,02-25,1.83784608765886,1.8321482124006148,0.9671530257004082
56,56,56,02-26,1.5990760791534977,0.9878141085905582,0.7321798999988008
57,57,57,02-27,1.1170968081702888,-0.7165521071165211,0.3093083108258094
58,58,58,02-28,1.4382690829308622,0.4191713720427789,0.1961343683568426
59,59,59,02-29,0.8385569931849197,-1.7015194676877234,-0.1082493061263855
60,60,60,03-01,1.420332424742932,0.3557440919113492,-0.5376307346322505
61,61,61,03-02,1.321384472163554,0.005846165501246107,-0.540213620112878
62,62,62,03-03,0.8705250929473023,-1.5884744624446319,-0.6514252198884538
63,63,63,03-04,1.1127143089767002,-0.7320494200002863,-0.41332639181810665
64,64,64,03-05,1.249571306746167,-0.2480982266106762,-0.5349799413860002
65,65,65,03-06,1.242550096959368,-0.2729264992656407,-0.4013707476858477
66,66,66,03-07,1.2139173177328657,-0.3741772054960129,-0.20897532723616272
67,67,67,03-08,1.5480852639867642,0.8075013277021617,-0.2242240057557796
68,68,68,03-09,1.1969711476775406,-0.4341019397465222,-0.06573620169982426
69,69,69,03-10,1.0868411830418734,-0.8235414911179875,0.16333150122751494
70,70,70,03-11,1.5184847675551578,0.7028285977250557,0.3012051908691272
71,71,71,03-12,1.6312196802164398,1.1014797182983949,0.0398352070603567
