,unnamed: 0,unnamed: 0,mth_day,chick flick,chick flick_norm,chick flick_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.62896958668339,-0.8644882978526786,
2,2,2,01-03,2.284121620102201,-1.5062901237446866,
3,3,3,01-04,2.6413596446855037,-0.8414289713688952,
4,4,4,01-05,2.406875338306194,-1.2778313009787787,-1.3821934609305702
5,5,5,01-06,2.172161906875636,-1.7146600587265657,-1.4905294700819631
6,6,6,01-07,1.9713135474530057,-2.0884620129118163,-1.4602592957371237
7,7,7,01-08,2.279708014439138,-1.5145043527610391,-1.3974131104448997
8,8,8,01-09,2.381708828331481,-1.3246690776756516,-1.3407243861036988
9,9,9,01-10,2.8439677863057296,-0.4643518596155525,-1.1621340707153731
10,10,10,01-11,2.5896326056914147,-0.9376989549315716,-0.7765805555087844
11,11,11,01-12,2.7479144643928533,-0.6431181663966115,-0.6830918996236099
12,12,12,01-13,3.214289248331676,0.2248590783277159,-0.5350319637641792
13,13,13,01-14,2.581103600239502,-0.9535724174499938,-0.5205401850537944
14,14,14,01-15,2.8590353090622216,-0.43630946251906577,-0.4964919679570254
15,15,15,01-16,2.8906874454167815,-0.37740118735324396,-0.7198169311970282
16,16,16,01-17,2.6671610117927638,-0.7934096523509582,-0.7048907635401983
17,17,17,01-18,2.0279430680532102,-1.983067945836628,-0.5340472536440378
18,18,18,01-19,3.2624093223886828,0.3144160842686952,-0.5887909974051152
19,19,19,01-20,3.131881438018954,0.07148864192696908,-0.6272518516693418
20,20,20,01-21,2.6825484127264763,-0.7647719250855307,-0.7487718579189826
21,21,21,01-22,2.766694522515134,-0.6081663129386032,-0.7631379766098827
22,22,22,01-23,2.2753959027183623,-1.5225296898488037,-1.010513047866478
23,23,23,01-24,1.9816285209295512,-2.069264657982029,-1.1663953553300754
24,24,24,01-25,2.464903423861674,-1.1698343432708769,-1.3262649888040294
25,25,25,01-26,2.629336621976156,-0.8638052028546159,-1.3841238864001857
26,26,26,01-27,2.167148962639688,-1.7239897259292534,-1.2975632329091973
27,27,27,01-28,2.580164764763828,-0.9553196985155412,-0.8326137754824131
28,28,28,01-29,2.5544564862636228,-1.003165768902873,-0.8184693513003815
29,29,29,01-30,3.4805666836604767,0.7204320865786753,-0.7149439025416869
30,30,30,01-31,2.510503255967382,-1.084967798178687,-0.6418269828489649
31,31,31,02-01,2.963089556794212,-0.2426525103024484,-0.7576523850381679
32,32,32,02-02,2.4028686511308,-1.2852882077729224,-0.7086279449098715
33,33,33,02-03,2.206758337932168,-1.6502721116507582,-0.9986634664970232
34,34,34,02-04,2.7125050720637103,-0.7090191281330942,-0.638827234210951
35,35,35,02-05,2.5455288964123635,-1.0197810429442358,-0.6058990266658756
36,36,36,02-06,3.6705696939238974,1.0740495955377471,-0.7539949522646442
37,37,37,02-07,3.0692459274087764,-0.04508326503199549,-0.4826921166513086
38,38,38,02-08,1.9254261440387024,-2.173863761365535,-0.2102257921128324
39,39,39,02-09,3.0814043181825737,-0.02245509797074436,-0.029173377910799363
40,40,40,02-10,3.5909019932474804,0.9257788190977632,-0.039153106021541206
41,41,41,02-11,3.129218948668698,0.06653344226796253,0.29023932854552364
42,42,42,02-12,3.638396314473885,1.0141712268732959,1.1447135763190133
43,43,43,02-13,4.131165417367902,1.9312713423703936,1.411692740445641
44,44,44,02-14,4.680142895719553,2.9529817252754023,1.2559212419285997
45,45,45,02-15,3.9421113291729517,1.5794198867890206,1.2376483865316077
46,46,46,02-16,3.0887144112139118,-0.008850172004483474,0.9905594396793944
47,47,47,02-17,3.0703095772109883,-0.04310369011399021,0.6808666416076696
48,48,48,02-18,2.8418128447876154,-0.4683624542399834,0.4721037908864712
49,49,49,02-19,3.132755060419093,0.07311455394004539,0.13980443821036234
50,50,50,02-20,4.0071179057812,1.7004046209482115,0.06631558307606973
51,51,51,02-21,2.8708203034049773,-0.4143762292676327,0.030222128312885232
52,52,52,02-22,2.8517956499665296,-0.4497833028102391,0.14474554557329536
53,53,53,02-23,2.9539488504585343,-0.2596644186930972,0.14194635254971258
54,54,54,02-24,3.211021837111299,0.21877804932247746,0.09534175954984653
55,55,55,02-25,3.123730816641888,0.05631939579854873,0.2356319441177801
56,56,56,02-26,3.8568706006382696,1.4207770629490148,0.129628511156102
57,57,57,02-27,3.3230980900470986,0.4273648781399688,-0.05811969832911379
58,58,58,02-28,2.510054007926288,-1.0858039005803075,-0.2303720458943905
59,59,59,02-29,2.3486724022628587,-1.386153675604392,-0.4546252183092905
60,60,60,03-01,2.655702085122465,-0.8147360360691828,-0.8338535550761997
61,61,61,03-02,2.4007669914843888,-1.2891996386908509,-0.9139584149563921
62,62,62,03-03,2.634286473935835,-0.8545929576524407,-0.7923064112448986
63,63,63,03-04,3.064850167446733,-0.053264281141185255,-0.6415752571242509
64,64,64,03-05,2.902244660099608,-0.3558918783113471,-0.3299925434510255
65,65,65,03-06,2.8346105523455365,-0.4817667508805053,-0.1492425021846823
66,66,66,03-07,3.6602052906039035,1.0547602459701702,0.03857262643000059
67,67,67,03-08,2.9834822316929985,-0.20469939109279187,-0.0455717702112424
68,68,68,03-09,3.2397786609292933,0.2722978140356567,0.028792791299631963
69,69,69,03-10,2.793579289954875,-0.5581306609886432,-0.041284831823292206
70,70,70,03-11,3.1419865877928,0.09029549075389898,-0.21837984051031145
71,71,71,03-12,2.6086891710543934,-0.9022324896180502,-0.12472538397450122
72,72,72,03-13,3.089273412504145,-0.0078098061519454405,-0.271938148586786
73,73,73,03-14,3.285412337791589,0.3572273481220695,-0.32678672064861863
74,74,74,03-15,2.76518335300117,-0.6109787736380521,-0.4777965772850542
75,75,75,03-16,2.616754440454487,-0.8872220933596391,-0.6608785379083731
76,76,76,03-17,2.6551499360981943,-0.8157636490647142,-0.9978472217159674
77,77,77,03-18,2.0184561181873337,-2.0007242533579643,-1.1030619691162022
78,78,78,03-19,2.0029290545607847,-2.0296219089975103,-0.9835250202564759
79,79,79,03-20,2.9462133181107437,-0.27406113627933937,-0.9794124461141238
80,80,80,03-21,3.1505553362139347,0.10624291952030523,-0.8957978533186743
81,81,81,03-22,2.6300128586127727,-0.8625466485055248,-0.5151645639584002
82,82,82,03-23,2.9247127930933368,-0.31407609229201744,0.08989751090825356
83,83,83,03-24,3.245569634106992,0.28307548280368056,0.2777337415327184
84,84,84,03-25,3.9535725500026566,1.600750540202412,0.1695379757772836
85,85,85,03-26,3.5517735353110704,0.8529562474674497,0.3604293403254232
86,86,86,03-27,2.8017458909157744,-0.5429316750123038,0.5593357433046388
87,87,87,03-28,3.245422440636095,0.2828015387833128,0.6701180589728487
88,88,88,03-29,3.5659618438765226,0.8793623255832759,0.3824737999816626
89,89,89,03-30,3.6027177887253528,0.94776937681294,0.2586414334108708
90,90,90,03-31,3.0262438904993982,-0.12511501374470396,0.15184259530671032
91,91,91,04-01,3.1525536694324776,0.10996204804269874,-0.0787412047781039
92,92,92,04-02,2.4574399634379334,-1.1837247036372665,-0.03610484578608687
93,93,93,04-03,2.5020494736742545,-1.1007012617255725,-0.10039423292428402
94,94,94,04-04,3.7034160651734562,1.1351804795353782,-0.07083419517644947
95,95,95,04-05,3.39545694714194,0.562033053983757,-0.03667399677212989
