,unnamed: 0,unnamed: 0,mth_day,biography,biography_norm,biography_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.218932658252152,-0.06607664115091656,
2,2,2,01-03,3.9051533011752833,-0.5682858952424223,
3,3,3,01-04,3.1407039891399333,-1.7918001581452818,
4,4,4,01-05,3.6572906095213487,-0.9649943933803056,-1.1257079399915555
5,5,5,01-06,3.2896394382083187,-1.553426412079845,-1.1433461816254484
6,6,6,01-07,3.12954260834094,-1.8096641399505613,-1.4003985757638535
7,7,7,01-08,4.152810625556501,-0.17190609095427328,-1.1254757221571705
8,8,8,01-09,2.941518310652522,-2.1106002600728533,-1.0484835476230632
9,9,9,01-10,4.171331547843481,-0.14226303650518216,-0.788166722345227
10,10,10,01-11,3.945917967481509,-0.5030413461756607,-0.4991667155299522
11,11,11,01-12,4.265512089775443,0.008474539587172245,-0.5828475841905841
12,12,12,01-13,4.21294243335314,-0.07566409905891328,-0.42192721569758296
13,13,13,01-14,3.839108769757772,-0.6739913029180646,-0.3638931972085284
14,14,14,01-15,3.5447746945793663,-1.145078049114846,-0.4604436640944024
15,15,15,01-16,4.388888793494291,0.20594107442914547,-0.3955423084555156
16,16,16,01-17,3.5839707132869334,-1.082344147490905,-0.3047536182885066
17,17,17,01-18,4.508813528128586,0.3978826734204927,-0.2398727627863433
18,18,18,01-19,4.553290006780345,0.4690680419431408,-0.00026280510008099456
19,19,19,01-20,4.082333357439582,-0.2847061699050845,0.065246849879024
20,20,20,01-21,4.443021684567869,0.29258169700272746,0.0973518119723527
21,21,21,01-22,4.6344706172564525,0.5989990043037754,0.02155291718897533
22,22,22,01-23,3.704325417417332,-0.8897143749309329,-0.06538427680959179
23,23,23,01-24,4.224659523257162,-0.056910695279771585,-0.2563417693320897
24,24,24,01-25,4.227380876870521,-0.05255512204826178,-0.6022112488207622
25,25,25,01-26,3.366474156384684,-1.4304511250400718,-0.9100175400637224
26,26,26,01-27,3.146430249555891,-1.7826351799293076,-0.8262100443333279
27,27,27,01-28,3.4805700144670837,-1.2478387431539852,-0.7523064789986594
28,28,28,01-29,4.018501971285224,-0.3868694005485671,-0.8174954391067693
29,29,29,01-30,4.50170833939278,0.3865106967282393,-0.5725160625482901
30,30,30,01-31,3.983001270267272,-0.4436888826969208,-0.3847768246397587
31,31,31,02-01,4.284849960661745,0.03942513431080285,-0.26048256218273513
32,32,32,02-02,3.8502248955817486,-0.6561997524781191,-0.284638297380424
33,33,33,02-03,3.9465228830496537,-0.5020731684118437,-0.4309982693799889
34,34,34,02-04,3.927947235406117,-0.5318038117347005,-0.4465503286714343
35,35,35,02-05,3.953035798514701,-0.4916491352691501,-0.4567757810392731
36,36,36,02-06,3.924699893389792,-0.5370012384455929,-0.18817906082258487
37,37,37,02-07,4.2465169051436265,-0.02192757989622988,-0.16143783670375614
38,38,38,02-08,4.8571371198697335,0.9553805688220102,-0.06398177673758175
39,39,39,02-09,4.04677006937401,-0.3416258236988711,-0.10350273258393244
40,40,40,02-10,4.2932893662844025,0.0529325480623458,-0.20540528005712452
41,41,41,02-11,3.8048801042637335,-0.7287748703472542,-0.35248657677691003
42,42,42,02-12,3.5426888224650748,-1.1484165232847459,-0.45348922898910904
