,unnamed: 0,unnamed: 0,mth_day,bad script,bad script_norm,bad script_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4622126637590656,-1.1182451912044515,
2,2,2,01-03,0.6993948724565617,0.06760464772601435,
3,3,3,01-04,0.6532884525636817,-0.162915554037371,
4,4,4,01-05,0.31980672312797503,-1.830238146694216,-0.9267594140063432
5,5,5,01-06,0.5209286666936315,-0.8246803281189569,-0.7780177261193749
6,6,6,01-07,0.3474393962399933,-1.6920819117090786,-0.8857815877393462
7,7,7,01-08,0.6407119015221366,-0.2257950638826408,-0.8436994005838535
8,8,8,01-09,0.5700715641706725,-0.5789785219938134,-0.5757884303985169
9,9,9,01-10,0.7037896835055181,0.08957756889558488,-0.42551929239441416
10,10,10,01-11,0.6413164803843816,-0.22277232558219626,-0.2554271038077761
11,11,11,01-12,0.7012609391997046,0.07693449990565962,-0.0993404473351041
12,12,12,01-13,0.5515605571833836,-0.6715287801892503,0.20693635367797328
13,13,13,01-14,0.8280255564978057,0.7107248749533913,0.07748999950860097
14,14,14,01-15,0.9376226946035272,1.2586822840846508,0.2843389873500093
15,15,15,01-16,0.5484460412577562,-0.6871005561206489,0.6444361218134896
16,16,16,01-17,0.8895480769614765,1.0183216014662535,1.2413105025887503
17,17,17,01-18,1.1333998031289794,2.237517306686541,1.3262749176481703
18,18,18,01-19,1.2678467814573209,2.9097175044623147,0.9470296876349344
19,19,19,01-20,0.929988116830028,1.2205113653099098,0.8077136956023998
20,20,20,01-21,0.4825049300795303,-1.016789095994764,0.6613223187669558
21,21,21,01-22,0.3812582222993549,-1.5229965083158572,0.5224213489039341
22,22,22,01-23,0.7138693580264697,0.13997334045358942,-0.0719733993572218
23,23,23,01-24,0.9667100364783424,1.4041114875084115,-0.23738484804299045
24,24,24,01-25,0.5545362697760539,-0.6566509851046199,-0.039579618506274304
25,25,25,01-26,0.7314841336687489,0.2280426731952977,0.20125230852543385
26,26,26,01-27,0.7198834565669021,0.17004228122553294,0.36393424123796986
27,27,27,01-28,0.6702714506340975,-0.07800494612560817,0.251660473037657
28,28,28,01-29,0.9090977529676232,1.1160649367288056,0.18407850975144271
29,29,29,01-30,0.8319745609755167,0.7304688783065344,0.34107983489133553
30,30,30,01-31,0.4734337281517566,-1.0621427648219053,0.32291634934217306
31,31,31,02-01,0.9198954476949778,1.1700506240346544,0.3085341819573812
32,32,32,02-02,0.6980861489545948,0.06106136793055793,0.22034090200576764
33,33,33,02-03,0.6530119590145247,-0.16429795043435952,0.03209044190039434
