,unnamed: 0,unnamed: 0,mth_day,haunted house,haunted house_norm,haunted house_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8611970574710054,0.3203074061585477,
2,2,2,01-03,0.7391750710785115,-0.2975342214708772,
3,3,3,01-04,0.6672260088393358,-0.6618384508519329,
4,4,4,01-05,0.5000120718096883,-1.5085033353622606,-0.9507432030027506
5,5,5,01-06,0.5364482209153566,-1.3240138811782949,-1.2792278631721132
6,6,6,01-07,0.35695035955366605,-2.2328767353116863,-1.5004472558705462
7,7,7,01-08,0.47194827000629996,-1.6506005548576292,-1.6863330195138142
8,8,8,01-09,0.4770338181897267,-1.624850577661474,-1.7743280346873411
9,9,9,01-10,0.4469545110233123,-1.7771530327115428,-1.5192019855399217
10,10,10,01-11,0.3957394615100968,-2.0364734264034223,-1.2889368750213377
11,11,11,01-12,0.8387682903825034,0.20674241370622226,-1.0788863043621764
12,12,12,01-13,0.6298106356425794,-0.8512860722001815,-1.0550414806346933
13,13,13,01-14,0.7208546569687609,-0.3902971309026621,-0.7793352810159865
14,14,14,01-15,0.5052895325309902,-1.481781635296574,-0.4677276521190153
15,15,15,01-16,0.7736617120315773,-0.12291583499930248,-0.6036650821748245
16,16,16,01-17,0.7649892512882884,-0.16682765302159533,-0.4907658556326919
17,17,17,01-18,0.6776847262580468,-0.6088821666286325,-0.4778680196000526
18,18,18,01-19,0.7635943167879036,-0.1738907129473862,-0.21902964673690287
19,19,19,01-20,0.7361383753440268,-0.31291011470682595,-0.22259704722914134
20,20,20,01-21,0.8120086430500979,0.07124860188232396,-0.25061701430362565
21,21,21,01-22,0.7694344025575555,-0.14432023795273285,0.023472565392949046
22,22,22,01-23,0.7317860624303351,-0.3349474554685012,-0.13226543831593227
23,23,23,01-24,1.0024762598979886,1.0356553115508158,-0.18304611897841072
24,24,24,01-25,0.579047406516354,-1.108318735200674,-0.3601024242895792
25,25,25,01-26,0.6759641243932796,-0.6175941986816968,-0.2792707905708722
26,26,26,01-27,0.6021999045847485,-0.991089229984687,0.19419764934537206
27,27,27,01-28,0.8652185265333163,0.34066956435950946,-0.12250539801931097
28,28,28,01-29,1.2928381859760203,2.5058631840289647,0.003186360805202515
29,29,29,01-30,0.6271884850913346,-0.8645629726372829,0.2211273931118552
30,30,30,01-31,0.7279900228672141,-0.354168182253593,0.2046457363874105
31,31,31,02-01,0.9342205754568748,0.6900519951582195,0.20053383965501412
32,32,32,02-02,0.5826694190756477,-1.0899791703313553,0.0028729616543835914
33,33,33,02-03,0.8603459981892526,0.31599818396513146,0.016586784307434026
34,34,34,02-04,1.0586133760525205,1.3198979160251814,0.08388697292898879
35,35,35,02-05,0.6434391338627373,-0.7822800367189804,-0.011480069401335835
36,36,36,02-06,0.8077396124023223,0.049632949475735724,-0.017205169609589104
37,37,37,02-07,0.8212122371922062,0.1178497411762717,-0.18771312258375936
38,38,38,02-08,0.5758852717945311,-1.1243297715808749,-0.5183426507453371
39,39,39,02-09,0.6582969469061114,-0.7070495338798901,-0.42199820745231015
40,40,40,02-10,0.6668229561572137,-0.6638792529442851,-0.5019021627135056
41,41,41,02-11,0.7576056757993904,-0.20421337696081893,-0.7607764568204983
42,42,42,02-12,0.7130547717676993,-0.4297907820914372,-0.3794163731348008
43,43,43,02-13,0.5144505606044031,-1.4353960234656846,-0.4662299855640841
44,44,44,02-14,1.0277905451962188,1.1638307305333109,-0.6996025799637363
45,45,45,02-15,0.5554242789522819,-1.2279312084555898,-0.7501250585844383
46,46,46,02-16,0.3902803640291029,-2.0641148193421985,-0.9824453018352046
47,47,47,02-17,0.6977373899175465,-0.5073482486850308,-0.8657386610346071
48,48,48,02-18,0.4377591980193197,-1.8237122415960352,-0.9859717509778468
49,49,49,02-19,0.6527459634925911,-0.7351561786620996,-0.8289845549652096
50,50,50,02-20,0.8853163594932667,0.4424321908738725,-0.32596757462635456
51,51,51,02-21,0.7414514610553883,-0.2860080323797664,-0.2195001334808892
52,52,52,02-22,0.9863470100944184,0.9539870626909324,-0.05867457757346791
53,53,53,02-23,0.8238995137408481,0.13145639818776156,-0.060777306409869065
54,54,54,02-24,0.6283347719229063,-0.8587589061515074,0.24309709928352816
55,55,55,02-25,0.6502542652516009,-0.7477725516805064,0.2789527759663823
56,56,56,02-26,1.2454024100769612,2.2656786250342558,0.17999696075079286
57,57,57,02-27,0.7839398337706668,-0.07087397228264163,0.14111177105250086
58,58,58,02-28,0.8690860364301077,0.3602521713973957,0.1286112857825266
59,59,59,02-29,0.7778212191483662,-0.10185474000199034,0.3380012718495393
60,60,60,03-01,0.6135219075061962,-0.9337618177713528,-0.02278662375851918
61,61,61,03-02,0.8983778706029538,0.5085673647215696,-0.09468622685808116
62,62,62,03-03,0.8178748329140817,0.10095125138590502,-0.2204697802887924
63,63,63,03-04,0.6987400155774264,-0.5022715908800134,-0.04476315799169642
64,64,64,03-05,0.7200346450176061,-0.3944491491868715,0.061868768537516015
65,65,65,03-06,0.986030605983662,0.9523849937805852,-0.1853759010932958
66,66,66,03-07,0.7398789437377247,-0.2939702585960781,-0.3332635398200273
67,67,67,03-08,0.6053971030648742,-0.9749006530633012,-0.4149064333594996
