,unnamed: 0,unnamed: 0,mth_day,kung fu,kung fu_norm,kung fu_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8204748548573065,0.6327352886237163,
2,2,2,01-03,0.4840571477484866,-1.0641124212463808,
3,3,3,01-04,0.6035727974889189,-0.4612908328747252,
4,4,4,01-05,0.7496809392460493,0.2756598700612747,-0.32658709628059146
5,5,5,01-06,0.5416313189225629,-0.7737156958659317,-0.3815049492608324
6,6,6,01-07,0.5822582275340935,-0.5687987863815019,-0.3202738368113965
7,7,7,01-08,0.7551466415893062,0.3032281707422706,-0.4410582480479425
8,8,8,01-09,0.5568953771339812,-0.6967257465497653,-0.5964835299040453
9,9,9,01-10,0.4598922027732091,-1.1859973002940016,-0.5618640501478136
10,10,10,01-11,0.5647928671652315,-0.6568918210753423,-0.4917908726138262
11,11,11,01-12,0.5828133505208493,-0.5659988173285411,-0.2619165455969117
12,12,12,01-13,0.6656146451266353,-0.1483597211775774,-0.35038963552898394
13,13,13,01-14,1.0285964988807437,1.6824741328437571,-0.3117594323408855
14,14,14,01-15,0.4516511154975893,-1.2275642861421985,-0.3677808160565627
15,15,15,01-16,0.505845240182852,-0.9542160811654108,-0.21808997489055693
16,16,16,01-17,0.4981519352216065,-0.9930201233694056,0.10227994006146186
17,17,17,01-18,0.7608799475430892,0.3321462296674934,-0.3108948178416215
18,18,18,01-19,1.0467146516430368,1.7738597685345356,-0.2268513323709833
19,19,19,01-20,0.53709934018886,-0.7965744145747429,0.07897866371714785
20,20,20,01-21,0.5516260861976883,-0.7233033733183697,0.1520710450008992
21,21,21,01-22,0.8696491058471844,0.8807638953633761,-0.1070288223270904
22,22,22,01-23,0.5850998840878688,-0.5544658356668973,-0.4646188381655354
23,23,23,01-24,0.4526644862321101,-1.2224529743004442,-0.3811560662016395
24,24,24,01-25,0.6213390124022501,-0.37168032649613386,-0.47127104407771103
25,25,25,01-26,0.636383515933269,-0.2957977827913682,-0.7259648598573677
26,26,26,01-27,0.4444286963899104,-1.2639932405747991,-0.7950858898977708
27,27,27,01-28,0.5666749178125453,-0.6473989993145632,-0.552682452997859
28,28,28,01-29,0.5028761053576993,-0.9691920159093159,-0.7510426595927785
29,29,29,01-30,0.7410185016083358,0.2319676470990273,-0.9351780333493372
30,30,30,01-31,0.3853771679911097,-1.5618415660656506,-1.0258444058713712
31,31,31,02-01,0.4173429978838935,-1.4006100253307212,-0.8278862719834762
32,32,32,02-02,0.3365753882409833,-1.8079914757070024,-0.8793836602168548
33,33,33,02-03,0.8021584716473373,0.5403498040128069,-1.0230945813357817
34,34,34,02-04,0.4416167483601563,-1.2781763453095871,-1.0930479984881576
35,35,35,02-05,0.5700653926589404,-0.6302978796145329,-0.828727917751764
36,36,36,02-06,0.3021632128461396,-1.9815620689799087,-0.6338710953988489
37,37,37,02-07,0.7317682288115288,0.1853104590876411,-1.0614444770984997
38,38,38,02-08,0.568369738467605,-0.6388505415895117,-1.0600641337151464
39,39,39,02-09,0.2935332514034789,-2.0250904861850985,-0.7510696179622772
40,40,40,02-10,0.4432587529549684,-1.2698942850094683,-0.4692033959613136
41,41,41,02-11,0.9376336519462932,1.2236692149026829,-0.38985186058438986
42,42,42,02-12,0.6374606737747311,-0.29036473697412657,-0.2696756622886603
43,43,43,02-13,0.8261618320740611,0.6614196713491833,0.08594481546630488
44,44,44,02-14,0.7113268259346917,0.08220664818486544,0.14354528781360149
45,45,45,02-15,0.7165660021849642,0.10863238034469258,-0.09846004710420353
46,46,46,02-16,0.5117781093689131,-0.9242914509256888,-0.19760882864631787
47,47,47,02-17,0.6497532037213334,-0.2283627946041473,-0.407912405158005
48,48,48,02-18,0.5195170107517779,-0.8852574262268128,-0.4808081591451008
49,49,49,02-19,0.575992603821059,-0.6004017877209391,-0.5970980869890513
50,50,50,02-20,0.6246127775083253,-0.3551678757377095,-0.509726269350104
