,unnamed: 0,unnamed: 0,mth_day,on dvr,on dvr_norm,on dvr_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.177790252080634,-0.4162648807343712,
2,2,2,01-03,6.509890334969668,0.02765676051523577,
3,3,3,01-04,6.241105768803773,-0.3316303697887827,
4,4,4,01-05,4.378345861743463,-2.821600947340485,-1.2170066577007892
5,5,5,01-06,5.409323940073095,-1.4434818073420186,-1.2258480902814977
6,6,6,01-07,4.756050889180492,-2.3167187015143127,-1.5895370791562609
7,7,7,01-08,6.138104322582188,-0.4693134762186222,-1.6931332549414868
8,8,8,01-09,4.8774246185723165,-2.154477172733344,-1.1234580707886213
9,9,9,01-10,5.776100749425824,-0.9532074245001412,-0.6877911049330092
10,10,10,01-11,6.935407626217562,0.5964501575767107,-0.3509006602363844
11,11,11,01-12,7.364872244481754,1.1705199877916532,-0.3550676328720271
12,12,12,01-13,6.2682278259930575,-0.29537603333456397,-0.23906653894971144
13,13,13,01-14,6.119400319500049,-0.49431531203247897,-0.01533579561393572
14,14,14,01-15,5.3981107396414885,-1.4584706091994497,-0.2671906824504321
15,15,15,01-16,6.780345528267666,0.3891770355145131,-0.2741074582436957
16,16,16,01-17,5.804923941408247,-0.914679163442268,-0.3158456215320113
17,17,17,01-18,7.333825389350272,1.1290193330320717,-0.198619230787303
18,18,18,01-19,6.0808806070289085,-0.5458050130644576,-0.042396138123687664
19,19,19,01-20,6.645586346027333,0.2090430324357711,-0.10922914887133564
20,20,20,01-21,6.099338576293802,-0.5211320532177577,-0.2747016173161321
21,21,21,01-22,6.480356795843543,-0.0118210289713748,-0.4874081550879907
22,22,22,01-23,5.06217906870936,-1.9075139741110465,-0.6165346988815691
23,23,23,01-24,6.379064202764803,-0.14721989359908086,-0.9719997521605332
24,24,24,01-25,5.501279183097745,-1.3205642758259275,-1.1315959684313477
25,25,25,01-26,5.050034842940474,-1.9237472872380144,-1.2569781732640484
26,26,26,01-27,5.382970032019408,-1.4787093508426437,-1.056299068438703
27,27,27,01-28,5.917562328326197,-0.7641142579675795,-1.0041970292400404
28,28,28,01-29,5.962953545380407,-0.7034393451589744,-0.6225332146565891
29,29,29,01-30,6.612931037747527,0.16539234159289534,-0.24263786449146216
30,30,30,01-31,7.214427261692643,0.9694186116747812,-0.11908557837772235
31,31,31,02-01,6.7552449370984045,0.3556248137527469,-0.23928840808357324
32,32,32,02-02,5.937550669412997,-0.7373956341602047,0.01597589432382011
33,33,33,02-03,5.378016165227146,-1.4853312362026851,-0.07659434292375543
34,34,34,02-04,7.108740839049754,0.8281464692853857,-0.3230100528141109
35,35,35,02-05,6.197417389305798,-0.3900290818925579,-0.4363606161968325
36,36,36,02-06,6.108358035834823,-0.509075647667352,-0.19820511277609865
37,37,37,02-07,6.246456069915139,-0.32447856654358204,0.1644343947928131
38,38,38,02-08,7.006542875387035,0.6915373863641981,0.19467304212410755
39,39,39,02-09,7.005771147166735,0.6905058092107854,0.3050197737529625
40,40,40,02-10,7.2444709727315475,1.0095783532731524,0.12704355788918018
41,41,41,02-11,6.6927231637751925,0.2720513078805719,0.11629261969368106
