,unnamed: 0,unnamed: 0,mth_day,murder,murder_norm,murder_ravg
0,0,0,01-01,,,
1,1,1,01-02,13.260026584126518,-1.4244680392502589,
2,2,2,01-03,14.441245849500675,-0.5676803688637987,
3,3,3,01-04,14.001083053548731,-0.8869488295039152,
4,4,4,01-05,11.602845522986515,-2.6264906800958245,-1.7017846887174304
5,5,5,01-06,11.778554891213556,-2.499041336285272,-1.7373268747329422
6,6,6,01-07,12.182450642002037,-2.2060788783055134,-2.167154940878554
7,7,7,01-08,12.966022949577727,-1.6377211553433295,-1.9993128705586496
8,8,8,01-09,10.885724148535695,-3.146648765737471,-1.6256645964199403
9,9,9,01-10,15.389466387165534,0.12010359241551155,-1.34090509428097
10,10,10,01-11,14.693650083846054,-0.38460103526356615,-1.1633539660347685
11,11,11,01-12,14.13407485176471,-0.7904843234514491,-0.89630437576949
12,12,12,01-13,13.6511469399686,-1.140772108828303,-0.5474437162240727
13,13,13,01-14,15.1750471809092,-0.03542361375166001,-0.5476430540647079
14,14,14,01-15,13.771486487764804,-1.0534848084649682,-0.7647327764705629
15,15,15,01-16,15.387817471996836,0.11890756537170072,-0.6138621966132569
16,16,16,01-17,12.89789201250365,-1.6871393696986958,-0.3942304938620409
17,17,17,01-18,15.38207065048042,0.1147391556923875,-0.5060100353880769
18,18,18,01-19,15.467932177736886,0.17701810767899312,-0.4670900413599678
19,19,19,01-20,14.25041099048161,-0.7061008629078759,-0.4540144316745882
20,20,20,01-21,14.093431223968912,-0.8199648442963134,-0.4061484733294291
21,21,21,01-22,15.495978426693465,0.19736122348397875,-0.4297677731988536
22,22,22,01-23,13.293837431237767,-1.3999436196277415,-0.6714668389571322
23,23,23,01-24,15.186692684587214,-0.026976643524159044,-0.9320646400714104
24,24,24,01-25,13.468606537806721,-1.2731762868706789,-1.0838541858747293
25,25,25,01-26,12.094755717911108,-2.2696876695935453,-1.4452764208509368
26,26,26,01-27,12.837833773288507,-1.7307021191162264,-1.1660011291035128
