,unnamed: 0,unnamed: 0,mth_day,teenagers,teenagers_norm,teenagers_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2956273362063159,-0.9667245754524574,
2,2,2,01-03,0.3836415509718496,-0.5096589161355327,
3,3,3,01-04,0.6285046020839511,0.7619367255122721,
4,4,4,01-05,0.1281023796587324,-1.8366966012262431,-0.733119130233226
5,5,5,01-06,0.20027776500990788,-1.4618833942929177,-0.7490067910972241
6,6,6,01-07,0.4075138346841368,-0.3856880198044771,-0.877852929977813
7,7,7,01-08,0.2772710239316766,-1.0620505406364458,-0.8445844125051566
8,8,8,01-09,0.23477508277871825,-1.2827357494190659,-0.472686387399863
9,9,9,01-10,0.6669424376388507,0.9615478303482106,-0.1101614100664422
10,10,10,01-11,0.5577865440925199,0.3946915494055192,-0.06725670690545102
11,11,11,01-12,0.6191324817774569,0.7132664697076068,0.06258652414296234
12,12,12,01-13,0.4570851426328429,-0.12825980083853009,0.24885122426744946
13,13,13,01-14,0.4272895141471724,-0.28299115434596583,-0.10739062717365633
14,14,14,01-15,0.4499819046322097,-0.16514754867214332,-0.14871988719875773
15,15,15,01-16,0.2553471294102615,-1.175903278298424,-0.4800425389392891
16,16,16,01-17,0.5100354742783564,0.14671598925491086,-0.2786679204177005
17,17,17,01-18,0.23632836032289925,-1.2746694407355816,-0.2806679458489802
18,18,18,01-19,0.6897496873642203,1.0799879102910013,-0.2642229422728817
19,19,19,01-20,0.42497872140757015,-0.2949913069336437,0.2027421090283973
20,20,20,01-21,0.4689821604649905,-0.06647752721555246,0.20022149025252625
21,21,21,01-22,0.7948699941293265,1.6258870295092502,0.53439459344242
22,22,22,01-23,0.5071231975265247,0.13159227659968453,0.2986739281118541
23,23,23,01-24,0.6224258411571729,0.7303691784037812,0.07889915436376195
24,24,24,01-25,0.4174023494248368,-0.3343360816923948,-0.06304444684349035
25,25,25,01-26,0.17105497444807208,-1.6136399494221965,-0.4450450057352742
26,26,26,01-27,0.3049831242663097,-0.9181391344590664,-0.29592341781874243
27,27,27,01-28,0.3535135472533746,-0.6661163238414528,-0.15015529065718394
28,28,28,01-29,0.6794155480567897,1.0263218040988755,-0.14469099234111282
29,29,29,01-30,0.7908436645719625,1.6049779413731322,0.06633132393793137
30,30,30,01-31,0.42371569958444905,-0.3015502917959681,0.01556605487236464
31,31,31,02-01,0.4148662924069984,-0.34750605174793137,0.16052776306373676
32,32,32,02-02,0.2463298624897283,-1.2227307488524666,0.039070678337944385
33,33,33,02-03,0.5209996489649097,0.20365392530677984,-0.4331094093250914
34,34,34,02-04,0.5390862576546962,0.2975792957441214,-0.4172141629228236
35,35,35,02-05,0.2452954423884183,-1.2281025846050826,-0.4050894806485475
36,36,36,02-06,0.4420807760510259,-0.20617881338236085,-0.3930190952265646
37,37,37,02-07,0.42887492816292216,-0.2747579581022752,-0.4250928466759008
38,38,38,02-08,0.2602757646573187,-1.1503084363205691,-0.4182860055723154
39,39,39,02-09,0.4839422241833097,0.011211416610762824,-0.3949349130643485
40,40,40,02-10,0.5469507571534488,0.3384203423656338,-0.2777163103513812
41,41,41,02-11,0.27227486684236923,-1.0879960295572817,-0.2307273456613535
42,42,42,02-12,0.577513001991342,0.4971328028954435,-0.03608667096251402
43,43,43,02-13,0.483165117052005,0.007175830037890812,0.12425612229468133
44,44,44,02-14,0.4851600340726257,0.017535611872467827,0.20696177893676024
45,45,45,02-15,0.6691993497735602,0.9732681761539348,0.2717790729485659
46,46,46,02-16,0.642507357536411,0.8346542822181071,0.12771750242006466
