,unnamed: 0,unnamed: 0,mth_day,psychology,psychology_norm,psychology_ravg
0,0,0,01-01,,,
1,1,1,01-02,8.077611734869372,-0.35492283923313833,
2,2,2,01-03,8.248234042868555,-0.17344633768846784,
3,3,3,01-04,6.658333619795632,-1.8644887926120624,
4,4,4,01-05,5.837080295853562,-2.7379864135190157,-1.5908494084473377
5,5,5,01-06,6.283385586810723,-2.263289266507208,-1.9065959112180657
6,6,6,01-07,6.3889937543140665,-2.1509628011241326,-2.42200142424494
7,7,7,01-08,6.296442385002309,-2.2494018558575086,-2.263894742437916
8,8,8,01-09,5.340760818303408,-3.2658794158497133,-1.9704093818301225
9,9,9,01-10,7.550235107769809,-0.9158487017699194,-1.6208104764647644
10,10,10,01-11,7.492671488034923,-0.9770742498722524,-1.2548541540893206
11,11,11,01-12,8.255520985048232,-0.16569583431506116,-0.9574781225281828
12,12,12,01-13,8.45340358652216,0.044775133128531874,-0.5948860294020085
13,13,13,01-14,7.9739813859216975,-0.4651456664906837,-0.3269227158511881
14,14,14,01-15,7.386192571666152,-1.0903268570926663,-0.2527485133894432
15,15,15,01-16,9.061852930286467,0.6919311795350027,-0.13752494726093933
16,16,16,01-17,7.911098342541138,-0.5320290351017829,0.027707217620639085
17,17,17,01-18,8.905512932922619,0.5256455624559621,-0.05216427983477828
18,18,18,01-19,9.385500902301304,1.0361681224180024,0.08180757741648216
19,19,19,01-20,7.523415308555273,-0.9443746512231881,-0.10981257950050867
20,20,20,01-21,8.141946202464032,-0.2864957135851039,-0.0344075444519667
21,21,21,01-22,7.980897330391531,-0.4577897619669423,-0.3463268424061072
22,22,22,01-23,8.336468492568233,-0.07959882481053099,-0.8152929939493498
23,23,23,01-24,7.145933370607122,-1.3458702252688808,-0.9999132200305356
24,24,24,01-25,6.739998488421918,-1.777628786841453,-1.3273673819433245
25,25,25,01-26,6.48194727905784,-2.0520960077103028,-1.4679519489228685
26,26,26,01-27,6.294732340814452,-2.2512206850618384,-1.2422985997363714
27,27,27,01-28,7.187840496599383,-1.3012971638442064,-1.1464607493033858
28,28,28,01-29,9.609410000198126,1.2743212703084508,-1.0538554615422635
29,29,29,01-30,7.686567836073648,-0.7708431226709692,-0.8205644977142622
30,30,30,01-31,7.262397624273952,-1.2219970602747183,-0.5026054814485478
31,31,31,02-01,7.7979736189381885,-0.6523502247422938,-0.3497161046718687
32,32,32,02-02,8.088382782914858,-0.3434665874675521,-0.6805859518039901
33,33,33,02-03,8.050310450962229,-0.3839609031841321,-0.6993327290581007
34,34,34,02-04,7.742927789515128,-0.7108978124842777,-0.4336938021159627
35,35,35,02-05,7.580814693090925,-0.8833237861956339,-0.2629959094950388
36,36,36,02-06,8.760903262971327,0.3718365013781098,-0.05791019327146224
37,37,37,02-07,8.760903854919492,0.3718371309832498,-0.19243927211090603
38,38,38,02-08,9.245299450645037,0.8870477098739071,-0.05120879094842475
39,39,39,02-09,7.291413456721692,-1.1911353762207944,0.39366059311731066
40,40,40,02-10,8.539628313847617,0.13648507449060954,0.14321084463636316
41,41,41,02-11,10.090383934994767,1.7858925181987784,-0.009157006832949713
42,42,42,02-12,7.348081864280813,-1.1308619895075749,0.04617369736260213
43,43,43,02-13,7.901375896380857,-0.5423699778326275,0.18727234682302105
44,44,44,02-14,9.557427545667009,1.219031935047218,0.004597693858317853
45,45,45,02-15,8.087370300332482,-0.34454347945828123,-0.3977036157655983
46,46,46,02-16,7.509135529277983,-0.9595628432976092,-0.3642115337072401
47,47,47,02-17,7.820947042343527,-0.6279153395447186,-0.3029445862900197
48,48,48,02-18,7.537015295061827,-0.9299094971574264,-0.544026565458637
49,49,49,02-19,8.246991154006404,-0.1747682933293044,-0.5635364987463349
50,50,50,02-20,8.197451019142393,-0.2274599399644863,-0.2460654253948433
51,51,51,02-21,7.977312089441604,-0.46160307918446897,-0.16207024566161055
52,52,52,02-22,9.30003341844218,0.9452635968113412,-0.1271744177749876
53,53,53,02-23,8.294775377303884,-0.12394426114532235,0.013139556936701671
54,54,54,02-24,7.733867448686537,-0.7205345298376885,0.13281455802972975
55,55,55,02-25,9.038521539684053,0.6671155549408311,0.2118088099222343
56,56,56,02-26,8.872554122491698,0.4905900665936823,0.09756471993870657
57,57,57,02-27,8.422929504209218,0.012362432170558293,0.09122876369496956
58,58,58,02-28,8.655566829908429,0.2597990569101747,0.17053405091986193
59,59,59,02-29,8.259033378692934,-0.16195999860774432,-0.07772707258734675
60,60,60,03-01,8.181239456445407,-0.2447028064883344,-0.3015410490263864
61,61,61,03-02,7.638046474800464,-0.8224511861024209,-0.34856251196128724
62,62,62,03-03,7.609988768934777,-0.8522937920405557,-0.33460941705147035
63,63,63,03-04,8.157674979359037,-0.2697663454388468,-0.36950359597634624
64,64,64,03-05,8.734278152982679,0.3435176263690761,-0.18428604645466
65,65,65,03-06,8.062190527087711,-0.37132507215700017,-0.3879827715976909
66,66,66,03-07,9.226077069437322,0.8666024906417835,-0.21225584001015893
67,67,67,03-08,6.488965296357407,-2.0446315369606065,-0.3799099870796943
68,68,68,03-09,8.601288503827405,0.20206779748463552,-0.5167863024579854
69,69,69,03-10,7.211914929705544,-1.2756912278560588,-0.4593821786874097
70,70,70,03-11,7.9621400753312574,-0.4777402659006706,-0.8437503133446942
