,unnamed: 0,unnamed: 0,mth_day,motorcycle,motorcycle_norm,motorcycle_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.2875664892225869,-1.133204554052046,
2,2,2,01-03,1.3750480733287358,-0.8798061955030315,
3,3,3,01-04,1.5564348495069111,-0.3544029141646846,
4,4,4,01-05,1.4956599263728911,-0.5304430021495657,-0.9340672516406912
5,5,5,01-06,1.3006575503763014,-1.095285105725746,-0.9381255604163168
6,6,6,01-07,1.1225251684880984,-1.6112617382490733,-1.0732480106135955
7,7,7,01-08,1.2791601061066928,-1.1575544067057997,-0.944140148385966
8,8,8,01-09,1.095155352809577,-1.6905408966867053,-0.897152265362975
9,9,9,01-10,1.8238689490702693,0.4202442592010933,-0.7141690844865872
10,10,10,01-11,1.5929906541056968,-0.2485157040116195,-0.7301261321045721
11,11,11,01-12,1.6796890157617097,0.002613979532580205,-0.34879502974208104
12,12,12,01-13,1.0894717309377078,-1.707004023956982,0.11662052440093584
13,13,13,01-14,2.0690495693526514,1.1304322074691455,-0.14954991701137202
14,14,14,01-15,2.059217397501867,1.1019524281713962,-0.009165954620304707
15,15,15,01-16,1.2725233446950723,-1.176778389272754,-0.01894942904969196
16,16,16,01-17,1.883782073988389,0.5937880703347844,0.21003614501745105
17,17,17,01-18,1.6594235212404596,-0.056086867043743306,-0.05574022775482038
18,18,18,01-19,1.5637925798545271,-0.3330905795541238,-0.536197390149031
19,19,19,01-20,1.5185202389835135,-0.4642260291644829,-0.6110820039031811
20,20,20,01-21,1.0639981568864465,-1.7807905461938682,-0.9925179700750072
21,21,21,01-22,1.117407312991426,-1.6260860717976549,-1.1402134303163522
22,22,22,01-23,1.093675395787877,-1.6948277266961709,-1.1128685283574995
23,23,23,01-24,1.3534870605344511,-0.9422596284918148,-1.1850737411186776
24,24,24,01-25,1.6204348253912138,-0.16902116780100698,-0.9664456998724896
25,25,25,01-26,1.3689543200271548,-0.8974573057315526,-0.7032167395289227
26,26,26,01-27,1.5168644064018264,-0.4690222987167401,-0.6102512684802185
27,27,27,01-28,1.66265993180069,-0.04671230973625323,-0.15285848915943465
28,28,28,01-29,1.286244125619057,-1.1370349004039464,-0.18667648359523192
29,29,29,01-30,2.3009307248774435,1.8020970474328883,-0.02713552549080176
30,30,30,01-31,1.5503842124004223,-0.3719291344157906,0.0364923060611668
31,31,31,02-01,1.6994275517727802,0.059788442895028285,0.3949726980991565
32,32,32,02-02,1.6486631330221189,-0.08725530940492865,0.6076395484445198
33,33,33,02-03,2.4052164206283924,2.1041700424916847,0.3617681706721176
34,34,34,02-04,1.7267623608974996,0.13896620166823367,0.1318234680711076
35,35,35,02-05,1.7916326125205575,0.3268687807984744,0.047349392420696905
36,36,36,02-06,1.074076624090707,-1.7515973500218505,0.13110056224954514
37,37,37,02-07,1.5244479032198204,-0.4470560110074359,-0.2841268129024708
38,38,38,02-08,1.8221453540433783,0.4152517095681609,-0.560613583582016
39,39,39,02-09,1.545114198565019,-0.38719420842041136,-0.7017279947917886
40,40,40,02-10,1.154047506185569,-1.5199544224090369,-0.6833562013412571
41,41,41,02-11,1.4993281405375745,-0.5198176864601615,-0.59863549823727
42,42,42,02-12,1.1121319675379122,-1.6413665893186609,-0.3568122732668062
43,43,43,02-13,1.6999384160209892,0.06126820761648628,-0.38480363841287946
44,44,44,02-14,2.323058120374067,1.8661910593909443,-0.2879448196942919
45,45,45,02-15,1.487132868813071,-0.5551423992968509,-0.4851900820974802
46,46,46,02-16,1.3546809186039843,-0.9388015100975122,-0.4969323238598077
47,47,47,02-17,1.0907541913312016,-1.703289260879291,-0.6916730810465258
48,48,48,02-18,1.0878090812443826,-1.7118200398926262,-0.9765155564401674
49,49,49,02-19,1.2965523003505592,-1.1071763355038229,-1.0726915754781836
50,50,50,02-20,1.7330352541446667,0.15713620702909498,-0.8751527529497379
51,51,51,02-21,1.2879138080429988,-1.1321985135249482,-0.6599003048819642
52,52,52,02-22,1.763862948421494,0.2464314250731614,-0.32556112522498826
53,53,53,02-23,1.5366282352087113,-0.4117745724726475,-0.2320572944000661
54,54,54,02-24,1.7803594489568475,0.2942150380492288,-0.2329307828476999
55,55,55,02-25,1.4902361889297029,-0.5461533505542899,0.038502216225556184
56,56,56,02-26,1.7312259096753109,0.15189527634329258,-0.008494908861273756
57,57,57,02-27,1.8501602773630013,0.4963994809145885,0.1977461697246613
58,58,58,02-28,1.6665130766723737,-0.035551325447818215,0.058347631142832486
59,59,59,02-29,1.9638361231943409,0.8256718990429628,0.3463431238167276
60,60,60,03-01,1.4916092365154756,-0.5421761934417441,0.26305360940947303
61,61,61,03-02,2.0867902169543897,1.181819605489081,0.05589619066450404
62,62,62,03-03,1.5586999619580335,-0.34784181010023496,0.23313521715698
63,63,63,03-04,1.4210542818485448,-0.7465450315552253,0.1316293502748096
64,64,64,03-05,2.0336460973859465,1.0278828335070374,0.27414873491671576
65,65,65,03-06,1.7535768125555349,0.21663669774994085,0.0611462986870264
66,66,66,03-07,1.7868239712682858,0.3129401144096932,0.07267384980124815
67,67,67,03-08,1.6455768488834717,-0.09619501188905516,0.21451464009018906
68,68,68,03-09,1.5825781379204478,-0.2786765034149045,0.02339827437958224
69,69,69,03-10,1.714863375871017,0.10449971017842014,0.014269565293659475
70,70,70,03-11,1.6377675482893477,-0.11881536075660358,-0.143432305880646
71,71,71,03-12,1.7346675993407328,0.16186444323440427,-0.3522299362161294
72,72,72,03-13,1.4601602252401882,-0.6332711126361397,-0.2468406749411821
