,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
70,70,70,03-11,1.572167858508521,-0.5651957124782893,-0.6411992267987274
71,71,71,03-12,2.134207877127768,1.1264946297101859,-0.4145925386138318
72,72,72,03-13,1.3419507482956117,-1.258128687091892,-0.4254626294638375
73,73,73,03-14,1.7402933610374585,-0.059152940644162585,-0.4840397309060992
74,74,74,03-15,1.4401935720560557,-0.9624265473169352,-0.1834387152103416
75,75,75,03-16,1.3659712470481813,-1.1858291276155033,-0.662790601901056
76,76,76,03-17,2.1713902915220378,1.2384103816962562,-0.5732215268751445
77,77,77,03-18,1.1786608602702209,-1.7496166904341,-0.5658376196788235
78,78,78,03-19,1.520499044067569,-0.7207142369364227,-0.3128353776948891
79,79,79,03-20,1.7550125489453383,-0.014849497466236847,-0.15701359827933686
80,80,80,03-21,1.944531917848369,0.5555869045866714,-0.1347072097138465
81,81,81,03-22,1.6765886465329052,-0.2508984511221897,0.490312705896478
82,82,82,03-23,2.2158561706443045,1.3722487130891985,1.0389887310450037
83,83,83,03-24,2.4245846428198603,2.000502803227847,1.4548930589538909
84,84,84,03-25,2.614237805943368,2.571341913954732,1.5082726980084853
85,85,85,03-26,2.584082280109032,2.480576469987085,1.5020828174548473
86,86,86,03-27,2.0509396660512267,0.8758647389142378,1.0810579677274077
87,87,87,03-28,1.6642496486861111,-0.2880377344440174,0.7160894898028034
88,88,88,03-29,1.3765791168762282,-1.1539003852754384,0.33167540318698624
89,89,89,03-30,1.6970511752131905,-0.18930806431977928,0.06202619702063069
90,90,90,03-31,1.8479411793885887,0.264857394259828,0.14194778817742915
91,91,91,04-01,2.04655963400226,0.8626812329889516,0.08757133130021026
92,92,92,04-02,2.2102565272815275,1.3553942858550283,0.20843991137583107
93,93,93,04-03,1.555854829349905,-0.6142964757073307,-0.008993759588606603
94,94,94,04-04,1.6175203008578125,-0.4286889048217136,-0.10007005182338062
