,unnamed: 0,unnamed: 0,mth_day,small town,small town_norm,small town_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.58996198485752,-0.8944158995564311,
2,2,2,01-03,2.668135479534681,-0.7357666723772427,
3,3,3,01-04,2.333949351653963,-1.4139808310410589,
4,4,4,01-05,2.4212052923804253,-1.2368992304267443,-1.0947202974625674
5,5,5,01-06,2.598780146241559,-0.8765198787312561,-1.2137548195692451
6,6,6,01-07,2.3355466109202547,-1.4107392726426715,-1.4674873665070718
7,7,7,01-08,2.2380405259602214,-1.6086230321964952,-1.4079022483620338
8,8,8,01-09,1.9179839561970813,-2.2581619540042053,-1.1541167463258055
9,9,9,01-10,2.510110698253711,-1.0564701221708286,-1.0377730372308058
10,10,10,01-11,3.1715133756399334,0.28581378179062444,-0.9219145056860591
11,11,11,01-12,2.9427463092807296,-0.17845762416125754,-0.7663356985043581
12,12,12,01-13,2.6780783632667338,-0.7155880833741904,-0.4666402930230163
13,13,13,01-14,2.6980039032048326,-0.6751501891062895,-0.5076444305080895
14,14,14,01-15,2.8040230854783394,-0.4599895211161541,-0.7053318229619029
15,15,15,01-16,2.38888338008428,-1.302494947081268,-0.7402215332391447
16,16,16,01-17,2.5870574184378663,-0.9003105729322558,-0.5777014343099244
17,17,17,01-18,2.839596084253849,-0.3877958858247079,-0.6033918536530629
18,18,18,01-19,3.158563430145463,0.259532510201131,-0.7599128651463144
19,19,19,01-20,2.6220510645248214,-0.8292927051651212,-0.4683014067551703
20,20,20,01-21,2.3412741136849218,-1.3991155900756622,-0.3367522483390153
21,21,21,01-22,3.2510225986229937,0.4471738032655969,-0.3465837277850064
22,22,22,01-23,2.9759779679322054,-0.11101562243532596,-0.4843414945633057
23,23,23,01-24,2.8105296543768823,-0.4467847625006545,-0.6594822759069182
24,24,24,01-25,2.751287344174322,-0.5670140904686646,-0.5635685932544909
25,25,25,01-26,2.1042533853975893,-1.8801373932267968,-0.7760542374661547
26,26,26,01-27,2.624839608214355,-0.8236334941610983,-0.7234930201883087
27,27,27,01-28,2.6228161205167058,-0.827740062004386,-0.4321174399510117
28,28,28,01-29,3.1313733938848567,0.20435168123175,-0.2082919873980792
29,29,29,01-30,3.6719715072896015,1.3014687189231284,0.2173410468488792
30,30,30,01-31,3.413019574511535,0.7759386248489301,0.3388093303835276
31,31,31,02-01,3.3626227703129468,0.6736608122549539,0.35056872743091266
32,32,32,02-02,2.9839563988287154,-0.09482379295320766,0.3871889747463754
33,33,33,02-03,2.6575823722849075,-0.7571836797200758,0.0944909225747094
34,34,34,02-04,3.239639891975956,0.4240731651245265,-0.2204509460053632
35,35,35,02-05,2.806619811717316,-0.4547195941068677,-0.3210992745069633
36,36,36,02-06,2.481904802956344,-1.1137125866315056,-0.3754140887324436
37,37,37,02-07,3.0650594586367395,0.06977084124535278,-0.11379457319455075
38,38,38,02-08,2.823376523985042,-0.4207126783060891,-0.2572738881036987
39,39,39,02-09,3.4310514462531123,0.8125334135072813,-0.14328764388636364
40,40,40,02-10,2.8154482463022705,-0.4368027243303612,-0.07775595752631181
41,41,41,02-11,3.1436162111588017,0.22919787119714305,-0.23113149825706625
42,42,42,02-12,2.675646973376129,-0.7205224684711948,-0.3049052002891833
43,43,43,02-13,2.6116099626597973,-0.8504824031391738,-0.5565965456231239
44,44,44,02-14,2.6052671185124865,-0.8633548904987913,-0.6314016569807377
45,45,45,02-15,2.6869346650527506,-0.6976146584963626,-0.7845974313967705
46,46,46,02-16,2.5942895147340157,-0.8856333924760438,-0.6990650593336176
47,47,47,02-17,2.690698188090876,-0.6899767752990539,-0.729415753463302
48,48,48,02-18,2.9285204812181265,-0.2073282360922776,-0.6325761756776757
49,49,49,02-19,2.5218791823144797,-1.0325865679172808,-0.4676467072797289
50,50,50,02-20,2.8915699900674627,-0.2823174237850325,-0.4132173170216604
51,51,51,02-21,3.1745429496623574,0.291962151891318,-0.3748245998519475
52,52,52,02-22,2.755208129666105,-0.5590570509276335,-0.3790341448283461
53,53,53,02-23,2.8042049321704474,-0.4596204722807763,-0.21860306595856802
54,54,54,02-24,2.9160751066900517,-0.23258550595066946,-0.3123510800324362
55,55,55,02-25,2.9961881334414615,-0.07000009469861204,-0.36940881551717175
56,56,56,02-26,2.6144072199928017,-0.8448055082282421,-0.5062348675817675
57,57,57,02-27,3.005853722723899,-0.05038426101709493,-0.296876183323866
58,58,58,02-28,2.350686626109541,-1.3800133633152079,-0.31251370568335346
59,59,59,02-29,3.423166661027814,0.7965316332666326,-0.4266289397339248
60,60,60,03-01,2.869843311200017,-0.3264106401075942,-0.4790622299672611
61,61,61,03-02,2.6588103800071,-0.7546914990020399,-0.5472368775871207
62,62,62,03-03,2.459390005934813,-1.1594052496282603,-0.32345104829083066
63,63,63,03-04,2.8042977284998982,-0.4594321467362521,-0.6654095146185649
64,64,64,03-05,3.0123017116551667,-0.03729838753746778,-0.6478859914278791
65,65,65,03-06,2.412178250081877,-1.2552191646997728,-0.7613692887255633
66,66,66,03-07,2.921651003095987,-0.2212695009634795,-0.7821064906438977
67,67,67,03-08,2.3233009257860333,-1.435591282788146,-0.8949527792533409
68,68,68,03-09,2.3980811837260108,-1.2838284611382669,-0.9661302640414532
69,69,69,03-10,2.47067156849406,-1.1365098783929128,-1.0436067115681873
70,70,70,03-11,2.8018679329163896,-0.4643632962661409,-1.165829818775623
71,71,71,03-12,2.1831218052687245,-1.7200778498601783,-1.0079508706487803
72,72,72,03-13,2.560302602328234,-0.954608144208093,-0.5556782815168987
73,73,73,03-14,2.7900645903990275,-0.4883175940270906,-0.3945941633396419
74,74,74,03-15,3.735209493813304,1.4298070736530233,-0.3129191201537203
75,75,75,03-16,2.946911207809123,-0.1700051693293722,-0.13907042482874468
76,76,76,03-17,3.043337380978944,0.025686962849388543,0.10722906967970293
77,77,77,03-18,2.697099476648187,-0.6769856779103243,0.2119891827791528
78,78,78,03-19,3.2884785625374917,0.5231888228425927,0.13879108412044916
79,79,79,03-20,3.099784251416058,0.14024308456960838,0.16851426046245202
80,80,80,03-21,3.5188018398606657,0.9906184817008016,0.3258732392877729
81,81,81,03-22,3.0347867534593584,0.008333888722645075,0.5505017869707683
82,82,82,03-23,3.5085637742866504,0.9698408358013141,0.2537878440563412
83,83,83,03-24,3.3612060300372604,0.6707856081876481,0.2245170668935048
84,84,84,03-25,2.4112540244994025,-1.25709483464397,0.1917313785818001
85,85,85,03-26,3.0132462083349805,-0.03538157840741015,0.2369477681929123
86,86,86,03-27,3.42187208320346,0.7939043518305732,0.13218969925704502
87,87,87,03-28,3.1684674497514016,0.27963222638931834,0.1976184239579112
88,88,88,03-29,3.1988501567687453,0.3412924221861107,0.33928776662284416
89,89,89,03-30,3.554643797862993,1.0633579563928452,0.6317375309132149
90,90,90,03-31,2.8300945496622085,-0.4070787786543729,0.3905866938272862
91,91,91,04-01,3.8778638493501054,1.7193170073348154,0.3442678699653507
92,92,92,04-02,2.708917951077582,-0.6530006706850001,0.28155663844600115
93,93,93,04-03,3.0315274446217053,0.0017192832177048481,0.1105294128433144
94,94,94,04-04,3.013446563803023,-0.034974966929986216,0.3058297094273686
95,95,95,04-05,3.0490077043999984,0.03719460277672471,-0.2310277411946665
96,96,96,04-06,3.4074931402604887,0.7647230008499525,-0.057466535520527925
97,97,97,04-07,2.2906633137485746,-1.5018276963973956,0.05040847175936032
98,98,98,04-08,3.222045669220372,0.3883665633598317,0.18106975084796428
99,99,99,04-09,3.3504561828449955,0.6489693268970342,-0.04493558231998015
100,100,100,04-10,3.3997421286899847,0.7489927076016377,-0.4897769094290811
