,unnamed: 0,unnamed: 0,mth_day,great ending,great ending_norm,great ending_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.068580776978392,-0.5375023163357494,
2,2,2,01-03,4.622603195678211,0.31313470155963,
3,3,3,01-04,3.4072909616399287,-1.5528359517583248,
4,4,4,01-05,3.0681907432680537,-2.073484916109733,-1.1040729009711607
5,5,5,01-06,3.7151966806039174,-1.080082514835818,-1.354106927251958
6,6,6,01-07,3.3155676665746783,-1.693666408346972,-1.8533596781066561
7,7,7,01-08,3.091493348970089,-2.037706474020531,-1.890864402421176
8,8,8,01-09,2.6716143902151717,-2.6823818035685565,-1.7708726719454289
9,9,9,01-10,3.260729330954188,-1.7778642976454464,-1.6087631954889483
10,10,10,01-11,3.5370965680342636,-1.3535345332552506,-1.3206428588553074
11,11,11,01-12,4.3486909844102,-0.10742565609693304,-1.1322739994859947
12,12,12,01-13,4.441489457563619,0.03505561145487466,-0.8655160654134842
13,13,13,01-14,3.8276045377381394,-0.9074933178046556,-0.4518860232889564
14,14,14,01-15,3.714055803413082,-1.0818341991334943,-0.2410668585808318
15,15,15,01-16,4.877120187903166,0.703915955101721,-0.14803704786301208
16,16,16,01-17,4.360939460473982,-0.0886195450065031,-0.03271757247901326
17,17,17,01-18,4.712234538199521,0.4507532082099853,-0.00680155915374044
18,18,18,01-19,4.8921369605385845,0.7269724637588676,0.08116159506474442
19,19,19,01-20,3.928879596900615,-0.7519972378530185,-0.05694789450851881
20,20,20,01-21,4.057799786555258,-0.5540552738225851,-0.28900970160948064
21,21,21,01-22,4.337413460951006,-0.12474098233785845,-0.51935102635298
22,22,22,01-23,3.454084191165174,-1.4809903876122743,0.5522770947644738
23,23,23,01-24,3.8121026005371794,-0.9312947402510108,0.4206588523825922
24,24,24,01-25,9.079864447949124,7.156741190463591,0.17598413038963776
25,25,25,01-26,3.4145394815138363,-1.5417066921443086,-0.028381411658454613
26,26,26,01-27,3.101655543442285,-2.0221036057803117,0.054692381266870004
27,27,27,01-28,3.538790150261916,-1.3509342346264126,0.12499542430583548
28,28,28,01-29,3.778721441029489,-0.9825476300603262,-1.2198168645060874
29,29,29,01-30,4.08683408619088,-0.5094764820172181,-1.1043961991232991
30,30,30,01-31,3.8245829969615976,-0.912132542407946,-0.8216947199144737
31,31,31,02-01,3.8655824165710975,-0.8491826998475809,-0.4416393954764218
32,32,32,02-02,4.206401426724925,-0.3258947305273576,-0.3197774983675242
33,33,33,02-03,5.023977126529702,0.9293977120018994,-0.39633864558442417
34,34,34,02-04,4.254935536324765,-0.2513762474069408,-0.25869416974467185
35,35,35,02-05,3.787647069398554,-0.9688433653186176,-0.2030833141723532
36,36,36,02-06,4.362472534951026,-0.08626568736943188,-0.2118412880491821
37,37,37,02-07,4.0828995099633225,-0.5155175664136689,-0.3617113340209229
38,38,38,02-08,4.172176860184272,-0.37844257378833096,-0.24937177203041874
39,39,39,02-09,4.438312287498708,0.03017743617145469,0.2881882584966555
40,40,40,02-10,4.693938080584922,0.4226611245360841,0.19032427264269208
41,41,41,02-11,5.888333745690751,2.256516817843828,0.2866704100708817
42,42,42,02-12,3.9800379053326416,-0.6734496024932126,0.6988315620687123
43,43,43,02-13,4.45940266442808,0.06255925815546917,0.7817432187626561
44,44,44,02-14,5.782827562094072,2.0945243381986525,0.5466724869441792
45,45,45,02-15,4.7623159385058464,0.5276473763351168,-0.15072347948083006
46,46,46,02-16,3.775324481591796,-0.9877632663747768,-0.14180164533003145
47,47,47,02-17,3.1630373479423843,-1.927858980706228,-0.12489900925014888
48,48,48,02-18,4.0149028079748525,-0.6199185975884209,-0.4487586466111735
49,49,49,02-19,4.525455087210352,0.16397507463476446,-0.4977964401540851
50,50,50,02-20,4.517243094204839,0.151366514032505,-0.4010676169048255
51,51,51,02-21,4.570685174162451,0.2334206150776474,-0.1630452885403052
52,52,52,02-22,4.1533231025344834,-0.4073903268792188,-0.18561687694062626
53,53,53,02-23,4.093185248568733,-0.4997250105191064,-0.10469612533644797
54,54,54,02-24,3.9266971521919736,-0.7553481279903473,-0.1346745777565426
55,55,55,02-25,4.841678643793928,0.6494995842598343,-0.11756807540871618
56,56,56,02-26,4.400092763081808,-0.02850420048806278,-0.003552691927094953
57,57,57,02-27,4.637534269183162,0.3360596291646058,-0.008554235627444423
58,58,58,02-28,4.598874451910938,0.2767019740105086,0.1101775643140216
59,59,59,02-29,4.073640126878947,-0.5297342727212032,-0.306480245974795
60,60,60,03-01,4.390679397941671,-0.042957328341551096,-0.6185158316495064
61,61,61,03-02,3.2134558204032007,-1.8504472774730647,-0.7359625976537023
62,62,62,03-03,3.1807145352898445,-1.900717714536332,-0.8158564343076895
63,63,63,03-04,4.178573701975968,-0.3686209668605697,-0.8879390508085186
64,64,64,03-05,4.286663891887833,-0.20266104591341447,-0.9957034347962814
65,65,65,03-06,3.791954392306933,-0.9622299717261782,-0.9482369251781572
66,66,66,03-07,3.969555815892676,-0.6895436322681272,-0.7949030687770028
67,67,67,03-08,3.398946293396741,-1.5656482197643198,-0.9524649599282584
68,68,68,03-09,3.7799153145043682,-0.980714576129405,-0.8783968930233543
69,69,69,03-10,3.562850533145294,-1.3139923137681029,-0.5275064332059332
70,70,70,03-11,4.576108404965362,0.24174735551600945,-0.5379183199409021
71,71,71,03-12,5.163170390367219,1.1431127871783484,-0.2722604686128897
72,72,72,03-13,3.928868059182477,-0.7520149526779404,-0.036666388732909866
73,73,73,03-14,4.43708878362242,0.028298888203754525,0.10067106896823168
