,unnamed: 0,unnamed: 0,mth_day,amnesia,amnesia_norm,amnesia_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7561121379666724,-0.6238138563925604,
2,2,2,01-03,0.6071727247948561,-1.2351295190095375,
3,3,3,01-04,0.6106166734607736,-1.2209939741199152,
4,4,4,01-05,0.7033921124987478,-0.8402010209164961,-1.103108585601195
5,5,5,01-06,0.7242807635492189,-0.754464416439865,-1.0165215986032683
6,6,6,01-07,0.4344534289535996,-1.9440487267287965,-1.0315881583633226
7,7,7,01-08,0.8826871546437808,-0.10429193440499993,-0.7366189405889201
8,8,8,01-09,0.5851480520464998,-1.325528877569863,-0.6458572498518572
9,9,9,01-10,1.041810031186948,0.5488213325265019,-0.5426147369367624
10,10,10,01-11,0.8360698151997475,-0.2956308764941201,-0.18040350075882736
11,11,11,01-12,0.8752032433247029,-0.13500933894929631,-0.29995131244057643
12,12,12,01-13,0.963942845890534,0.2292186903388142,-0.2587989648878413
13,13,13,01-14,0.7079291825516059,-0.8215788044954941,-0.4976918652635988
14,14,14,01-15,0.6453055798504679,-1.0786147922534524,-0.4305423395530697
15,15,15,01-16,0.6925904325210617,-0.8845360697280436,-0.4334255772465783
16,16,16,01-17,0.9342306662855308,0.10726627776905434,-0.3939483220534333
17,17,17,01-18,0.8709884545695675,-0.15230876511034772,-0.28434135024190554
18,18,18,01-19,1.0216516819141093,0.46608222149768397,-0.1312122568422908
19,19,19,01-20,0.8681553870423991,-0.16393697362632773,-0.12506096294819236
20,20,20,01-21,0.8691535069214354,-0.15984023185576382,-0.31558570351344706
21,21,21,01-22,0.7015825473205979,-0.8476283063634529,-0.4540672237561222
22,22,22,01-23,0.655716849711381,-1.035882165622474,-0.5875633236817842
23,23,23,01-24,0.6685527151829131,-0.9831978865663988,-0.8266978688744236
24,24,24,01-25,0.8265037542604518,-0.3348943780562881,-0.968309679731424
25,25,25,01-26,0.5185825459576782,-1.5987442447821638,-0.8891982535189138
26,26,26,01-27,0.6621418306596258,-1.0095110969977656,-0.8831221009653829
27,27,27,01-28,0.81722960283528,-0.3729597490883922,-0.6252611537456815
28,28,28,01-29,0.6645991210255938,-0.9994252503012898,-0.4510808647058918
29,29,29,01-30,1.0455002777016345,0.5639677967518114,-0.2861920047285134
30,30,30,01-31,1.0811248440387902,0.7101873561824498,-0.4050666741307257
31,31,31,02-01,0.7596211930468277,-0.6094110849178939,-0.5500974674490267
32,32,32,02-02,0.4883678747367681,-1.7227591134110405,-0.2161478473873028
