,unnamed: 0,unnamed: 0,mth_day,scifi,scifi_norm,scifi_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.179288881330563,-0.6041645241874993,
2,2,2,01-03,2.965815784669197,-0.9650712657471948,
3,3,3,01-04,3.541841750188558,0.008782852269139845,
4,4,4,01-05,3.145006471217098,-0.6621238320364442,-0.878798790347699
5,5,5,01-06,2.8592492554694293,-1.145237194917298,-1.0828848552479091
6,6,6,01-07,2.4098689319310727,-1.9049787774668985,-1.1241460814275632
7,7,7,01-08,2.4549984332541155,-1.8286809135887605,-1.2229073249113254
8,8,8,01-09,2.8193819161321274,-1.2126386228251187,-1.170724125609581
9,9,9,01-10,3.191343418367533,-0.5837846086334338,-1.1425457092435043
10,10,10,01-11,3.3302018338833523,-0.3490246362259777,-0.7942747008013938
11,11,11,01-12,2.9592529368861378,-0.9761666967208384,-0.4582427819344626
12,12,12,01-13,3.6458639758842795,0.1846472731857648,-0.3144460766316106
13,13,13,01-14,3.647557607752988,0.1875105996128266,-0.3769597444832344
14,14,14,01-15,3.329708675416966,-0.3498583910080064,-0.4098833881624053
15,15,15,01-16,2.969485779428324,-0.9588666157431768,-0.3523832375124236
16,16,16,01-17,3.2133575964075805,-0.5465664983010029,-0.2662801059913313
17,17,17,01-18,3.163317873407413,-0.631165792820948,-0.4172551401534687
18,18,18,01-19,3.951439350374893,0.7012660623123184,-0.5362716216115518
19,19,19,01-20,3.1117553461183243,-0.7183396053599974,-0.44641630063436
20,20,20,01-21,2.9073255953869466,-1.0639572797565056,-0.2201159695034476
21,21,21,01-22,3.2883774721288788,-0.4197346898800251,-0.3758918674070893
22,22,22,01-23,4.016485278421542,0.8112354884844711,-0.5360305819437912
23,23,23,01-24,2.610477605026977,-1.5658211802427984,-0.6350284219648249
24,24,24,01-25,3.3831156808343628,-0.25956622490789283,-0.7520660267348825
25,25,25,01-26,2.760417345934456,-1.3123266454862,-0.8100600144885375
26,26,26,01-27,2.491965442099912,-1.7661829083768508,-1.1297863766259533
27,27,27,01-28,3.0825599343348444,-0.7676986164019549,-0.8543914658453521
28,28,28,01-29,2.881793646204556,-1.1071226843400233,-1.097995017308163
29,29,29,01-30,3.5878393049783464,0.08654828444080928,-1.065635324670254
30,30,30,01-31,2.518579802168248,-1.7211875336847575,-1.0194357565423628
31,31,31,02-01,2.8752601515507408,-1.1181684896587454,-0.5193647264599665
32,32,32,02-02,2.6559252201310577,-1.4889854996095044,-0.4274399252262937
33,33,33,02-03,4.857285076031945,2.2327275640924227,-0.6275820340676299
34,34,34,02-04,3.20802981283078,-0.555573876937986,-0.4394698131556589
35,35,35,02-05,2.877545744452611,-1.1143043686072085,-0.2774759442725612
36,36,36,02-06,3.1861799386087566,-0.592514208212932,-0.09967489577417804
37,37,37,02-07,3.4501676639100287,-0.14620527636015934,-0.7176374661212911
38,38,38,02-08,3.2869315612466266,-0.4221792086192052,-0.7841234641146265
39,39,39,02-09,2.6641692099877154,-1.4750478579902548,-0.5502526555016692
40,40,40,02-10,2.9720745882496766,-0.9544898648979988,-0.4680271050051015
41,41,41,02-11,3.7075406431494176,0.2889204830705361,-0.40066197053784464
42,42,42,02-12,3.477993986969244,-0.09916090523352644,0.26818034657752554
43,43,43,02-13,3.6892428964687873,0.2579855304433824,0.4887495393935007
44,44,44,02-14,5.660616907146407,3.590874694073016,0.41116348194401225
45,45,45,02-15,3.446957390918428,-0.15163270109440388,0.07093802655379426
46,46,46,02-16,2.6967258507351777,-1.4200062095949295,0.05303607438732736
47,47,47,02-17,2.5000988334791465,-1.752432249270772,0.016866436490638726
48,48,48,02-18,3.414460923296164,-0.20657261823232784,-0.2471167039252616
49,49,49,02-19,3.56087880041076,0.04096770306325062,-0.2897539895499036
50,50,50,02-20,4.723754965347738,2.006975851577614,-0.020536972049307267
51,51,51,02-21,3.2956399615538348,-0.4074564148422555,0.1924709197729812
52,52,52,02-22,3.652162540303642,0.1952958954086481,0.1289732555553771
53,53,53,02-23,3.2560523645897645,-0.4743848983370415,0.02330034693798945
54,54,54,02-24,3.189111134272284,-0.5875586035379524,-0.27676339628200325
55,55,55,02-25,3.1858513414343075,-0.5930697486410752,-0.11262969441504128
56,56,56,02-26,3.6588449082374126,0.206593392257658,-0.20891383227900606
57,57,57,02-27,3.8781416258776367,0.5773457963595164,-0.11361485827583112
58,58,58,02-28,3.3104553228596467,-0.3824089317751405,-0.15858563648992458
59,59,59,02-29,3.5942632885729147,0.09740894568200792,-0.09701013622836653
60,60,60,03-01,3.02951226543742,-0.8573832728225131,-0.2236206519053686
61,61,61,03-02,3.4043794741452897,-0.2236167470717268,-0.5050852583830227
62,62,62,03-03,3.209511009934632,-0.5530697018043544,-0.4678253994413663
63,63,63,03-04,2.8792389029355228,-1.111441842506408,-0.3987780948714893
64,64,64,03-05,3.4426885546646355,-0.15884977812520246,-0.3110026639670003
65,65,65,03-06,3.8393084521897456,0.5116927731012704,-0.4619644022687768
66,66,66,03-07,3.3410225403354197,-0.3307306873955791,-0.3862807834278386
67,67,67,03-08,2.8686243988026594,-1.129387176882386,-0.08805726391865427
68,68,68,03-09,3.4781080953316836,-0.09896798875872563,-0.2573818055117481
69,69,69,03-10,3.93761810524832,0.6778992745486981,-0.4415529014250777
70,70,70,03-11,2.841764879837709,-1.1747970276837656,-0.492237522048895
71,71,71,03-12,3.185695156019721,-0.5933338023787075,-0.6419431917370789
72,72,72,03-13,3.161145552652996,-0.6348384111384832,-0.6706581658176406
73,73,73,03-14,2.337327043292094,-2.027621195011489,-0.6948569224526379
