,unnamed: 0,unnamed: 0,mth_day,sibling relationship,sibling relationship_norm,sibling relationship_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.295450531121735,-1.1534937042567577,
2,2,2,01-03,2.4395262574620333,-0.8155260981717467,
3,3,3,01-04,2.59056037258332,-0.4612357564097712,
4,4,4,01-05,2.2312914450244743,-1.3039957581952368,-1.1859264851301388
5,5,5,01-06,2.115047644939225,-1.5766762425139038,-1.1825334186117458
6,6,6,01-07,2.0178702904519303,-1.804631351233416,-1.1411963039570416
7,7,7,01-08,2.3041293248467545,-1.1331353051463997,-1.327083218382802
8,8,8,01-09,2.5452584290333644,-0.5675034102435215,-1.237011658062263
9,9,9,01-10,2.1150983744950453,-1.5765572429643342,-0.9889928494008036
10,10,10,01-11,2.4616766992701997,-0.7635663962720025,-0.8071321253771903
11,11,11,01-12,2.7494307519693173,-0.08856339054514925,-0.6621748086128961
12,12,12,01-13,2.4830340890181883,-0.7134670070917345,-0.4227060561642992
13,13,13,01-14,2.6749014993119573,-0.2633914045606341,-0.1698988639015103
14,14,14,01-15,3.1577721816589643,0.8693091044480599,-0.15621605410631575
15,15,15,01-16,2.7617292206504795,-0.05971408938760029,-0.23375473148635784
16,16,16,01-17,2.4966746231680816,-0.6814695375008352,-0.19324105634067493
17,17,17,01-18,2.5511021359388395,-0.5537954548254019,-0.2203390938251586
18,18,18,01-19,2.58666006502716,-0.470384956217637,-0.6358948289435009
19,19,19,01-20,2.6055900736721003,-0.4259796294675361,-0.6572560394360544
20,20,20,01-21,2.0948627200286305,-1.6240253062619945,-0.8224204134555326
21,21,21,01-22,2.7070914649281432,-0.18788135234292014,-0.7775677405084117
22,22,22,01-23,2.07421678891497,-1.6724557816177046,-0.9534322775674609
23,23,23,01-24,2.665826410990245,-0.2846794171426764,-1.2095403931445985
24,24,24,01-25,2.1368333279420177,-1.5255721785719307,-1.039777042587963
25,25,25,01-26,1.950516117901206,-1.9626283229303607,-1.2073943172234414
26,26,26,01-27,2.529083827561481,-0.6054452029221832,-1.062956080368883
27,27,27,01-28,2.2783595955628866,-1.193585000155791,-0.9135388454997144
28,28,28,01-29,2.443661259535,-0.8058263604903538,-0.7184287858294919
29,29,29,01-30,3.048006174741677,0.6118239920723337,-0.2402475087521713
30,30,30,01-31,2.6358863091833413,-0.354911820550595,-0.260866938822546
31,31,31,02-01,3.1736093418106686,0.9064593395335618,-0.2969633263448444
32,32,32,02-02,2.476343399592211,-0.7291617833444313,-0.2195433089776309
33,33,33,02-03,2.1860321684917627,-1.410163325289581,-0.3386449177184828
34,34,34,02-04,2.6416863666984503,-0.3413062562870727,-0.5547968574870249
35,35,35,02-05,2.743367792624309,-0.1027856603727772,-0.7317022983820028
36,36,36,02-06,2.083012356272296,-1.6518234591618477,-0.8650004773395678
37,37,37,02-07,2.7211201783832664,-0.15497330583630645,-0.7174583307304921
38,38,38,02-08,2.1353929959315803,-1.5289508570898205,-0.6079378099440665
39,39,39,02-09,2.563415826968708,-0.5249104456351271,-0.51734350113435
40,40,40,02-10,2.9218182189358446,0.3158168684314814,-0.3533249799141792
41,41,41,02-11,2.9750901342165514,0.440780192485522,-0.3673358113914971
42,42,42,02-12,2.502539325471475,-0.6677123318408228,0.30586726312784424
43,43,43,02-13,2.6852832398356408,-0.2390382947002145,0.5308418162268603
44,44,44,02-14,3.8573134437421777,2.510267590026228,0.4126090658803021
45,45,45,02-15,3.1388562815370964,0.8249368729589693,0.34104924674059856
46,46,46,02-16,2.6194022049151378,-0.3935796336478677,0.2594217489761799
47,47,47,02-17,2.792054256214566,0.011421277647300441,0.28766430191932063
48,48,48,02-18,2.2937523147993657,-1.1574773184273346,-0.2459881702639597
49,49,49,02-19,2.7575221098762888,-0.06958297704137026,-0.324842184853037
50,50,50,02-20,2.4923358631909376,-0.6916472430734545,-0.17326294392782549
51,51,51,02-21,2.937163292820679,0.3518127854245054,-0.2186290544272567
52,52,52,02-22,3.0071119529716017,0.5158958119034016,-0.18009208446277458
53,53,53,02-23,2.6760167093534197,-0.26077538534928696,-0.2809942602158924
54,54,54,02-24,2.3923222695279347,-0.9262554986404418,-0.21577561428122868
55,55,55,02-25,2.499434281353039,-0.6749960315600771,-0.6144501422695658
56,56,56,02-26,2.659152273073793,-0.30033536746547224,-1.0817000897133595
57,57,57,02-27,1.9174326235059282,-2.0402343825055183,-0.9557151457746872
58,58,58,02-28,1.8119789103657773,-2.287603872759361,-0.5555648067732321
59,59,59,02-29,2.9982613028427796,0.4951342782827493,-0.6723791404539603
60,60,60,03-01,3.4158277718117813,1.4746465353682885,-0.7011405665580478
61,61,61,03-02,2.200646296901496,-1.3758820336444475,-0.5607452828100753
62,62,62,03-03,2.585586228010523,-0.4729039240899974,-0.016622302352912618
63,63,63,03-04,2.276536018918093,-1.1978626800176826,-0.20398266004748666
64,64,64,03-05,3.2037379822354297,0.9771340099836148,-0.4955695695046393
65,65,65,03-06,2.5190305280075025,-0.6290278678846949,-0.483253964319528
66,66,66,03-07,2.6700060714776668,-0.2748749213746273,-0.5784388833498368
67,67,67,03-08,2.23214718154993,-1.3019884025337791,-0.5740573022178789
68,68,68,03-09,2.3421220125232303,-1.044013438271851,-1.070845293694984
69,69,69,03-10,2.2877432377060445,-1.1715731932259346,-0.964075633904045
70,70,70,03-11,1.9330524593537195,-2.003593938879016,-0.9638709351250216
71,71,71,03-12,2.7921262213554043,0.01159009086093864,-0.7952397214204856
72,72,72,03-13,2.6705296505083984,-0.27364672870048645,-0.8665094356604897
73,73,73,03-14,2.663472506711701,-0.2902011203065637,-0.7544807552133274
74,74,74,03-15,2.159828165533446,-1.4716317237118746,-0.5203851001982592
75,75,75,03-16,2.574290466773499,-0.49940111054296,-0.6424225118160389
76,76,76,03-17,2.531822890403616,-0.5990200087886074,-0.6647497820136914
77,77,77,03-18,2.4799786355581026,-0.7206343788457393,-0.574146967817793
