,unnamed: 0,unnamed: 0,mth_day,dialogue driven,dialogue driven_norm,dialogue driven_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.9372457179894687,-1.307369270249128,
2,2,2,01-03,3.4623761695891098,-0.3312272596770619,
3,3,3,01-04,3.1768888296664666,-0.8619071795637544,
4,4,4,01-05,2.4542498533984047,-2.2051891413377813,-1.253924359155753
5,5,5,01-06,3.0585263574394985,-1.0819259982476872,-1.4603747831339653
6,6,6,01-07,2.706696400022269,-1.7359273058591045,-1.8236786132082576
7,7,7,01-08,2.2708668312960443,-2.546071814118402,-1.885377516320176
8,8,8,01-09,2.2897072200600244,-2.5110502401228185,-1.6893782129580854
9,9,9,01-10,2.9777376456986184,-1.2321005982352606,-1.6785302248031977
10,10,10,01-11,3.086894703674423,-1.029193321165239,-1.4365811769058303
11,11,11,01-12,3.093541399454044,-1.0168380693183587,-0.9311557108252968
12,12,12,01-13,3.4876574369024693,-0.284233018474902,-0.4749683343417404
13,13,13,01-14,3.902274764024708,0.4864809823647993,-0.14072965181714447
14,14,14,01-15,3.7621848745345368,0.2260740187785197,-0.43857766938206777
15,15,15,01-16,4.05659036422887,0.7733314969123151,-0.22335580371337246
16,16,16,01-17,2.1255034576593324,-2.816281426554778,0.11570855156613168
17,17,17,01-18,3.7882326695069586,0.27449312469381304,0.14727241689183532
18,18,18,01-19,4.58208642006806,1.7501531132021229,0.080261228625692
19,19,19,01-20,4.004156334574079,0.6758641743190211,-0.0664170919053207
20,20,20,01-21,3.545886742652237,-0.1759931108183401,0.8617793466017557
21,21,21,01-22,3.5831433542685858,-0.10673842627376116,0.7795383725206113
22,22,22,01-23,5.121527865874762,2.75289720448768,0.36524535076245374
23,23,23,01-24,3.5227759671532763,-0.2189527197930531,-0.0013286262536157945
24,24,24,01-25,3.2448350001669235,-0.7356050173468226,-0.32040477613634233
25,25,25,01-26,2.8209320331285683,-1.5235796877773962,-0.5696923522624066
26,26,26,01-27,2.5159755153848367,-2.0904500101146994,-1.0035450424567298
27,27,27,01-28,2.7784950796643133,-1.6024638830301463,-1.0619719848417075
28,28,28,01-29,3.721141917957541,0.14978106332173935,-0.8792783629045692
29,29,29,01-30,3.3341859896218606,-0.5695143741029189,-0.8734106089140167
30,30,30,01-31,3.8345318874220844,0.3605567142760082,-0.6648054709531012
