,unnamed: 0,unnamed: 0,mth_day,quentin tarantino,quentin tarantino_norm,quentin tarantino_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3833958456986015,-0.90770509180397,
2,2,2,01-03,1.8544428282512369,0.30480326990007,
3,3,3,01-04,1.3620671430288147,-0.9626066861019996,
4,4,4,01-05,1.458493623108552,-0.7143980833151107,-0.5705781614168866
5,5,5,01-06,1.563828924169932,-0.443257543092535,-0.8166510277827587
6,6,6,01-07,1.4639687049575296,-0.7003048340877739,-1.1109875505866085
7,7,7,01-08,0.8098152345422981,-2.3841422899992017,-1.1196649179586615
8,8,8,01-09,1.1683626231121802,-1.4612158669230266,-1.260757815459142
9,9,9,01-10,1.3418407371109435,-1.0146708903343205,-1.4143515857678235
10,10,10,01-11,1.1296148175200824,-1.560955468317992,-1.1923936176810823
11,11,11,01-12,1.2058113582979355,-1.3648201649446257,-0.6587341547825613
12,12,12,01-13,1.9813389817637213,0.6314429744326726,-0.49514252500111294
13,13,13,01-14,2.053742390751224,0.8178144873919235,-0.212776986060718
14,14,14,01-15,1.5496845802050996,-0.4796660882343377,-0.21972443236094424
15,15,15,01-16,2.000017320278396,0.6795223433080502,0.18871435603924624
16,16,16,01-17,1.1134207504792475,-1.6026401461193494,0.3301017524847692
17,17,17,01-18,2.1578568777019096,1.0858125654565172,0.17194307585338828
18,18,18,01-19,2.3109042461535094,1.4797673531058106,0.18524732369605235
19,19,19,01-20,1.6850843109651417,-0.13113757239636215,0.011962475511911116
20,20,20,01-21,1.5806959579375148,-0.3998406011783531,0.15683138743087427
21,21,21,01-22,1.5961010714311732,-0.3601867457967972,-0.17233030174545724
22,22,22,01-23,1.4511012118125166,-0.7334266746055704,-0.5622596269534422
23,23,23,01-24,1.3906013666197408,-0.8891575696014721,-0.6830187137096325
24,24,24,01-25,1.4020031390805359,-0.8598085981420993,-0.8657231002839914
25,25,25,01-26,1.4036023588619533,-0.8556920929335038,-1.0597921559080885
26,26,26,01-27,1.154823348494898,-1.4960669206245063,-0.7240151002874454
27,27,27,01-28,1.1437381222960608,-1.5246010795413802,-0.6332444108569847
28,28,28,01-29,2.2337767323585056,1.281235659118289,-0.7000697088633169
29,29,29,01-30,1.6021822218660529,-0.3445334330187075,-0.7957716157968773
30,30,30,01-31,1.2462375082036077,-1.260760386180093,-0.7968394254981929
31,31,31,02-01,1.1805271410272558,-1.4299035345348663,-0.5495657054592042
32,32,32,02-02,1.1523343502151424,-1.5024737788323994,-0.8782901603209509
33,33,33,02-03,1.7201178489904072,-0.0409587593074484,-0.7181824093904493
34,34,34,02-04,1.4675403873838475,-0.6911110700521921,-0.3757857339801912
35,35,35,02-05,1.9753834731288984,0.6161130725643028,-0.2307253867437033
36,36,36,02-06,2.044342952497892,0.7936196662814563,0.07345303149294036
37,37,37,02-07,1.5186538262292688,-0.5595414511159397,-0.1607914393109209
38,38,38,02-08,1.8613554040574656,0.3225967305874629,-0.2379092151680357
39,39,39,02-09,1.1741084953061451,-1.446425584130616,-0.3564896116054103
40,40,40,02-10,1.2877836280938135,-1.153817725194881,-0.6371764779416466
41,41,41,02-11,1.6989799132232817,-0.09536930605994497,-0.7112907785969759
42,42,42,02-12,1.3900792512033766,-0.8905015317359611,-0.8534093300129215
43,43,43,02-13,1.3458979816165628,-1.0042272550479157,-0.6609499774483611
44,44,44,02-14,1.5300858627151694,-0.5301145779082104,-0.5886383080735043
45,45,45,02-15,1.622719326305256,-0.2916694687432535,-0.6991685273903281
46,46,46,02-16,1.4563376508363852,-0.7199477089457393,-0.6446844638625752
47,47,47,02-17,1.4413408176038518,-0.7585506219608884,-0.6138515761823765
48,48,48,02-18,1.5170782288560447,-0.5635971505694437,-0.4711795143699331
49,49,49,02-19,1.4177675331868158,-0.8192299289667236,-0.5040275076345485
50,50,50,02-20,1.8626456025104416,0.32591779296645035,-0.2918020729889351
51,51,51,02-21,1.5461526884218144,-0.4887574283309458,-0.14107868953052194
52,52,52,02-22,1.9510219949686307,0.5534048989279416,-0.044901031114436114
53,53,53,02-23,1.7926676895031768,0.14578967878959018,0.267523324900244
54,54,54,02-24,1.7412623939311895,0.013468799927071515,0.3874214895650617
55,55,55,02-25,2.146009357283632,1.0553162071213569,0.3261851097641242
56,56,56,02-26,2.142120798539219,1.0453067809553565,0.2615594661648811
57,57,57,02-27,1.40341447973611,-0.8561757071365711,0.0714047514853099
58,58,58,02-28,1.8003836222806444,0.16565103733248324,0.02312618980192266
59,59,59,02-29,1.3494288266779182,-0.9951386092878372,-0.3641664033382971
60,60,60,03-01,1.6287280567445312,-0.276202570173252,-0.7007482758327832
61,61,61,03-02,1.243254309356552,-1.2684393517199608,-0.5472015084435204
62,62,62,03-03,1.3575692997060445,-0.974184454011561,-0.7993804097824327
63,63,63,03-04,1.761322484714032,0.0651048971990052,-0.7519385669091823
64,64,64,03-05,1.212570221774983,-1.3474223707009907,-0.792298000343572
65,65,65,03-06,1.4600128241397143,-0.7104875520483336,-0.7963205049575519
66,66,66,03-07,1.5346527170408848,-0.5183591707795905,-0.8654850890394179
67,67,67,03-08,1.2338781002322388,-1.2925743794038402,-1.0632140246403263
68,68,68,03-09,1.1963509378690147,-1.3891719585027569,-0.9022264412949754
69,69,69,03-10,1.3004285820249557,-1.1212687164064443,-0.7791443299860669
70,70,70,03-11,1.5878223079050664,-0.3814968706288849,-0.8549816985181278
71,71,71,03-12,1.7469096026004665,0.028005115805118132,-0.6596019806260197
72,72,72,03-13,1.357880507924463,-0.9733833819719562,-0.504325302369437
73,73,73,03-14,1.6892961219391782,-0.12029607205119112,-0.5745596066167474
74,74,74,03-15,1.5582912579378985,-0.4575118889632606,-0.5928827319993553
75,75,75,03-16,1.1367167687346091,-1.5426745418903074,-0.8887005515009835
76,76,76,03-17,1.5451122374675426,-0.4914356229245321,-0.6832227361275738
77,77,77,03-18,1.057376586601912,-1.7469018012046518,-0.5569676152201813
78,78,78,03-19,1.8368365694420528,0.25948351026850197,-0.6391376832183653
79,79,79,03-20,1.983588989255974,0.6372346533931641,-0.23436306434754994
80,80,80,03-21,1.3667579185770415,-0.9505322969523644,-0.17246011259277252
81,81,81,03-22,2.0802213359032624,0.8859731713345845,0.04623485140309499
82,82,82,03-23,1.6894041840940024,-0.12001791239586752,0.0048351560094557575
83,83,83,03-24,1.5671410029640431,-0.43473201722944665,-0.004962545396607472
84,84,84,03-25,1.7403364435392576,0.011085337906666598,0.16453542646999372
85,85,85,03-26,1.9607511540918927,0.5784484449567847,0.050635381867825256
86,86,86,03-27,1.7618471932654864,0.06645553424724261,-0.012040726508481295
87,87,87,03-28,1.8147273862513524,0.2025729037215737,-0.05354007893389669
88,88,88,03-29,1.5433100572676466,-0.4960745626537068,-0.22552771339526426
89,89,89,03-30,1.4704085826923627,-0.6837281317819389,-0.6779443081057296
90,90,90,03-31,1.3394439195378396,-1.0208404688615391,-0.8872671494741365
91,91,91,04-01,0.9061960919118552,-2.136051123306008,-1.2058281291971231
92,92,92,04-02,1.2739286142924229,-1.189481513963199,-1.398049948217988
93,93,93,04-03,1.0721814723577634,-1.7087929746163466,-1.4452158060935985
94,94,94,04-04,1.0952529022474242,-1.649405476778896,-1.3044128542494715
95,95,95,04-05,1.3604678891671378,-0.9667232790356016,-1.0901269689162414
96,96,96,04-06,1.667646879758921,-0.17602275779677806,-1.0013068877437163
97,97,97,04-07,1.4056832189844326,-0.8503358113066265,-0.7669926321942394
98,98,98,04-08,1.4809627224989794,-0.6565610269280485,-0.4608110773394367
99,99,99,04-09,1.6183534899619885,-0.3029074413194852,-0.4714291894401184
100,100,100,04-10,1.8089431434838783,0.1876838523499203,-0.6579775354603569
101,101,101,04-11,1.3357177274854362,-1.0304319516396918,-0.5924406678646761
102,102,102,04-12,1.2328142389207684,-1.2953128339182094,-0.5089010930474219
103,103,103,04-13,1.5584455983721257,-0.4571146057325409,-0.6495087938379153
104,104,104,04-14,1.6756882974356884,-0.15532357802452396,-0.8547620623306931
105,105,105,04-15,1.2906056478541958,-1.146553646062445,-0.6592933254796627
106,106,106,04-16,1.3305104868378943,-1.043835758606747,-0.5340417090266297
107,107,107,04-17,1.7913432468722994,0.1423804694664911,-0.5642519007943635
108,108,108,04-18,1.5247679995057644,-0.5438031352000118,-0.6002289942470663
109,109,109,04-19,1.4880275124076134,-0.6383757563389435,-0.4501867941975892
110,110,110,04-20,1.5918279208123405,-0.37118613874074097,-0.26627109524024056
111,111,111,04-21,1.6403447234158863,-0.24630044576558155,-0.3864845730915571
112,112,112,04-22,1.7592065904235157,0.05965843513734445,-0.27312500275667234
113,113,113,04-23,1.5111330753344845,-0.5789003976414079,-0.05979800303331076
114,114,114,04-24,1.7890021371145133,0.1363542868092964,-0.0850649125757393
115,115,115,04-25,1.9852795365114644,0.641586242001226,-0.17591030954906695
116,116,116,04-26,1.532932319556455,-0.5227875959953121,0.0356050334255475
117,117,117,04-27,1.4285897295141083,-0.7913728276055475,-0.02091444063748547
118,118,118,04-28,2.2522357548496696,1.3287504929850311,-0.09533260686606876
119,119,119,04-29,1.3793896817857374,-0.9180172420196058,-0.18902418334524465
120,120,120,04-30,1.6155380006702436,-0.3101547105622033,-0.2947193131939458
121,121,121,05-01,1.766890274457595,0.07943678312617088,-0.10515537186641084
122,122,122,05-02,1.2865635180294983,-1.1569583750875192,-0.4141768900342757
123,123,123,05-03,1.8704515362448848,0.34601082035966235,-0.5481984416961033
124,124,124,05-04,1.5319257350215132,-0.5253786160221581,-0.6485700346635802
125,125,125,05-05,1.0669937453885476,-1.7221465519905712,-0.7110099426383695
126,126,126,05-06,1.3815780339040675,-0.9123842683670644,-0.5240318651782194
127,127,127,05-07,1.6213467161382773,-0.2952026647225646,-0.6298902600451841
128,128,128,05-08,1.7223978362389831,-0.0350899103266188,-0.4751928799492569
129,129,129,05-09,1.623702174072055,-0.2891395488421261,0.15886898490300225
130,130,130,05-10,1.892515746956316,0.4028056645534048,0.4362164326857764
131,131,131,05-11,2.5449526822024926,2.082224637122984,0.5127421452044124
132,132,132,05-12,2.028057757374902,0.7517004183295806,0.44486925123638815
133,133,133,05-13,1.799723412455326,0.16395161038925155,0.7227465171282751
134,134,134,05-14,1.5641903240574384,-0.4423272741347644,0.7372710641834589
135,135,135,05-15,2.271416870741335,1.378124046509195,0.4341506955402996
136,136,136,05-16,1.9263715665747767,0.4899529468845081,0.6783898417637945
137,137,137,05-17,1.838397876433056,0.26350242526402745,0.5365830931598249
138,138,138,05-18,2.5973640804494367,2.2171352956705497,0.9812824254179032
139,139,139,05-19,1.4691806641564666,-0.6868888812345659,1.4605544401790036
140,140,140,05-20,2.600756925423953,2.2258687194137066,1.5763934181184942
141,141,141,05-21,3.3885702537886533,4.253756135075796,1.6151571827683515
142,142,142,05-22,2.1963850497495696,1.1849868145214488,1.309862142550459
143,143,143,05-23,1.9287538110265348,0.4960850131631752,1.3506273301619236
144,144,144,05-24,1.8857402499259848,0.38536505436319307,1.0393139803193023
145,145,145,05-25,1.5642017917167874,-0.4422977555657789,0.34118887894139
146,146,146,05-26,1.8751047879048544,0.3579886203579796,0.10319396518446004
147,147,147,05-27,1.7612838803429909,0.06500552680832275,0.009661621710739162
148,148,148,05-28,1.6416336458226386,-0.2429826680201309,0.0069003731191108215
149,149,149,05-29,1.7107357112464014,-0.06510904767915006,0.35024812930413857
150,150,150,05-30,1.8793039504748064,0.36879756281342296,0.6641614449511309
151,151,151,05-31,2.364524146392569,1.6177887815443877,0.9146540306131138
152,152,152,06-01,2.606817284686968,2.241468514239934,1.0164956895346653
