,unnamed: 0,unnamed: 0,mth_day,leonardo dicaprio,leonardo dicaprio_norm,leonardo dicaprio_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2389845253046112,-0.7893918443952677,
2,2,2,01-03,0.25628702723172475,-0.6947353161700789,
3,3,3,01-04,0.4487220005782978,0.35801570000230026,
4,4,4,01-05,0.5546338328212281,0.9374259136416656,-0.15266950151942385
5,5,5,01-06,0.3682321673806021,-0.08231877879231833,-0.10603528928035533
6,6,6,01-07,0.2653759507894272,-0.645012683402844,-0.1723704222678034
7,7,7,01-08,0.2901308262897673,-0.5095865709608566,-0.3264513087267148
8,8,8,01-09,0.18353364479495632,-1.0927461140947672,-0.5929146312934139
9,9,9,01-10,0.2797330326830708,-0.5664696187511681,-0.3808544493158781
10,10,10,01-11,0.2623888769584685,-0.6613540217585295,-0.2552977018000308
11,11,11,01-12,0.6008102119884523,1.1900423130728972,-0.2691074512863465
12,12,12,01-13,0.40308092940559537,0.10832780169223956,0.07705363855560336
13,13,13,01-14,0.2749849158123737,-0.5924450678787507,0.19324775139971032
14,14,14,01-15,0.5631875177850855,0.984220424956932,0.18211742609082504
15,15,15,01-16,0.4071694958050776,0.13069505831347386,0.08614150255646265
16,16,16,01-17,0.2501816380885894,-0.7281359736118412,0.06908433441524309
17,17,17,01-18,0.4955481471496172,0.6141867718667228,0.16813403573166472
18,18,18,01-19,0.3843733965918566,0.00598479284492215,-0.08905927766067437
19,19,19,01-20,0.3836181615086605,0.001853140019779045,-0.2397176530977524
20,20,20,01-21,0.28110948994796475,-0.5589394553971025,-0.3136971343422376
21,21,21,01-22,0.2419341836583453,-0.7732551943089943,-0.3694047565035691
22,22,22,01-23,0.16904427921011694,-1.1720128610787524,-0.5291012982765629
23,23,23,01-24,0.4344505393327573,0.2799410388987337,-0.6688030796681442
24,24,24,01-25,0.20922543118959488,-0.9521944577930408,-0.7971414922440628
25,25,25,01-26,0.2303995476166416,-0.8363575483297087,-0.5951851880266594
26,26,26,01-27,0.14035370653481724,-1.3289699308526142,-0.3075747122833818
27,27,27,01-28,0.4634307507795014,0.4384826309954265,-0.2911699056932713
28,28,28,01-29,0.4844824790329914,0.5536499933809138,-0.2566301154734287
29,29,29,01-30,0.4524425914158873,0.3783698784393965,-0.191096060551656
30,30,30,01-31,0.247107115509508,-0.7449557164739851,-0.13340762027212938
31,31,31,02-01,0.3022743437560884,-0.4431532187990721,-0.3400470741165395
32,32,32,02-02,0.2036237863374948,-0.9828392891754548,-0.5412552743298682
33,33,33,02-03,0.2367979163369744,-0.8013540920710343,-0.7812509937162977
34,34,34,02-04,0.26380639864729155,-0.6535992078990588,-0.6417560074025594
35,35,35,02-05,0.18922610914830626,-1.0616044378791798,-0.4105682944823846
36,36,36,02-06,0.4000989258857007,0.09201420140844448,-0.20364230733517846
37,37,37,02-07,0.5558306017339828,0.9439730587219776,-0.17534010616914011
38,38,38,02-08,0.4305708775851321,0.2587166337077821,0.17235185408798606
39,39,39,02-09,0.2678384942706127,-0.6315408850748043,0.5096467648236548
40,40,40,02-10,0.6451392612732375,1.432552553643698,1.0964448136340028
41,41,41,02-11,0.5591559567204988,0.9621650265348332,1.2801931075871893
42,42,42,02-12,1.0436725637998183,3.612802494270532,2.195652979006137
43,43,43,02-13,0.757357444298834,2.046462822441096,2.4183333983769737
44,44,44,02-14,1.4346059813281238,5.751475862221469,2.2599113602335947
45,45,45,02-15,0.5120643363252589,0.7045416311502148,1.9692919545651533
46,46,46,02-16,0.4713891139774074,0.4820203247834229,1.5272340571069185
47,47,47,02-17,0.2404176982452613,-0.7815514074758159,1.3155610247266798
48,48,48,02-18,0.5588433967420202,0.9604551095211232,0.6149485795704654
49,49,49,02-19,0.525204007910549,0.7764246281596655,0.4136027424603483
50,50,50,02-20,0.6662058460324817,1.5478011912841845,0.2423949663883343
51,51,51,02-21,0.29123730199798264,-0.5035333915104879,0.3163122935132225
52,52,52,02-22,0.2836161459022131,-0.5452263316486614,0.17727869258771478
53,53,53,02-23,0.3214868892882383,-0.33804744472648635,0.08931609573816536
54,54,54,02-24,0.4063576130531793,0.1262535039680768,0.2308299243770669
55,55,55,02-25,0.4287305984136919,0.2486490470623689,0.2980933145764922
56,56,56,02-26,0.8214118316299697,2.3968841631175937,0.446930637397811
