,unnamed: 0,unnamed: 0,mth_day,road trip,road trip_norm,road trip_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.6525941193757046,0.10009480558712784,
2,2,2,01-03,1.4683492830100373,-0.5042472406363848,
3,3,3,01-04,1.2028547265432228,-1.3750967400379173,
4,4,4,01-05,0.9529083183610212,-2.1949467111234395,-1.3450871893350744
5,5,5,01-06,1.0537361399563765,-1.8642210678915128,-1.5938721152543387
6,6,6,01-07,0.9415795672721664,-2.2321061819083208,-1.7825592849517236
7,7,7,01-08,1.1975140376305389,-1.3926147499284571,-1.6088375360352842
8,8,8,01-09,1.1232006680251578,-1.6363702588206934,-1.1973584875438663
9,9,9,01-10,1.5206284317051753,-0.3327662465392804,-1.102077487489107
10,10,10,01-11,1.7055902516895134,0.27392757982506794,-0.5749539203969901
11,11,11,01-12,1.2280251774994,-1.292535067562958,-0.5497984918942681
12,12,12,01-13,1.905799706879544,0.93063522064438,-0.3573340275573984
13,13,13,01-14,1.2435286199733149,-1.2416821789121248,-0.19483984981665176
14,14,14,01-15,1.4752587512865447,-0.4815834727994749,-0.3826965231558269
15,15,15,01-16,1.817864542036756,0.6421988199051992,-0.2271117718764876
16,16,16,01-17,1.3619607896403942,-0.8532124602099828,-0.3622503087442226
17,17,17,01-18,1.5126224900933318,-0.3590265598869223,0.13157805558464244
18,18,18,01-19,1.6586028311948464,0.11980399943796982,0.07781462548809309
19,19,19,01-20,2.1468448139769314,1.7212880070610654,0.09240199899218872
20,20,20,01-21,1.3769141024987073,-0.8041640533787711,0.2041231433059033
21,21,21,01-22,1.8445479236852296,0.7297230609297729,0.05591600205498823
22,22,22,01-23,1.5663223171689873,-0.18288559432769527,-0.11608825484314733
23,23,23,01-24,1.2415203816899818,-1.2482694073924128,-0.7237050798756476
24,24,24,01-25,1.3439707810395165,-0.9122215419508436,-0.7950915807312525
25,25,25,01-26,1.0353855349076568,-1.924412943133936,-1.0701316389930822
26,26,26,01-27,1.2463331417558825,-1.232483058512401,-1.200570152046728
27,27,27,01-28,1.3414416694196185,-0.920517288641205,-0.9797129841139868
28,28,28,01-29,1.3277227759635262,-0.9655166726495708,-0.7045194896384451
29,29,29,01-30,1.6455147059661015,0.07687360020403468,-0.5307561442792283
30,30,30,01-31,1.847357702489527,0.7389394249024068,-0.4005600671711245
31,31,31,02-01,1.3532353287333796,-0.8818328709786348,-0.17176296235580046
