,unnamed: 0,unnamed: 0,mth_day,can't remember,can't remember_norm,can't remember_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.02823133258216878,-0.8113178515864131,
2,2,2,01-03,0.1168819277265362,0.6173123582402381,
3,3,3,01-04,0.05180745963850837,-0.4313816843384911,
4,4,4,01-05,0.035471931904238044,-0.6946334806364708,-0.046148637629341
5,5,5,01-06,0.10344688889331076,0.4008027869724632,-0.09587279917042453
6,6,6,01-07,0.11843409864768766,0.6423260455726275,-0.3288759092617361
7,7,7,01-08,0.0097181729834791,-1.1096628208329142,-0.3084946844085409
8,8,8,01-09,0.03013086686556073,-0.7807063023076312,-0.14242970001229566
9,9,9,01-10,0.05939573979909445,-0.3090943352193204,-0.3828346329326071
10,10,10,01-11,0.09730077857752896,0.3017564257410013,-0.7009346429139964
11,11,11,01-12,0.013940002230400348,-1.041626810549405,-0.563166669963864
12,12,12,01-13,0.0,-1.2662740143157092,-0.45785691089803493
13,13,13,01-14,0.06101155615508775,-0.2830549831321199,-0.5235274092651646
14,14,14,01-15,0.06933949937863829,-0.1488477479126576,-0.7408638177723786
15,15,15,01-16,0.034945485043332385,-0.7031173254220974,-0.6026050527949623
16,16,16,01-17,0.016382699868938377,-1.0022620253022825,-0.5355394998595567
17,17,17,01-18,0.06541611570553281,-0.21207422068490794,-0.4121754494577864
18,18,18,01-19,0.024969657538452268,-0.8638806967032757,-0.4685875450383654
19,19,19,01-20,0.10694211150375428,0.4571293192785023,-0.10503797675961034
20,20,20,01-21,0.04833630703889594,-0.4873203213961317,-0.13204559482036993
21,21,21,01-22,0.17030123506474668,1.4781800842504331,-0.2415908321439781
22,22,22,01-23,0.006327299676293911,-1.1643077336668397,-0.30865638507938364
23,23,23,01-24,0.024630541871921145,-0.869345644626557,-0.5958902740117522
24,24,24,01-25,0.0,-1.2662740143157092,-0.5823055540592466
25,25,25,01-26,0.0,-1.2662740143157092,-0.988724879585562
26,26,26,01-27,0.05339413166156852,-0.4058120016810979,-0.773386577618019
27,27,27,01-28,0.018984337921214976,-0.9603358689074588,-0.7601975667771058
28,28,28,01-29,0.08650144899286141,0.12772207813841774,-0.6768544266785247
29,29,29,01-30,0.0295410371940984,-0.7902115795810771,-0.4039397259224537
30,30,30,01-31,0.03103008288689115,-0.766215173724222,-0.3971920145269577
31,31,31,02-01,0.1016108317432612,0.37121419022071694,-0.3788501292426601
32,32,32,02-02,0.05590642053923015,-0.365325733308122,-0.5562134515427233
33,33,33,02-03,0.02581333692461696,-0.8502845572016734,-0.3030219529785208
34,34,34,02-04,0.020466037013477142,-0.9364578556619612,-0.3681968889427043
35,35,35,02-05,0.12380858191835975,0.7289374118041374,-0.4392475680515868
36,36,36,02-06,0.006764334527466618,-1.1572647895093229,-0.4653249124412877
37,37,37,02-07,0.07515744326628851,-0.05508988443257783,-0.08322908320316152
38,38,38,02-08,0.04619737721634487,-0.5217897996463269,-0.06031647066148401
39,39,39,02-09,0.1680741785244201,1.4422904182270833,-0.35808601000627843
40,40,40,02-10,0.0289967962995144,-0.7989821804118961,-0.15135324342420614
41,41,41,02-11,0.012943866764464771,-1.0576798242646293,-0.2243702687682211
42,42,42,02-12,0.08373449517764388,0.083131809983111,-0.19529443641009075
43,43,43,02-13,0.04797195030431183,-0.4931920364966675,-0.4136848451176909
44,44,44,02-14,0.05702280912364946,-0.3473348054975445,-0.3664623019942128
45,45,45,02-15,0.08676367743359027,0.13194796598148195,-0.3027654694796546
46,46,46,02-16,0.04657856038373403,-0.515646921671027,-0.2542854792296145
47,47,47,02-17,0.036659291815899935,-0.6754988291772803,-0.3457877520613814
48,48,48,02-18,0.10178442842991917,0.3740117514833515,-0.4863143519061189
49,49,49,02-19,0.013904082127636424,-1.0422056734872684,-0.6178001126337889
50,50,50,02-20,0.004702341766199582,-1.1904944045659689,-0.4033403200236849
51,51,51,02-21,0.03780926980028592,-0.656966598384538,-0.2591773579227934
