,unnamed: 0,unnamed: 0,mth_day,possession,possession_norm,possession_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4816738428628633,-0.5651102861462509,
2,2,2,01-03,0.4405049859784717,-0.7805263547518559,
3,3,3,01-04,0.3797782312230525,-1.0982791358243056,
4,4,4,01-05,0.31987385171161137,-1.4117288379340875,-1.333225936821444
5,5,5,01-06,0.18810650096702056,-2.1012015805872157,-1.5936854467502044
6,6,6,01-07,0.19932334723595785,-2.0425094256849494,-1.5487906919570946
7,7,7,01-08,0.1830103209303056,-2.1278673457188115,-1.5959051666349178
8,8,8,01-09,0.49198487084225,-0.5111578259931983,-1.5077731043656148
9,9,9,01-10,0.3257530395718444,-1.3809659838912456,-1.2531161808460043
10,10,10,01-11,0.4209330609519609,-0.8829364643182701,-1.0401603778830557
11,11,11,01-12,0.4801163173245791,-0.5732600394695504,-0.6311681422466332
12,12,12,01-13,0.4435153529196292,-0.7647746079072576,-0.7073145700661732
13,13,13,01-14,0.6519932410458151,0.3260860680997232,-0.4570595068232367
14,14,14,01-15,0.4046693402195154,-0.9680363929104381,-0.4031360884803911
15,15,15,01-16,0.6127153339800367,0.12056439556637312,-0.42371741842705024
16,16,16,01-17,0.4827659271864168,-0.5593959542611968,-0.16612934549715114
17,17,17,01-18,0.456516132829083,-0.6967480191495049,-0.2303386574232167
18,18,18,01-19,0.7388862575570002,0.7807538296721371,-0.1401179391796136
19,19,19,01-20,0.5783657538177615,-0.0591698034566699,-0.1778753788583435
20,20,20,01-21,0.5081235679775632,-0.4267120834488193,-0.16016204026879047
21,21,21,01-22,0.5694196604348859,-0.10598024250600632,-0.009493762809705096
22,22,22,01-23,0.5030774454327146,-0.4531159227238786,-0.207320281324478
23,23,23,01-24,0.6292843239454305,0.20726164560500732,-0.13670915112095286
24,24,24,01-25,0.5120426887910192,-0.40620528141650025,-0.20670945853706613
25,25,25,01-26,0.6593340733849425,0.3644969777644811,-0.4118418715278975
26,26,26,01-27,0.4278556662412187,-0.8467139279454995,-0.37579545857298297
27,27,27,01-28,0.3341985738900992,-1.3367747204509937,-0.5012743445212308
28,28,28,01-29,0.5444111200952169,-0.23683744499439144,-0.6369151441501882
29,29,29,01-30,0.4854002860167417,-0.5456116700844796,-0.9444463901943788
30,30,30,01-31,0.3565061950534199,-1.2200500791902449,-0.8389429638757143
31,31,31,02-01,0.30669436722490306,-1.4806904985006613,-0.6307599197481386
32,32,32,02-02,0.5488342586101551,-0.21369337003351369,-0.3800130598393184
33,33,33,02-03,0.5729177559341305,-0.08767645568553888,-0.3591374020337597
34,34,34,02-04,0.8319373475475423,1.2676437144585302,-0.25082664333205523
35,35,35,02-05,0.5093379701680034,-0.4203577232511271,-0.04481657009725574
36,36,36,02-06,0.4807038972831688,-0.5701855269800181,-0.027693048314483843
37,37,37,02-07,0.5429218485816721,-0.2446300590918641,-0.03034235527573792
38,38,38,02-08,0.56846944614825,-0.1109522393368823,-0.2616632047314589
39,39,39,02-09,0.569879850549355,-0.10357229745306328,-0.31711061837884064
40,40,40,02-10,0.5666865236717965,-0.12028138227579632,-0.1423833253069992
41,41,41,02-11,0.44575757010310335,-0.7530422051354172,-0.09003480077941857
42,42,42,02-12,0.68106006297223,0.4781782314510304,-0.02071341695980404
43,43,43,02-13,0.602948816718318,0.06946108807361963,0.2601967781987127
44,44,44,02-14,0.6479588402673878,0.3049760635808049,0.1494720322086361
45,45,45,02-15,0.8919937493881882,1.5818888734980368,0.4614419522050591
46,46,46,02-16,0.43972075224909385,-0.7846298582162556,0.3412938013266865
47,47,47,02-17,0.803487011691297,1.1187773148431204,0.6425065318027873
48,48,48,02-18,0.5432886684670576,-0.2427106738192049,0.4673984228580246
49,49,49,02-19,0.9483432120295906,1.876737470930224,0.11198806824830036
50,50,50,02-20,0.4471660009093729,-0.7456725900877711,0.26227837870845305
51,51,51,02-21,0.4844520617451734,-0.5505732541603081,0.24346499148615244
52,52,52,02-22,0.6120555364412466,0.11711200454466067,0.5186290796558234
53,53,53,02-23,0.7819140904766708,1.0058969915093166,0.5864110086520772
54,54,54,02-24,0.8588136255116006,1.4082738551988203,0.9439323105054682
55,55,55,02-25,1.0260673452084512,2.2834290449077472,0.8688495842996541
56,56,56,02-26,0.8571282680066752,1.3994552210325748,1.0865674851665788
57,57,57,02-27,0.3983562557173581,-1.0010696113951931,0.712051713884181
58,58,58,02-28,0.8617081410954761,1.4234194097462076,0.7365151946720451
59,59,59,02-29,0.35246461750068664,-1.2411976361850696,0.19650851570779407
60,60,60,03-01,0.8868653919179466,1.5550547399260046,0.034035400689948564
61,61,61,03-02,0.4068528782432022,-0.9566110288777582,0.14948702637133207
62,62,62,03-03,0.6708237143205548,0.4246165309255011,-0.11236750571258602
63,63,63,03-04,0.5307422421160597,-0.3083598573068915,0.1166143401746127
64,64,64,03-05,0.5614449761698582,-0.14770778275730095,-0.02841701507913548
65,65,65,03-06,0.61503335446097,0.13269343913812265,0.0659036312309663
66,66,66,03-07,0.7205609426675279,0.6848666084035154,-0.037355123457379034
67,67,67,03-08,0.5150084085428449,-0.39068715101714746,0.008944045925422214
68,68,68,03-09,0.5524190403886013,-0.1949359972045709,-0.032885986423023324
69,69,69,03-10,0.5838325400829169,-0.030564841010083964,0.0665489935171119
70,70,70,03-11,0.5134793450160692,-0.3986879768479742,-0.0017881215745628547
71,71,71,03-12,0.7290533851380483,0.7293033187789341,0.2023588346279278
72,72,72,03-13,0.6422001890994492,0.27484391785346696,0.14368313654665266
73,73,73,03-14,0.7490994922123339,0.8341945861977965,0.35479619329278544
74,74,74,03-15,0.4851368334705347,-0.5469901856922221,0.3953485422280717
75,75,75,03-16,0.8259115068712427,1.2361134994667131,0.2490597802445637
76,76,76,03-17,0.5599798830803667,-0.15537388323625678,0.11586035776248275
77,77,77,03-18,0.5613070936507519,-0.1484292531221139,0.06545752739697931
78,78,78,03-19,0.4894631719378875,-0.5243526170390183,0.06226082662427209
79,79,79,03-20,0.6913036112462371,0.5317776040047759,-0.27344679707237113
80,80,80,03-21,0.4814712429470694,-0.5661703903284655,-0.3993886431583452
81,81,81,03-22,0.4409625324211528,-0.7781322427131462,-0.473665782543656
82,82,82,03-23,0.4155649783567373,-0.9110249597521006,-0.3529067540846067
83,83,83,03-24,0.4761350373339752,-0.5940920894339791,-0.5884056666138514
84,84,84,03-25,0.6279350471041979,0.2002015537152779,-0.7194920934184995
85,85,85,03-26,0.4212618890357126,-0.8812158711706927,-0.7041041644091699
86,86,86,03-27,0.33115715413634045,-1.3526889511563531,-0.5264236178157194
87,87,87,03-28,0.458607551696631,-0.6858046686571678,-0.4204104136717009
88,88,88,03-29,0.6193075786519481,0.1550583198086024,-0.4832373914160424
89,89,89,03-30,0.5976981813699442,0.04198713543013188,-0.1893679542677089
90,90,90,03-31,0.5558926538330298,-0.17676031275077114,0.17292818646583155
91,91,91,04-01,0.7582358820800276,0.8820007517193085,0.021310017437516243
92,92,92,04-02,0.7465946300175187,0.8210878932448896,0.044997372919737634
93,93,93,04-03,0.2847501396046399,-1.5955136828270595,-0.047493274090812464
94,94,94,04-04,0.6464693782557472,0.2971824527019308,-0.2327345189147132
95,95,95,04-05,0.4916410733398041,-0.5129567466331687,-0.013152987806704151
96,96,96,04-06,0.3434803575747377,-1.2882077816941755,-0.15451829507348835
97,97,97,04-07,1.010025472907404,2.1994899383673627,0.22673793593025504
98,98,98,04-08,0.5844939620137894,-0.027103950355815587,0.2325705756954839
99,99,99,04-09,0.7219287580450084,0.6920237031954006,0.12613121214562178
100,100,100,04-10,0.6531575453912978,0.33217829129330384,0.1239309548746472
101,101,101,04-11,0.3695892611454377,-1.1515929279323414,-0.37089215488793387
102,102,102,04-12,0.3409573681631139,-1.301409325320023,-0.4718973211576386
103,103,103,04-13,0.4426220683024624,-0.7694487202081238,-0.6145179184769033
104,104,104,04-14,0.4686734312151842,-0.6331349479740439,-0.7637753154215318
105,105,105,04-15,0.558388674954369,-0.16369988072018712,-0.5420574050030491
106,106,106,04-16,0.4820071817199493,-0.5633660903744667,-0.11224086561422712
107,107,107,04-17,0.6238285938510214,0.17871453457855385,-0.009012773946371178
108,108,108,04-18,0.8338190858014558,1.2774899110129092,0.19181340816594167
109,109,109,04-19,0.560991581584321,-0.15008017020098813,0.007359143253774528
110,110,110,04-20,0.6989566520595217,0.5718221446998335,0.17181401344697794
111,111,111,04-21,0.3468787922504631,-1.2704254701931903,0.1537609865174577
112,112,112,04-22,0.6705841729931723,0.4233631307847539,-0.22482560207924296
113,113,113,04-23,0.6031275620254276,0.07039637300143235,-0.4597366011624176
114,114,114,04-24,0.3997016909800904,-0.9940296205672948,-0.5636169710960047
115,115,115,04-25,0.2916240075377198,-1.5595461647000357,-0.3180823579616664
116,116,116,04-26,0.5798391848090151,-0.05146007490168899,-0.07844611125812763
117,117,117,04-27,0.6284282443518936,0.20278220861283933,0.24809551683945405
118,118,118,04-28,0.9453700905538476,1.8611806110059863,0.4329283160328327
119,119,119,04-29,0.977566079290127,2.0296461415869222,0.6844376506599413
