,unnamed: 0,unnamed: 0,mth_day,suspense,suspense_norm,suspense_ravg
0,0,0,01-01,,,
1,1,1,01-02,12.068886424820304,-0.7297629463571539,
2,2,2,01-03,12.728452080687275,-0.22672642362329204,
3,3,3,01-04,12.261232379962294,-0.5830648283216275,
4,4,4,01-05,10.187079752913506,-2.1649763724550963,-1.3194403067727898
5,5,5,01-06,10.816169139859095,-1.6851834437558038,-1.5906322048051995
6,6,6,01-07,9.712500399045627,-2.526927826123765,-2.074071283402915
7,7,7,01-08,9.935416738132897,-2.356914334551611,-2.128142930182188
8,8,8,01-09,8.925231457093812,-3.1273608952095846,-1.903812419815468
9,9,9,01-10,11.835850131636207,-0.9074947089972608,-1.6945225940619997
10,10,10,01-11,11.951890380144393,-0.8189933102547778,-1.2013585788303294
11,11,11,01-12,12.462654533474176,-0.42944448923499584,-0.9509781007110256
12,12,12,01-13,13.59222720761007,0.4320562652662551,-0.6679251684379072
13,13,13,01-14,11.905162752233934,-0.8546314658357889,-0.4870563621327289
14,14,14,01-15,11.1520120324505,-1.4290433015708741,-0.5631783489225478
15,15,15,01-16,13.258747048244386,0.17771812883380925,-0.4672224828682592
16,16,16,01-17,11.353037861006491,-1.2757252309936915,-0.3594974983803927
17,17,17,01-18,13.217540402012167,0.1462907070907363,-0.3319775429888545
18,18,18,01-19,14.43970086213742,1.0784061721934541,-0.2422738610530847
19,19,19,01-20,12.121662548255935,-0.6895117334865595,-0.22647145717512154
20,20,20,01-21,11.857711898791425,-0.8908212099562559,-0.3285639857269031
21,21,21,01-22,13.383064735811866,0.2725325521015882,-0.6111303062615617
22,22,22,01-23,10.549874800152569,-1.8882804023043809,-0.4501557045114808
23,23,23,01-24,10.994588006629595,-1.5491072161172157,-0.6727164820558146
24,24,24,01-25,15.70608984961127,2.0442537826939398,-0.8913886268760005
25,25,25,01-26,10.370774428878306,-2.0248763987525638,-1.2772404351366953
26,26,26,01-27,10.137415696428363,-2.202854078877372,-0.8976765309213683
27,27,27,01-28,10.34756425644528,-2.042578297462581,-0.6722039765079174
28,28,28,01-29,13.535908268259153,0.3891030229875808,-1.110784945178012
29,29,29,01-30,12.768383107114445,-0.1962718896365095,-0.9270589431355272
30,30,30,01-31,12.255768477164436,-0.5872320293266289,-0.7416420050651017
31,31,31,02-01,11.816148936220946,-0.9225203864976532,-0.35534949190159043
32,32,32,02-02,11.596092816363466,-1.0903524504548194,-0.3931072156358759
33,33,33,02-03,13.386531766197932,0.27517678151848635,-0.5281112250683073
34,34,34,02-04,13.238867834492991,0.162556680581868,-0.5297973167209601
35,35,35,02-05,11.70630505907876,-1.0062959462310983,-0.4480190965924085
36,36,36,02-06,12.242503975326395,-0.5973485792425451,-0.29750902351433234
37,37,37,02-07,12.459499106124122,-0.4318510657263441,-0.40903933053008057
38,38,38,02-08,12.780157240053608,-0.1872920119863624,-0.4333858315538433
39,39,39,02-09,12.509121596899282,-0.3940050605760029,-0.18956479955978964
40,40,40,02-10,13.047333639378893,0.016477674439291698,-0.2854593110583363
41,41,41,02-11,13.624447837348587,0.4566302457332238,-0.4821999255047652
42,42,42,02-12,11.488100783762775,-1.1727156482338248,-0.37720419034455904
43,43,43,02-13,10.91173849783505,-1.6122947524049178,-0.5545220855578624
44,44,44,02-14,13.606159859678286,0.4426823989748743,-0.7718497577583149
45,45,45,02-15,11.114159737457648,-1.4579124318558234,-1.1003922613563095
46,46,46,02-16,11.33761441811148,-1.2874883587634227,-1.214556632874414
47,47,47,02-17,11.03980029698976,-1.5146247758547444,-1.100937889458785
48,48,48,02-18,10.589968399643812,-1.8577018773424523,-1.1519683002461345
49,49,49,02-19,11.805578419585922,-0.9305822919111412,-1.0620166560773798
50,50,50,02-20,13.204703048822505,0.1364999342507746,-0.817858405764693
51,51,51,02-21,11.821810325451224,-0.9182025668432952,-0.5249352013636192
52,52,52,02-22,13.258410096655314,0.17746114311269756,-0.3759654201487621
53,53,53,02-23,13.344230413269795,0.2429144505516985,-0.3210073912259945
54,54,54,02-24,11.76191533006564,-0.96388319005331,-0.20883483887111795
55,55,55,02-25,12.237933846121573,-0.6008341183745364,0.08868614601312379
56,56,56,02-26,14.087165769367664,0.8095352483800343,0.0527731064593084
57,57,57,02-27,14.162411232075856,0.8669233424621552,-0.16536818984419602
58,58,58,02-28,12.975881813912466,-0.03801709421019474,-0.11662750492148592
59,59,59,02-29,11.628110402108536,-1.065933327269328,-0.24502240550230656
60,60,60,03-01,12.145358842004766,-0.6714390805170495,-0.6196012218674443
61,61,61,03-02,11.227849731139317,-1.3712035218594605,-0.8684447358125132
62,62,62,03-03,11.140350042982043,-1.4379376498107923,-1.0357219532794124
63,63,63,03-04,12.204756532276775,-0.6261377412082582,-0.942597152632734
64,64,64,03-05,11.659910078295214,-1.0416803990115908,-0.9372304322500346
65,65,65,03-06,12.360724247507234,-0.507184523389258,-0.9325607535315856
66,66,66,03-07,12.187578891115706,-0.6392387582208525,-0.8521998359893742
67,67,67,03-08,11.264586145702813,-1.3431854495487674,-0.916459953509635
68,68,68,03-09,11.772550277629929,-0.9557721445575232,-0.855104791828221
69,69,69,03-10,11.699221470989428,-1.011698446329824,-0.772491874571422
70,70,70,03-11,12.142591819596564,-0.6735494289231061,-0.8151006175213533
71,71,71,03-12,13.01064098902852,-0.011507019848463765,-0.8866640077082294
72,72,72,03-13,11.852375435071929,-0.8948912159204406,-0.7479648900014944
73,73,73,03-14,10.701596156886712,-1.7725657906700236,-0.6347638566940961
74,74,74,03-15,12.863697783674686,-0.1235774383171122,-0.7211371313015903
75,75,75,03-16,12.589775262659721,-0.33249224648543396,-1.164950466739386
76,76,76,03-17,11.463092304854447,-1.1917890765680716,-1.1785064348633565
77,77,77,03-18,9.519156528858517,-2.6743870324752383,-0.8485989052272411
78,78,78,03-19,11.745730482637788,-0.9762270246642624,-0.7608067098777332
79,79,79,03-20,13.296982372312891,0.2068793871466667,-0.6438031930479574
80,80,80,03-21,13.554359963720824,0.4031757337799344,-0.4307231088527527
81,81,81,03-22,13.510243234613345,0.3695288544932209,0.16188584227582736
82,82,82,03-23,13.139395703907105,0.08669142860315715,0.2891704115486485
83,83,83,03-24,14.181217757329831,0.881266674296242,0.2903419654483571
84,84,84,03-25,12.747079608835405,-0.2125196090273357,0.15226846120464374
85,85,85,03-26,13.306198999909382,0.2139087105449184,0.06658687642789479
86,86,86,03-27,12.468134165767731,-0.4252652916823457,0.16270577073393494
87,87,87,03-28,12.836185251484787,-0.14456065416727265,0.07799658838398603
88,88,88,03-29,13.895564117520035,0.6634047944393983,0.19384594516792286
89,89,89,03-30,13.51480967493906,0.3730115801965483,0.005956475156323036
90,90,90,03-31,13.65846779083495,0.4825765316762855,-0.007303584585797966
91,91,91,04-01,11.828070443614507,-0.9134281095246806,-0.20288995130029847
92,92,92,04-02,12.363817127874153,-0.5048256501350719,-0.3723014216567409
93,93,93,04-03,11.297505122977242,-1.318078854454276,-0.5622517574024072
94,94,94,04-04,12.562802190615356,-0.35306402769925604,-0.6773083524141698
95,95,95,04-05,12.020468264927453,-0.7666904342774489,-0.775232149457611
96,96,96,04-06,12.753316274539545,-0.20776303839428986,-0.7434772398367162
97,97,97,04-07,11.057702840034613,-1.5009708917853282,-0.7196121101650416
98,98,98,04-08,12.613633356055058,-0.3142961924097026,-0.599065774534422
99,99,99,04-09,11.485252364295262,-1.174888076424228,-0.6084753729242215
100,100,100,04-10,13.511141557591715,0.3702139860844611,-0.8072780356976067
101,101,101,04-11,11.946442849440519,-0.8231480246162461,-0.6701264173861903
102,102,102,04-12,11.189333509062278,-1.4005790150346005,-0.5826140549497556
103,103,103,04-13,12.136676151075633,-0.67806118191683,-0.4249297964898279
104,104,104,04-14,13.3020940874528,0.2107779822089053,-0.6682527773807608
105,105,105,04-15,12.725756184405082,-0.2287825256646629,-0.5525240124739964
106,106,106,04-16,11.596916952905389,-1.089723899261135,-0.08883637467874654
107,107,107,04-17,12.85688233379727,-0.1287754351756601,-0.06546792257103996
108,108,108,04-18,14.83716932755576,1.3815468117368994,0.025025778681356168
109,109,109,04-19,12.320516024457989,-0.5378504692705905,-0.12786473588876165
110,110,110,04-20,14.014009044569475,0.7537401897232822,0.10470692189709398
111,111,111,04-21,11.52296480094567,-1.14612561308537,-0.0004945648181137833
112,112,112,04-22,13.426560778804133,0.30570604745399843,-0.12234446178721195
113,113,113,04-23,12.029261064394447,-0.7599843554669067,0.2565728682695325
114,114,114,04-24,13.878574828989706,0.6504474299223101,0.21421953472266675
115,115,115,04-25,15.301462886447132,1.735653511069876,0.6883897954861479
116,116,116,04-26,13.680814897148455,0.4996201884420877,0.7426986400512354
117,117,117,04-27,15.253267531253092,1.6988959514955164,0.9552266508895108
118,118,118,04-28,13.853809064756927,0.6315591148445241,0.9500858694731372
119,119,119,04-29,13.701221296190331,0.5151837095627452,0.8223577459307739
120,120,120,04-30,13.838132244246971,0.6196027414240689,0.521611373688852
121,121,121,05-01,14.296624313863633,0.9692847698156964,0.3817195262788749
122,122,122,05-02,11.314839832205074,-1.304858045009444,0.3840602513739366
123,123,123,05-03,14.152736807329259,0.8595448670356537,0.20577361980657274
124,124,124,05-04,13.872223575188158,0.6456034654148947,0.1444337895926366
125,125,125,05-05,12.298638377046045,-0.554536079841438,-0.03717903172199938
126,126,126,05-06,13.355571115771275,0.25156376014045195,0.2661895362083975
127,127,127,05-07,12.867874222877333,-0.1203921580721193,-0.02700381400741625
128,128,128,05-08,13.701443739877574,0.5153533625729374,-0.014610655357542413
129,129,129,05-09,11.846181450911462,-0.8996152342592291,0.16053680218160846
130,130,130,05-10,13.969720692519646,0.7199624173141377,0.3250144483674925
