,unnamed: 0,unnamed: 0,mth_day,space,space_norm,space_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.228534937169749,-0.5072153334910359,
2,2,2,01-03,4.093186861728585,-0.6953059302214404,
3,3,3,01-04,4.7004297351023245,0.14856771955795345,
4,4,4,01-05,3.0524613260233093,-2.1415820328208315,-1.180314941275667
5,5,5,01-06,3.7720801861953968,-1.1415416525860962,-1.3616917277246987
6,6,6,01-07,2.6183828919419674,-2.744812418092552,-1.5403385026941523
7,7,7,01-08,3.4454336210279464,-1.5954760521852267,-1.4660568364957351
8,8,8,01-09,3.3218724761229046,-1.7671865800381628,-1.2612518333040472
9,9,9,01-10,5.021143712364967,0.5942577167484551,-1.2282042531863808
10,10,10,01-11,3.936714877383399,-0.9127520136707036,-0.9854355850422392
11,11,11,01-12,3.9147643961878273,-0.9432561718800996,-0.6490256284474366
12,12,12,01-13,3.6665460404002888,-1.2882004092277006,-0.6297042689043882
13,13,13,01-14,4.8978966673209525,0.4229836873835896,-0.9053260250125348
14,14,14,01-15,3.4052931959627166,-1.651258422779873,-0.7400825073227543
15,15,15,01-16,3.8311360813374047,-1.059472819900424,-0.7365257793568062
16,16,16,01-17,4.6501601793991085,0.07870909246797876,-0.5111851924018916
17,17,17,01-18,3.9301207072451687,-0.9219158040844104,-0.7309909412660036
18,18,18,01-19,4.639462771804325,0.06384311250178691,-0.4307883235222573
19,19,19,01-20,3.948876814224203,-0.8958508058010818,-0.2292493791310023
20,20,20,01-21,4.701429651276992,0.14995728368260494,-0.4386666557372802
21,21,21,01-22,4.701288297045402,0.14976084644710574,-0.5438401419451525
22,22,22,01-23,3.745992958533213,-1.177794567169688,-0.685494285439357
23,23,23,01-24,3.4760300979391614,-1.5529567213316444,-0.6561190804120934
24,24,24,01-25,4.027865508565662,-0.7860817484634407,-0.9898513538035963
25,25,25,01-26,4.075705402210294,-0.7195995756375003,-1.1163199411581
26,26,26,01-27,3.260527606156008,-1.8524363566664117,-0.996602767105404
27,27,27,01-28,4.155255261909804,-0.6090506776799165,-0.8694766932677472
28,28,28,01-29,4.262876504663237,-0.4594915228535103,-0.9659867371611192
29,29,29,01-30,4.024901856487953,-0.7902002783057039,-0.8586806532536332
30,30,30,01-31,3.611179647748294,-1.3651420118236726,-0.7520845876754874
31,31,31,02-01,4.539003584867138,-0.07576307219258423,-0.35576177691237226
32,32,32,02-02,3.720760257114576,-1.2128599631975363,-0.3865909895528801
33,33,33,02-03,5.866394381759782,1.7688861868987735,-0.2520414369898157
34,34,34,02-04,4.1297701823655855,-0.6444667986965569,-0.1488119931711229
35,35,35,02-05,4.605824772596818,0.01709703707268227,-0.23710735264825405
36,36,36,02-06,4.056876778575568,-0.7457653489115158,-0.14549731090562654
37,37,37,02-07,4.15778494289288,-0.6055352290553709,-0.6712812470335142
38,38,38,02-08,4.116290168438793,-0.6631997127417716,-0.8390906417252507
39,39,39,02-09,3.5963018277511205,-1.3858174298685528,-0.8951764219878383
40,40,40,02-10,3.405246606792228,-1.6513231668469748,-0.8860640913708431
41,41,41,02-11,4.363672239186407,-0.3194176445028435,-0.9316591209732764
42,42,42,02-12,4.096219619735087,-0.6910913652095435,-0.4852146156167174
43,43,43,02-13,3.960926632685561,-0.8791054066699725,-0.4539893965723658
44,44,44,02-14,6.043831650309963,2.015467319397583,-0.4255474618350013
45,45,45,02-15,3.7311179230694647,-1.1984661156024434,-0.535896547019206
46,46,46,02-16,3.5280457640741782,-1.4806715584227874,-0.34751804901407984
47,47,47,02-17,3.8872357803947097,-0.981512155608072,-0.2372175271378741
48,48,48,02-18,4.909551097311375,0.4391796228212131,-0.6431738330092194
49,49,49,02-19,4.437153417509851,-0.21730227541273828,-0.4105500763851637
50,50,50,02-20,4.291099541379098,-0.4202705158304881,-0.06638464286630814
51,51,51,02-21,4.735480022236652,0.1972764241418905,0.2564569308065756
52,52,52,02-22,5.013993383037347,0.5843210426903459,0.2178036578922604
53,53,53,02-23,5.281116806727534,0.9555372864292302,0.24878139671248226
54,54,54,02-24,4.742664091068742,0.2072599853353224,0.3967132095433503
55,55,55,02-25,4.570901007353878,-0.031435842491407434,0.2607728159143858
56,56,56,02-26,4.929800885664129,0.4673203611547206,0.22941351023547185
57,57,57,02-27,4.148552095836371,-0.618365937631897,0.09508856222641857
58,58,58,02-28,4.8785983634693295,0.3961652086168622,0.06809909918447661
59,59,59,02-29,4.701163629499267,0.14958759837491065,-0.1218557188716224
60,60,60,03-01,4.626136036713537,0.045323207083670713,-0.4328142636006491
61,61,61,03-02,3.750763706768234,-1.1711647508280014,-0.6592696631568027
62,62,62,03-03,3.587225298069467,-1.39843090721944,-0.7805115861273694
63,63,63,03-04,3.170822117751912,-1.9770983349688176,-0.8560160494017436
64,64,64,03-05,4.355131654698998,-0.3312863292065375,-1.0087007299122879
65,65,65,03-06,4.375170178394884,-0.3034391812713347,-1.0235486553105853
66,66,66,03-07,3.9669140017256304,-0.8707848759795945,-1.0125558846858869
67,67,67,03-08,3.6866572124972623,-1.2602523032177864,-0.8346016423925352
68,68,68,03-09,3.634687011956792,-1.3324742834712484,-0.995835344056766
69,69,69,03-10,3.9391464666459255,-0.9093728812087076,-1.0909831214671328
70,70,70,03-11,3.658998889025844,-1.2986885391919214,-1.1434343402653235
71,71,71,03-12,3.9643659559980784,-0.8743258457335373,-1.2993553423155375
72,72,72,03-13,3.740453828523439,-1.1854921887687373,-1.0103602322070795
73,73,73,03-14,3.0134622336349435,-2.195778315519071,-0.7417778667878715
74,74,74,03-15,4.882434618004902,0.4014963771795009,-0.3939109251252724
75,75,75,03-16,5.0987612551203245,0.7021213113065401,-0.5986194402671918
76,76,76,03-17,5.160927913084033,0.7885131107836731,-0.18019860329393567
77,77,77,03-18,3.0805289955383186,-2.102576936585053,0.15667162673203452
78,78,78,03-19,5.5470020343325,1.3250328330707997,0.13359439872041187
79,79,79,03-20,4.467912528333817,-0.1745569353632499,0.13704215146870505
80,80,80,03-21,4.782797790257463,0.263033009109765,-0.11182006334187353
81,81,81,03-22,5.1136470614452625,0.7228078277962992,0.16072271179524658
82,82,82,03-23,4.086455640355285,-0.7046601780797982,-0.05035570304939863
83,83,83,03-24,4.2572430067042015,-0.4673202857623329,-0.17307001590993767
84,84,84,03-25,4.635662784640718,0.05856234400292831,-0.29834132464776536
85,85,85,03-26,3.938088719058592,-0.9108428125264842,-0.5055382730697788
86,86,86,03-27,4.241934052025086,-0.4885948433172012,-0.42617753951769016
87,87,87,03-28,4.2190661937031875,-0.5203738627357818,-0.5370961689974765
88,88,88,03-29,4.429098688075636,-0.2284957767672662,-0.6919447368284698
89,89,89,03-30,3.7783475183078745,-1.1328320626410504,-0.500720051305701
90,90,90,03-31,3.9670980821494233,-0.8705290629830319,-0.4286954444351719
91,91,91,04-01,4.763708721725046,0.23650530061012906,-0.5437625216431897
92,92,92,04-02,4.552903088025494,-0.056447202094026185,-0.4735983540433388
93,93,93,04-03,3.722259621206599,-1.210776325983889,-0.17865062630447393
94,94,94,04-04,4.732035205306729,0.19248922883183964,-0.16331241100281196
95,95,95,04-05,5.051795782042795,0.6368543037921385,-0.32653038006932866
96,96,96,04-06,4.033321422110147,-0.7784997711730598,-0.2413767928338473
97,97,97,04-07,4.059008804517624,-0.7428025137889714,-0.15492647096405035
98,98,98,04-08,4.920557006389738,0.4544743213188621,-0.35413943563456035
99,99,99,04-09,4.095512241690888,-0.6920743947651073,-0.4973407714576461
100,100,100,04-10,3.8719254973324673,-1.00278855919122,-0.3685178799247977
101,101,101,04-11,4.433518455865583,-0.2223537111463755,-0.28851635937568804
102,102,102,04-12,4.589519256924662,-0.005562421975969499,-0.3999633441737777
103,103,103,04-13,4.4044184749715525,-0.2627933904943137,-0.2002308932032442
104,104,104,04-14,4.439380323397042,-0.21420758746967614,-0.20571957166422689
105,105,105,04-15,4.957864851930816,0.5063203110580937,-0.06314305118032215
106,106,106,04-16,3.848227915018743,-1.0357206299571162,-0.050321923654699764
107,107,107,04-17,5.049098117561924,0.6331054117570528,-0.03673190812254648
108,108,108,04-18,4.644874972704521,0.07136434317776483,-0.018451243208072104
109,109,109,04-19,4.4630938945661525,-0.18125329730139397,0.07362362871075823
110,110,110,04-20,4.51830780378051,-0.10452359798282987,0.43904506652443454
111,111,111,04-21,5.355401685584477,1.0587695425710757,0.24581753197775744
112,112,112,04-22,5.4259491576361585,1.156807996924942,0.3381356146108657
113,113,113,04-23,4.214830736488549,-0.5262597955230099,0.4423755478378705
114,114,114,04-24,5.043461878057982,0.6252728389764143,0.7724982301972217
115,115,115,04-25,4.913153852638791,0.4441863020606357,0.6712020970700309
116,116,116,04-26,5.943625299503789,1.8762124961732765,0.5176402398695078
