,unnamed: 0,unnamed: 0,mth_day,bleak,bleak_norm,bleak_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.948706712891863,-0.3683338348126797,
2,2,2,01-03,3.4726881511047125,-1.2161605160248168,
3,3,3,01-04,3.3717981454505015,-1.3958535900514786,
4,4,4,01-05,2.9881121582620698,-2.079228658293096,-1.795841693368071
5,5,5,01-06,2.7227314293400147,-2.5518927111714595,-1.8163535679223284
6,6,6,01-07,2.379294599041096,-3.1635808498548945,-1.8565504190665445
7,7,7,01-08,3.8796074506871183,-0.4914050821382232,-1.6910765445171931
8,8,8,01-09,3.3372752345683843,-1.457341622890113,-1.4992942834919267
9,9,9,01-10,3.9292373309952224,-0.4030103427553705,-1.12631396339195
10,10,10,01-11,3.634177572992932,-0.9285350921415004,-0.7096305642917146
11,11,11,01-12,3.9792067879243778,-0.3140107905715997,-0.7979493907500793
12,12,12,01-13,3.7829944595599647,-0.6634804552534809,-0.5011872932478628
13,13,13,01-14,3.5820839000765163,-1.021318040888411,-0.13004554867199572
14,14,14,01-15,4.336990883837485,0.3232309621231849,-0.033891222678023004
15,15,15,01-16,5.179518998608651,1.8238401246998324,0.11808699058729008
16,16,16,01-17,3.9580969186579535,-0.35160913617766404,0.3179065308985213
17,17,17,01-18,4.491182540313565,0.5978584890202787,0.5499909706093667
18,18,18,01-19,4.456135413746017,0.5354367866139067,0.4955835342498574
19,19,19,01-20,4.363917052907127,0.3711885973766611,0.2630920105964066
20,20,20,01-21,4.1537061381674025,-0.003213656033871529,0.11231985607784446
21,21,21,01-22,4.396314484032674,0.4288909827791277,-0.11564822838279833
22,22,22,01-23,3.4501840698983512,-1.2562420632890368,-0.08954856945659567
23,23,23,01-24,3.7232163361135737,-0.769950017743578,-0.4126998393939929
24,24,24,01-25,4.544058493171332,0.6920347401711225,-0.7072383506363779
25,25,25,01-26,3.2753030272053225,-1.5677190222477215,-0.9218858356808792
26,26,26,01-27,3.161481182622881,-1.7704447234881815,-0.6346389890533274
27,27,27,01-28,3.673221974303931,-0.8589939274878812,-0.4095920825767701
28,28,28,01-29,4.417845271223498,0.4672390164762746,-0.6636340147219774
29,29,29,01-30,4.481341838385756,0.5803314211157656,-0.493987958005341
30,30,30,01-31,3.688256161021331,-0.8322168527001209,0.03415856234650457
31,31,31,02-01,3.8467972279940486,-0.5498426819479038,0.344308343533311
32,32,32,02-02,4.940671806852845,1.3984343986228922,0.17613997717587646
33,33,33,02-03,4.718037307796855,1.0019047596329578,0.106756104543769
34,34,34,02-04,3.851329031533248,-0.5417711816683329,0.4523601424760568
35,35,35,02-05,4.247605307133837,0.16402818532312088,0.8653287092268577
36,36,36,02-06,4.852507822805463,1.2414073748936054,0.5592125174762116
37,37,37,02-07,5.237982767899204,1.9279687185569017,0.5273916346535805
38,38,38,02-08,3.9094446051193215,-0.4382627518809847,0.7085444878370591
39,39,39,02-09,4.610840887502296,0.8109794626971718,0.7260514018776875
40,40,40,02-10,4.46158668829455,0.5451459374325387,0.2980712913867304
41,41,41,02-11,4.306581625484917,0.2690696695668902,-0.20160086593920468
42,42,42,02-12,3.4107522292343084,-1.3264732880521366,-0.07719382448045184
43,43,43,02-13,3.554714994193503,-1.0700642253987085,-0.33201547567593664
44,44,44,02-14,4.328540127331878,0.3081794968715323,-0.6354691188465974
45,45,45,02-15,3.7524118811807727,-0.7179504444757372,-0.9182450954518347
46,46,46,02-16,3.4393289321363008,-1.275575921591426,-0.7029033761735229
