,unnamed: 0,unnamed: 0,mth_day,excellent script,excellent script_norm,excellent script_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.7930609654293805,-0.8381525869219767,
2,2,2,01-03,6.354158401496005,-0.22237173415967176,
3,3,3,01-04,5.213305301694078,-1.4744100603321926,
4,4,4,01-05,4.594345239435189,-2.153692713333536,-1.2306633493909087
5,5,5,01-06,5.3371705014550495,-1.3384732097361969,-1.4018430108044229
6,6,6,01-07,5.320398485905784,-1.3568797918618791,-1.8304733586617208
7,7,7,01-08,4.857190984785947,-1.8652305554030637,-1.7337179062488994
8,8,8,01-09,4.0107592380675365,-2.7941538213034622,-1.5035819282065839
9,9,9,01-10,5.7422847530436965,-0.8938773458552617,-1.3924351776535897
10,10,10,01-11,5.852540001227232,-0.7728768450796425,-1.0645665249868583
11,11,11,01-12,5.944829766753719,-0.6715927064182333,-0.7997562910207968
12,12,12,01-13,7.112915348546207,0.6103321241385108,-0.5446494301278121
13,13,13,01-14,6.304956136846442,-0.2763691516066949,-0.21816713391853648
14,14,14,01-15,5.405474305234248,-1.2635126559455536,-0.32158292493656804
15,15,15,01-16,7.527222155716207,1.065016431400392,-0.019018585138961725
16,16,16,01-17,5.287147281443351,-1.3933715911878315,0.13685114876922852
17,17,17,01-18,7.599003402170338,1.1437933323674043,0.15623885058501816
18,18,18,01-19,7.965083203366129,1.5455505275876524,0.2895800172272058
19,19,19,01-20,6.4109521878564575,-0.16004294071195724,0.11515715568677636
20,20,20,01-21,6.1344744330178,-0.4634656560924278,0.19826389904620034
21,21,21,01-22,6.573621016972942,0.01847926215781532,-0.27739194679265405
22,22,22,01-23,5.741506786871038,-0.8947311310312878,0.2891611848041881
23,23,23,01-24,4.998507387852363,-1.7101417426657222,0.02401503231412772
24,24,24,01-25,11.062531018852653,4.944869317168705,-0.35922900846600303
25,25,25,01-26,4.961350508839682,-1.7509198556523191,-0.7234115230933469
26,26,26,01-27,4.03921036913938,-2.762929900773212,-0.5956446125894274
