,unnamed: 0,unnamed: 0,mth_day,alien invasion,alien invasion_norm,alien invasion_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4026286261644997,-0.8173208552026411,
2,2,2,01-03,0.31015731123274776,-1.3584900306075314,
3,3,3,01-04,0.3414383387134043,-1.1754243106054043,
4,4,4,01-05,0.44607209870803904,-0.5630769501552888,-0.9290640191869164
5,5,5,01-06,0.5772247593474956,0.20446677151445794,-1.0336713073822736
6,6,6,01-07,0.22368714310455426,-1.864538740065092,-0.8855526515387142
7,7,7,01-08,0.29538112652301896,-1.4449645843747834,-0.6334705706921765
8,8,8,01-09,0.462014373618424,-0.4697780955461752,-0.5438386447786323
9,9,9,01-10,0.599882786912117,0.3370681744738215,-0.7990521482720693
10,10,10,01-11,0.5379662688764301,-0.02528539467402355,-0.6339962612124591
11,11,11,01-12,0.3155698536845432,-1.3268142494461634,-0.5043007973207364
12,12,12,01-13,0.3929089200345818,-0.8742034177074314,-0.6371095369142806
13,13,13,01-14,0.4283500090663921,-0.6667918010244471,-0.8315748066939617
14,14,14,01-15,0.3258536385715104,-1.2666305331074403,-0.9069375017213921
15,15,15,01-16,0.4005093559516679,-0.8297234442042654,-0.7656978832684574
16,16,16,01-17,0.4607014745454544,-0.4774615648386056,-0.7965782821848224
17,17,17,01-18,0.4603742568070621,-0.4793765387285552,-0.6031734404680853
18,18,18,01-19,0.36124912243494745,-1.059485811205621,-0.09374746057043416
19,19,19,01-20,0.6266362475351668,0.4936372492759756,0.2861464637927303
20,20,20,01-21,0.8481371576165941,1.7899253462784666,0.522396497070392
21,21,21,01-22,0.7899915251180373,1.4496401019747212,0.6788427345052752
22,22,22,01-23,0.7029142858739335,0.9400386348273648,0.8859154788109637
23,23,23,01-24,0.6207690828527808,0.4593008858807441,0.7821401701107478
24,24,24,01-25,0.5735482313575556,0.1829506546285105,0.2119172757428062
25,25,25,01-26,0.5202417259427893,-0.12901460292532044,-0.05184851324246642
26,26,26,01-27,0.2635222544457817,-1.6314120199291826,-0.2831781827480652
27,27,27,01-28,0.5195684805324261,-0.13295463193691465,-0.5170809482809419
28,28,28,01-29,0.465746024700457,-0.4479393822062275,-0.5346745401740834
29,29,29,01-30,0.38096278259021504,-0.9441157073165156,-0.5172711077082081
30,30,30,01-31,0.5555105900726742,0.07738910326966117,-0.4854846387490885
31,31,31,02-01,0.5380844083155395,-0.024594008130068446,-0.4331514872145561
32,32,32,02-02,0.2961109906333662,-1.4406932061744653,-0.27615533964285643
33,33,33,02-03,0.5732224825361453,0.1810442772702794,-0.17171118643312494
34,34,34,02-04,0.6267046402126507,0.4940375032239705,-0.3922271508930661
35,35,35,02-05,0.4880430298383471,-0.3174507880581269,-0.430206261928616
36,36,36,02-06,0.3294289639512545,-1.2457066834899857,-0.34061644573475364
37,37,37,02-07,0.4991467322947049,-0.2524686743433677,-0.5589788237904297
38,38,38,02-08,0.3879619882635489,-0.9031543090112912,-0.6582511044466902
39,39,39,02-09,0.3493487977647391,-1.1291299910637769,-0.5500211846749846
40,40,40,02-10,0.5249267997986228,-0.10159618071359264,-0.4050908849949648
41,41,41,02-11,0.5990045936276346,0.3319287305721073,-0.4277183650042382
42,42,42,02-12,0.4780171983957309,-0.3761248854098668,-0.2936691948585989
43,43,43,02-13,0.4759481512393375,-0.38823355439900825,-0.10193748378561618
44,44,44,02-14,0.5253944614224634,-0.09885928813745573,-0.36316411221677386
45,45,45,02-15,0.5459196769960093,0.021260275374119505,-0.7278608897938709
46,46,46,02-16,0.2571070023224151,-1.6689559513005388,-0.650131155846806
47,47,47,02-17,0.2251031361172877,-1.856251934890475,-0.6570612532416286
48,48,48,02-18,0.5577087739774621,0.09025351827252263,-0.741573969552765
49,49,49,02-19,0.4688431432548209,-0.4298141387679424,-0.8394369002561851
50,50,50,02-20,0.438748705962745,-0.6059355860042754,-0.6081935923258424
51,51,51,02-21,0.4455867574968578,-0.5659173088464007,-0.2834935162587243
52,52,52,02-22,0.4941867222176394,-0.2814961037184826,-0.2919689982921525
53,53,53,02-23,0.5579984046244264,0.09194852151223364,-0.3347667620469454
54,54,54,02-24,0.5490193769763283,0.03940062607195302,0.03275508214275465
55,55,55,02-25,0.4249651952443873,-0.6866007212966997,0.3214574692667131
56,56,56,02-26,0.815546532700793,1.5991954791339251,0.37932040077895945
57,57,57,02-27,0.7415757817199868,1.16629701389735,0.2658240336292957
58,58,58,02-28,0.5535100718013265,0.06568148535499556,-0.038392943139999816
59,59,59,02-29,0.44163747217714794,-0.5890296813857488,-0.0776522194987313
60,60,60,03-01,0.2371241862123113,-1.7859012345438203,-0.3942075230302648
61,61,61,03-02,0.3847150434639042,-0.9221563794490888,-0.6708375383231173
62,62,62,03-03,0.4910016048310941,-0.300136342055276,-0.8761107947509607
63,63,63,03-04,0.4579638271634609,-0.4934830778597652,-0.7669238617392247
64,64,64,03-05,0.3430558685144868,-1.1659580532120637,-0.5032289791642428
65,65,65,03-06,0.5535802035207016,0.0660919166846674,-0.4323184279434569
66,66,66,03-07,0.5074745347616957,-0.20373193909392925,-0.3381872042949397
67,67,67,03-08,0.4574153251347753,-0.4966930721243731,-0.11681430589082553
68,68,68,03-09,0.5875086317185817,0.26465099983582696,0.030640563940277067
69,69,69,03-10,0.6849240156150582,0.8347543125649199,-0.1994570417193101
70,70,70,03-11,0.4942323914142332,-0.28122883422544803,-0.028324753310548317
71,71,71,03-12,0.31767510258360016,-1.314493717272856,-0.16849507934976998
72,72,72,03-13,0.6829260769667548,0.8230617913586418,-0.2838053660274384
73,73,73,03-14,0.3137072025844299,-1.3377150283597032,-0.5328251347541771
74,74,74,03-15,0.4692879977410805,-0.4272107202301833,-0.5229815432927442
75,75,75,03-16,0.4296191700543269,-0.6593642997955131,-0.4801069354170489
76,76,76,03-17,0.5043244279247235,-0.22216728545684947,-0.3472427753401354
77,77,77,03-18,0.36163183420434536,-1.0572460700186843,-0.16756781430623513
78,78,78,03-19,0.8191436312695043,1.6202467518201225,-0.26808421938825383
79,79,79,03-20,0.4979170282237257,-0.2596652621563017,-0.05806748907427106
80,80,80,03-21,0.3662346321107189,-1.0303091507222957,-0.0861213558104497
81,81,81,03-22,0.6449365690388992,0.6007360820883837,0.02192155380710581
82,82,82,03-23,0.4755625021102275,-0.3904904858739213,-0.4466543574342612
83,83,83,03-24,0.4724016678399679,-0.4089886123133513,-0.4549377524699613
84,84,84,03-25,0.3387412067365689,-1.1912087156280795,-0.4647812500380353
85,85,85,03-26,0.4894245663556537,-0.3093656323705023,-0.6101517550963707
86,86,86,03-27,0.3561426918633874,-1.0893701361307395,-0.3578533322463282
87,87,87,03-28,0.495897018754317,-0.27148694826162817,-0.2403354317696809
88,88,88,03-29,0.7342287526263848,1.1233000512263334,-0.07602936280321704
89,89,89,03-30,0.5928856341741244,0.2961187905465328,-0.1626976287353167
90,90,90,03-31,0.5071942407131831,-0.20537230182929656,0.018531888096910358
91,91,91,04-01,0.40056885677907017,-0.8293752279631003,-0.13970324503924114
92,92,92,04-02,0.5419463091523851,-0.0019930351373772235,-0.3944738812523956
93,93,93,04-03,0.3336681465881968,-1.2208977470785374,-0.3171316565466157
94,94,94,04-04,0.4730278918899639,-0.4053237660525931,-0.3580189964486726
95,95,95,04-05,0.6721799200647379,0.7601721387812119,0.09998183486792994
96,96,96,04-06,0.4652749342562781,-0.4506963412416379,0.14382406144549795
97,97,97,04-07,0.870129294104367,1.9186297599365147,0.3150066466345858
98,98,98,04-08,0.5868950814633389,0.2610603243280309,0.34405871479711675
99,99,99,04-09,0.5091712550275311,-0.1938022359440106,-0.042720577624577726
100,100,100,04-10,0.5028132130047465,-0.2310113570774072,-0.25619275235960576
101,101,101,04-11,0.2756386011858783,-1.560503615748955,-0.7891751400613968
102,102,102,04-12,0.24641487796072456,-1.731529389651806,-1.1434113369092749
103,103,103,04-13,0.32369482075090844,-1.2792645662742317,-1.0965011696377278
104,104,104,04-14,0.22371822208913172,-1.86435685675924,-1.3708277915151967
105,105,105,04-15,0.5572654006117428,0.08765876768527407,-1.0264051704824988
106,106,106,04-16,0.22156278782874714,-1.87697108834222,-0.9682561983888452
107,107,107,04-17,0.6287541972688063,0.5060321104472334,-0.8537764166491791
108,108,108,04-18,0.30603148758088844,-1.3826355570898852,-0.5382056684056538
109,109,109,04-19,0.4410639884531888,-0.592385875836235,-0.6574715535572008
110,110,110,04-20,0.5472537452154398,0.029067632701912538,-0.2581246482649981
111,111,111,04-21,0.4349893317479374,-0.6279365432240074,-0.3730173746479308
112,112,112,04-22,0.6309889169352362,0.5191103434109962,0.16185787464027568
113,113,113,04-23,0.5109616625024838,-0.1833242478503627,0.3104727196029288
114,114,114,04-24,0.854406596962798,1.8266159386393528,0.3993249248728789
115,115,115,04-25,0.5934297634084207,0.2993031939396837,0.7418293218205197
116,116,116,04-26,0.6383485151614663,0.5621808643216128,0.7251097607823751
117,117,117,04-27,0.7861382891728568,1.427089838461838,0.6754668431700569
118,118,118,04-28,0.6138473664048809,0.41879297718212816,0.5758133397746575
119,119,119,04-29,0.4600657939575859,-0.481181753524271,0.5935560629147862
120,120,120,04-30,0.7522379120265148,1.2286949182669566,0.4610842182792082
121,121,121,05-01,0.6116202999038911,0.40575953278045535,0.14695908471939606
122,122,122,05-02,0.5025331780548589,-0.2326502034918555,0.03178635064463605
123,123,123,05-03,0.4640848669875818,-0.457660962897035,-0.08156698024591792
124,124,124,05-04,0.4957677567573821,-0.27224342726643186,-0.30986860928075394
125,125,125,05-05,0.3438515078999829,-1.1613017388675948,-0.3598794282618283
