,unnamed: 0,unnamed: 0,mth_day,denzel washington,denzel washington_norm,denzel washington_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.3329184517163338,0.9352063676910056,
2,2,2,01-03,0.2699091620195497,0.3772689305292471,
3,3,3,01-04,0.2532308963264466,0.2295854879465297,
4,4,4,01-05,0.0940455579560874,-1.1799758664424334,-0.029112164008879362
5,5,5,01-06,0.21498193723057474,-0.10910308186200844,-0.3182995301214782
6,6,6,01-07,0.17900708138552193,-0.4276548219156167,-0.5424688330922179
7,7,7,01-08,0.13696647594573255,-0.7999178289845875,-0.7458587432997318
8,8,8,01-09,0.11801311477960336,-0.9677468872951912,-0.4584062417521261
9,9,9,01-10,0.1154148662117368,-0.9907539732985541,-0.5771351501365928
10,10,10,01-11,0.2888219977972509,0.5447391428432008,-0.6626921325316184
11,11,11,01-12,0.13453179692270129,-0.8214765321688084,-0.7835706165175323
12,12,12,01-13,0.12103407942959232,-0.9409967162857708,-0.4602602806290227
13,13,13,01-14,0.055059793494147836,-1.5251887329000708,-0.20204153969933167
14,14,14,01-15,0.3370866516219521,0.9721151280358672,-0.5075074348518929
15,15,15,01-16,0.29038264971604383,0.5585584722795924,0.0673677499666296
16,16,16,01-17,0.08183976862762073,-1.2880562280721664,0.05370578232203329
17,17,17,01-18,0.5240644718833982,2.6277745767423264,0.4526958419271089
18,18,18,01-19,0.11177679551411754,-1.0229685221533489,0.2893782867340461
19,19,19,01-20,0.3254135490659006,0.8687516247303831,0.28730633278019924
20,20,20,01-21,0.2264234575540469,-0.007790203122509856,0.2532361667357466
21,21,21,01-22,0.2889787036293952,0.5461267485565111,-0.3631220493744023
22,22,22,01-23,0.05875398711168998,-1.492477224338882,-0.4217281973241612
23,23,23,01-24,0.1064230933793284,-1.0703747199185671,-0.5983254642804622
24,24,24,01-25,0.07206555004225282,-1.374605409851902,-0.5147447234786737
25,25,25,01-26,0.2057520858389706,-0.19083197700742285,-0.7035722868325287
26,26,26,01-27,0.28305736766097744,0.4936942416882205,-0.6019030203677803
27,27,27,01-28,0.16103005007469812,-0.5868386315666189,-0.5603419378687967
