,unnamed: 0,unnamed: 0,mth_day,tense,tense_norm,tense_ravg
0,0,0,01-01,,,
1,1,1,01-02,10.489008354831967,-0.8764597724582854,
2,2,2,01-03,10.5090083663542,-0.8603296115836824,
3,3,3,01-04,11.113370105103037,-0.3729072887696948,
4,4,4,01-05,9.042071810370151,-2.0434250620315284,-1.4211968630909249
5,5,5,01-06,9.80942641890052,-1.4245477544008232,-1.6768514031807278
6,6,6,01-07,7.918602359171156,-2.9495116893015365,-1.9638485344941392
7,7,7,01-08,8.587070567382654,-2.4103870129971003,-1.9160905779906685
8,8,8,01-09,8.373897881937253,-2.5823123994641515,-1.5989015086662903
9,9,9,01-10,11.468664644732199,-0.08635954974886867,-1.3834460850782755
10,10,10,01-11,11.40179472591863,-0.14029064608526085,-0.9168643690621624
11,11,11,01-12,11.41230353381114,-0.13181521287273407,-0.6304750945249517
12,12,12,01-13,11.389729436798156,-0.1500213932048582,-0.3542521735321847
13,13,13,01-14,10.717658911212514,-0.6920513657738351,-0.3521296449377254
14,14,14,01-15,10.428853804140823,-0.9249748735075496,-0.4463188725419229
15,15,15,01-16,11.484455161643519,-0.07362437818211309,-0.44468571587253786
16,16,16,01-17,10.701075501107834,-0.7054260117104455,-0.4065585166410308
17,17,17,01-18,11.424453376255705,-0.12201627285642372,-0.27707930714122303
18,18,18,01-19,11.673376114547509,0.07874180218418378,-0.17019311851612007
19,19,19,01-20,11.680917381608728,0.0848238912250118,-0.28267797110106024
20,20,20,01-21,11.22403186368598,-0.2836577417569317,-0.5615413885557169
21,21,21,01-22,10.647625932748095,-0.7485334936917543,-0.8649801358297841
22,22,22,01-23,8.626475648478735,-2.3786065164383854,-1.0701417374147808
23,23,23,01-24,9.167025757664973,-1.9426487565008268,-1.3747432103680648
24,24,24,01-25,10.147079720784811,-1.1522278073257963,-1.6171630055271882
25,25,25,01-26,9.414839684263427,-1.7427849464946914,-1.649672852585477
26,26,26,01-27,9.420553745609523,-1.7381765127116702,-1.131130482494796
27,27,27,01-28,10.405769455008102,-0.9435925760414892,-0.7181210353577573
28,28,28,01-29,12.484163165870614,0.7326477041056993,-0.5025428607564479
29,29,29,01-30,12.239602813435464,0.5354079263214055,-0.2392430422517131
30,30,30,01-31,11.75087003985973,0.14124124028205873,-0.13246079491928678
31,31,31,02-01,11.373654395970854,-0.16298603546628132,0.09776476990539107
32,32,32,02-02,10.214958535600584,-1.0974830287171125,-0.02611370471620409
33,33,33,02-03,12.118528795104728,0.4377608129065781,-0.1857212702668312
34,34,34,02-04,11.562571271388194,-0.010623143623871754,-0.3625420759149639
35,35,35,02-05,11.052204928864743,-0.4222374669823572,-0.2940932028227741
36,36,36,02-06,10.435414535915683,-0.9196835936067372,0.12427856756673733
37,37,37,02-07,11.882878672592852,0.2477072030868572,0.1839631486690733
38,38,38,02-08,13.32742850787791,1.412747593619956,0.2156361753911276
39,39,39,02-09,12.562551264202053,0.7958682995205938,0.07169241492450533
40,40,40,02-10,11.798202237865093,0.17941501670845353,0.08357781153108035
41,41,41,02-11,9.981337667118268,-1.2859000297820904,-0.12093061262049185
42,42,42,02-12,10.523835750406636,-0.8483712139672872,-0.221341247780394
43,43,43,02-13,10.361441581708574,-0.9793433418225759,-0.5659597467126949
44,44,44,02-14,12.580425222877293,0.8102837826605431,-0.7094538462379387
45,45,45,02-15,9.998767553796718,-1.2718426940732124,-0.8390208622885015
46,46,46,02-16,10.730680221368896,-0.6815495804430084,-0.9782815905431124
47,47,47,02-17,9.017425961317716,-2.0633021260854667,-0.9801576316707836
48,48,48,02-18,9.487807830534306,-1.6839355834949536,-1.081477766626506
49,49,49,02-19,10.347484804292167,-0.990599588588603,-1.0358814125764535
50,50,50,02-20,11.826655728957634,0.20236297292621,-0.7103264073660727
51,51,51,02-21,10.337980887177183,-0.9982645697728982,-0.15655224065812054
52,52,52,02-22,13.152641380695007,1.2717804508192758,0.21924979214804607
53,53,53,02-23,13.137219855864409,1.2593428741622457,0.3862397456340241
54,54,54,02-24,12.283580933344247,0.5708766133420462,0.6329083675474693
55,55,55,02-25,11.589803843679546,0.011340132327265277,0.8602069595748065
56,56,56,02-26,13.661742924477165,1.6823747044068815,0.6491008874094054
57,57,57,02-27,12.028965060816205,0.36552698239112535,0.3027552485266325
58,58,58,02-28,11.582121194860086,0.0051440178268697115,0.027285562187716862
59,59,59,02-29,10.560587115925452,-0.8187309591343921,-0.15921642331675975
60,60,60,03-01,10.234228688080943,-1.0819415046914478,-0.5339535405158826
61,61,61,03-02,10.202325359860367,-1.1076717806995944,-0.5836783678530713
62,62,62,03-03,10.87389224398278,-0.5660479987878556,-0.5812537222380437
63,63,63,03-04,11.659038017651739,0.06717801836799374,-0.4605089690589986
64,64,64,03-05,11.600159306425693,0.019691891517035414,-0.4454988758823087
65,65,65,03-06,11.458865740771305,-0.0942624400601213,-0.4813258578328825
66,66,66,03-07,10.345896031816963,-0.9918809456313086,-0.4331514378568113
67,67,67,03-08,9.935791111111547,-1.3226336724030372,-0.4755261233336577
68,68,68,03-09,11.232285056833897,-0.27700147893142874,-0.6799873210403851
69,69,69,03-10,11.343792235154062,-0.18707009449308454,-0.7879632226346257
70,70,70,03-11,10.079073555908717,-1.2070752947233288,-0.809350147968376
71,71,71,03-12,10.655580779339141,-0.7421178496255652,-1.0545271476139135
72,72,72,03-13,10.186788349100556,-1.1202024976338103,-0.9693208854615012
