,unnamed: 0,unnamed: 0,mth_day,dinosaurs,dinosaurs_norm,dinosaurs_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.38086228544656864,-1.255520936459114,
2,2,2,01-03,0.5853755419712746,-0.2600375394941405,
3,3,3,01-04,0.8122487237288506,0.8442844467385721,
4,4,4,01-05,0.7501174861621013,0.5418560541658217,-0.3220651186209737
5,5,5,01-06,0.4341532680132911,-0.9961231387094441,-0.2584309574540261
6,6,6,01-07,0.4730378423910303,-0.8068495979675371,-0.2747015574369753
7,7,7,01-08,0.4593007379580675,-0.8737159694574281,-0.5708768621993191
8,8,8,01-09,0.5653196370816372,-0.3576611393918359,-0.6635115000895259
9,9,9,01-10,0.4471691477330165,-0.9327673818354908,-0.4687017420942983
10,10,10,01-11,0.6359316854565993,-0.013951773175418698,-0.1991463947435866
11,11,11,01-12,0.6742849154030607,0.17273540926192052,-0.1193644096196686
12,12,12,01-13,0.8053044099806976,0.8104824861367332,0.030895358058975506
13,13,13,01-14,0.5576437558694284,-0.3950240587139201,0.17772016913544486
14,14,14,01-15,0.7505368763020711,0.5438974666800288,0.03059196358387818
15,15,15,01-16,0.6281522982913578,-0.0518185153766745,0.07668694787729079
16,16,16,01-17,0.454574556634213,-0.8967210064848188,-0.04545459974011734
17,17,17,01-18,0.7311037556330963,0.4493053150223962,-0.25677746679804475
18,18,18,01-19,0.6547470080007478,0.07763320043228446,-0.6461389155042178
19,19,19,01-20,0.2971572755207768,-1.6629612610614846,-0.6434568389303074
20,20,20,01-21,0.2705916873646094,-1.7922712255570097,-0.7884948003684759
21,21,21,01-22,0.6314583517085299,-0.035726055933212354,-1.0699207336345309
22,22,22,01-23,0.2757939607717897,-1.766948775113829,-1.3884431774653858
23,23,23,01-24,0.3842049469243621,-1.2392502845739348,-1.187570744473747
24,24,24,01-25,0.2621212999518094,-1.8335014625528443,-1.0944278155663771
25,25,25,01-26,0.5447620605472792,-0.457726663111654,-1.2616527752813107
26,26,26,01-27,0.3854040314248231,-1.2334136521127883,-1.0706531749178347
27,27,27,01-28,0.4253290208460657,-1.0390758142228131,-0.8758353241987255
28,28,28,01-29,0.5112290291074973,-0.6209511729329752,-0.7636192280241733
29,29,29,01-30,0.6243465697852664,-0.07034318025927896,-0.7802849822746527
30,30,30,01-31,0.400444124821312,-1.1602048855055311,-0.7124747864681551
31,31,31,02-01,0.5242190699684462,-0.5577211886145305,-0.3769337940988291
32,32,32,02-02,0.4689900601556634,-0.8265524772738024,-0.12137685756032525
33,33,33,02-03,0.8389325902648948,0.9741701399931424,-0.07144167745053152
34,34,34,02-04,0.8262404987812965,0.9123904462980479,0.08669267883324408
35,35,35,02-05,0.6858990155450079,0.2292679003994835,0.03954754069969385
36,36,36,02-06,0.5953679514002357,-0.2113987478028776,0.07925378248296351
37,37,37,02-07,0.4661057608460921,-0.8405920174158318,-0.1449512512464302
38,38,38,02-08,0.5179338366337729,-0.5883150265741844,-0.14404492504208366
39,39,39,02-09,0.5625669468979072,-0.37106006238322,-0.14173604449999974
40,40,40,02-10,0.8273576789819289,0.9178284035241274,-0.3258452448216184
41,41,41,02-11,0.6887450500245045,0.2431211836519868,-0.3160945203649365
42,42,42,02-12,0.3684263134257844,-1.3160539497325892,0.07468635381301643
43,43,43,02-13,0.4781249612758986,-0.7820876706757406,0.09972673969243896
44,44,44,02-14,0.9996286760014448,1.756370218493533,-0.07692430857026354
45,45,45,02-15,0.5934329013263736,-0.2208177471066848,-0.4139151597065312
46,46,46,02-16,0.6096093091415862,-0.14207788605208754,-0.3090825097540772
47,47,47,02-17,0.2733543166680417,-1.778823923165619,0.06301528288764467
48,48,48,02-18,0.4976479560805357,-0.6870580500178647,0.647872448177337
49,49,49,02-19,0.936790157807494,1.4504990851745905,0.6961100930465318
50,50,50,02-20,1.7205510570670035,5.265513210231688,0.5999608679648911
51,51,51,02-21,0.6528928855070746,0.06860812210848387,0.8689634816482577
52,52,52,02-22,0.4910912633737259,-0.7189732365419321,0.8954152750082963
53,53,53,02-23,0.6049395588073143,-0.16480824106541986,0.4364798516832161
54,54,54,02-24,0.5302536775871322,-0.5283472898576328,-0.7199987463982299
