,unnamed: 0,unnamed: 0,mth_day,dvd,dvd_norm,dvd_ravg
0,0,0,01-01,,,
1,1,1,01-02,21.120381421364364,-0.7481231373244372,
2,2,2,01-03,21.717477073927512,-0.4662033438425796,
3,3,3,01-04,19.30051246596657,-1.6073775597396684,
4,4,4,01-05,17.69285162711252,-2.366437535696658,-1.6602702782449192
5,5,5,01-06,18.16524927678965,-2.1433941300603934,-1.8865318209900988
6,6,6,01-07,17.134454049958727,-2.63008596280578,-2.3211059743073243
7,7,7,01-08,18.245100154019,-2.1056923937955143,-2.117816041446664
8,8,8,01-09,16.195005569732338,-3.073648263745929,-1.874877890155363
9,9,9,01-10,21.883875633663386,-0.3876379625757057,-1.7235221435566277
10,10,10,01-11,20.780055519813253,-0.9088086279488542,-1.2371569955800048
11,11,11,01-12,20.08864437796483,-1.2352596504679811,-0.8112054608415815
12,12,12,01-13,23.315073973698002,0.2881049250539561,-0.3921295224708075
13,13,13,01-14,23.65799734269289,0.45001681463502796,-0.20173345666448905
14,14,14,01-15,21.5205292118553,-0.5591926335212852,-0.18641434470444654
15,15,15,01-16,24.30338641197406,0.7547384322622055,0.11283754279808796
16,16,16,01-17,20.974727381043703,-0.8168939561885997,0.21355577709279625
17,17,17,01-18,23.891470682047892,0.5602516745472258,0.0594746802573306
18,18,18,01-19,24.594978852070646,0.8924143308222057,-0.009601957516732837
19,19,19,01-20,21.699969097999144,-0.4744697663777658,-0.16914176301782513
20,20,20,01-21,20.64271869136995,-0.9736524601656659,-0.2597019481780705
21,21,21,01-22,22.275990113921605,-0.20250040074434816,-0.587953109663536
22,22,22,01-23,19.823908727553686,-1.3602550671500715,-0.5888278788871214
23,23,23,01-24,19.720128066098066,-1.4092552943655674,-0.9072811368955662
24,24,24,01-25,24.583862479702148,0.887165715480693,-1.1557672238684618
25,25,25,01-26,17.653136056168442,-2.385189314428435,-1.2933776678289726
26,26,26,01-27,17.485012868274026,-2.46456898200304,-1.0513588672245229
27,27,27,01-28,20.52726725580715,-1.028163064507413,-0.8740938633984395
28,28,28,01-29,22.89942971658484,0.09185773647662723,-1.2376084118719188
29,29,29,01-30,21.9727722347585,-0.34566527140906783,-1.0070685557564414
30,30,30,01-31,19.964400599649306,-1.2939215753601845,-0.7569045258854872
31,31,31,02-01,20.582785176486976,-1.0019501777355675,-0.3841709112696969
32,32,32,02-02,20.66404161582245,-0.9635848027773152,-0.5958701781075294
33,33,33,02-03,25.263882974111947,1.2082386231873294,-0.6888345452645638
