,unnamed: 0,unnamed: 0,mth_day,childhood,childhood_norm,childhood_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.4801858119683842,-1.4559380957134709,
2,2,2,01-03,1.7492472040017095,-0.7425601801379916,
3,3,3,01-04,1.709664771156143,-0.8475073567781819,
4,4,4,01-05,1.2620955973808143,-2.034173202259784,-1.6494804300099457
5,5,5,01-06,1.1801845136946807,-2.2513487609713256,-1.6676172553159858
6,6,6,01-07,1.061752263853321,-2.5653549841989194,-1.7832744631171782
7,7,7,01-08,1.4391423255579157,-1.564759047549712,-1.5148735578860162
8,8,8,01-09,1.487515894549219,-1.4365034269451458,-1.1591257379346274
9,9,9,01-10,2.317053810887584,0.7628980746087898,-0.8097145208940052
10,10,10,01-11,2.067149986302229,0.10031371744854917,-0.6196683710980653
11,11,11,01-12,1.9708992223761377,-0.15488145872759246,-0.3890920750733735
12,12,12,01-13,1.4918251368557314,-1.42507808542328,-0.17275222540353938
13,13,13,01-14,1.9609345859329368,-0.1813012714015614,-0.015271898751049638
14,14,14,01-15,1.9770911939821088,-0.13846432892614088,-0.10929716407492396
15,15,15,01-16,2.6734304941169813,1.7077800345237282,-0.2036065738071781
16,16,16,01-17,1.8543715846557236,-0.4638378744946968,0.0993778531990947
17,17,17,01-18,1.7574778042718362,-0.7207379171211171,0.05828170168996341
18,18,18,01-19,2.1774764017589714,0.39282847661435694,-0.05687814860517387
19,19,19,01-20,1.8679343332687708,-0.4278781804563492,-0.043620991021071455
20,20,20,01-21,1.7164854004728145,-0.8294234306969646,-0.09246604578316604
21,21,21,01-22,2.703431332629956,1.7873229800283426,0.12462682045690104
22,22,22,01-23,1.7438356276997409,-0.7569082030672644,-0.0431457858880104
23,23,23,01-24,2.2487571740062093,0.5818192803192854,-0.24287956751381315
24,24,24,01-25,1.7978083742859945,-0.6138071614551117,-0.28794048317619764
25,25,25,01-26,1.4159384291597985,-1.6262808702111655,-0.8456358148615758
26,26,26,01-27,1.6145129191578838,-1.0997889246712715,-0.8862378373977365
27,27,27,01-28,1.4413713865826467,-1.5588490100839263,-0.6865417220902016
28,28,28,01-29,1.65195358483497,-1.0005203382842287,-0.4545345419066573
29,29,29,01-30,2.7006678395469166,1.779995972164495,-0.3140540724598302
30,30,30,01-31,2.3228387137370303,0.7782359196461547,-0.14722375281925268
31,31,31,02-01,1.7338445754331968,-0.7833980535302035,-0.0045503659857971295
32,32,32,02-02,1.992048559573507,-0.0988070068278064,-0.05175474147130262
33,33,33,02-03,1.76424008685536,-0.7028086890831937,-0.395037204989612
34,34,34,02-04,1.5451304715799306,-1.2837465911972616,-0.7297037947157964
35,35,35,02-05,1.923822449649844,-0.2796988089453612,-0.7705368505863555
36,36,36,02-06,1.565490975327157,-1.2297636187109522,-0.8906509919821199
37,37,37,02-07,1.6414397060339725,-1.028396388753558,-0.8873509731913352
38,38,38,02-08,1.7202312460748581,-0.8194918552023932,-0.795871918051993
39,39,39,02-09,1.7717080022213836,-0.6830085763384856,-0.8444534881163666
40,40,40,02-10,1.7521468205328907,-0.734872260361208,-0.5426105965754923
41,41,41,02-11,1.8138827563964561,-0.5711882293316025,-0.42536586679117
42,42,42,02-12,2.2485589548664726,0.5812937305342942,-0.3854105467680306
43,43,43,02-13,1.9067635646697647,-0.3249280100476249,-0.29018832875709505
44,44,44,02-14,1.810649806474704,-0.5797599350635564,-0.26549360520786397
45,45,45,02-15,1.9871950979483808,-0.1116752682728723,-0.3855986969674393
46,46,46,02-16,1.808030776699442,-0.5867039190658211,-0.4985764981310464
47,47,47,02-17,1.5420859221500294,-1.2918187798890544,-0.426293333296057
48,48,48,02-18,1.9928911205846456,-0.09657307644734832,-0.3588845686701371
49,49,49,02-19,2.0703397718366565,0.10877097896231158,-0.369883763253664
50,50,50,02-20,1.9631952860823727,-0.175307347308037,-0.19055472978151747
51,51,51,02-21,1.9623040111237893,-0.17767043577403335,-0.2160356118928608
52,52,52,02-22,2.2138509036576735,0.4892702817670575,-0.11070208378879398
53,53,53,02-23,1.4844228956271144,-1.4447040725571143,-0.14146424082361236
54,54,54,02-24,2.231260027841319,0.5354280921770526,-0.3180652829294257
55,55,55,02-25,2.0007252636241977,-0.07580196324659863,-0.4787347781420335
56,56,56,02-26,1.5635485811361338,-1.2349135999429173,-0.5581605262235317
57,57,57,02-27,1.598710265688125,-1.14168740704968,-0.2991149945949731
58,58,58,02-28,2.03411108938386,0.01271579327806799,-0.15551519978104786
59,59,59,02-29,2.070640801885961,0.1095691172142376,-0.17128393521307858
60,60,60,03-01,2.5562251817499555,1.3970268610606038,-0.12758081400763355
61,61,61,03-02,1.9650407451104044,-0.17041437583878286,0.18605300822867568
62,62,62,03-03,1.6624483847689873,-0.9726948727102472,0.5421744527005291
63,63,63,03-04,2.3084610243576824,0.7401155263681755,0.5739635468886329
64,64,64,03-05,2.8400109875203405,2.149444460109189,0.5275487241273523
65,65,65,03-06,2.14257926042512,0.3003036823428601,0.3073161675633321
66,66,66,03-07,2.4511888198122085,1.1185379244929199,0.3021435497961745
67,67,67,03-08,1.4666562820110234,-1.4918097152229046,0.042370267961375774
68,68,68,03-09,1.6507427933299952,-1.0037305793131923,-0.44024462518187096
69,69,69,03-10,1.7205962253711389,-0.8185241646406171,-0.4848337256853897
70,70,70,03-11,1.747857456019006,-0.7462448987502915,-0.7206477875878435
71,71,71,03-12,2.0416744929318966,0.032769079321747226,-0.13052574051454247
72,72,72,03-13,1.9175435383600328,-0.29634644692180323,-0.003372400249251377
73,73,73,03-14,2.8020976181253747,2.0489225672169016,0.1582132949954403
74,74,74,03-15,1.9384897559412584,-0.24081053772144584,0.20914247071601846
75,75,75,03-16,2.0862633239395367,0.1509900068275329,-0.12320688989306727
76,76,76,03-17,1.8631097615527519,-0.4406698444268221,-0.16636688775112338
77,77,77,03-18,1.289570624944368,-1.961327084332768,-0.5661273947311541
78,78,78,03-19,1.8198728183926849,-0.5553064340701399,-0.6674603792905413
79,79,79,03-20,1.8974428806607864,-0.3496404746632825,-0.8251925468790521
80,80,80,03-21,1.7091740458037012,-0.8488084450777682,-0.8940171018580206
81,81,81,03-22,1.7293167267444496,-0.7954029987035325,-0.2832832270585109
82,82,82,03-23,1.7073603600273874,-0.8536171743006341,0.027707107482340176
83,83,83,03-24,2.671656357577984,1.7030761644642909,0.29672354142762564
84,84,84,03-25,2.5236413861620166,1.3106355731749666,0.4481664586087759
85,85,85,03-26,2.506224856806792,1.2644581290084302,0.5009384244242483
86,86,86,03-27,2.051888121084351,0.059849058009133274,0.7981848174828824
87,87,87,03-28,1.8487392510976897,-0.4787712038106983,0.7292847656543323
88,88,88,03-29,2.380026501328301,0.9298611840511704,0.5942295324503618
89,89,89,03-30,2.515736107303318,1.2896758534929902,0.38010528626034895
90,90,90,03-31,2.218012504859192,0.5003041739511435,0.1561640278905824
91,91,91,04-01,2.021663449815417,-0.02028734813164616,0.28324375264318125
92,92,92,04-02,1.5451108963193474,-1.2837984922094658,0.2255858018832479
93,93,93,04-03,2.136319622409549,0.28370714470489466,0.013015361165009232
94,94,94,04-04,2.2495470332549856,0.5839134794915704,0.2161168903269958
95,95,95,04-05,2.0346909493075183,0.014253209183558066,0.08583389068208667
96,96,96,04-06,2.677629593927652,1.7189133489230628,0.3922864032207824
97,97,97,04-07,1.7268340937836268,-0.8019853460011009,0.1800241721339014
98,98,98,04-08,2.238610410241832,0.5549165830227081,0.15259839607510836
99,99,99,04-09,1.6559719402730988,-0.9898662418163912,0.1066982802640221
100,100,100,04-10,2.1874827277345066,0.419358823138812,-0.13583636958439407
101,101,101,04-11,1.9308193649622776,-0.26114748568295937,0.22140159183487795
102,102,102,04-12,2.1287756772608786,0.26370544983256583,-0.006719100256773932
103,103,103,04-13,2.535260660583734,1.3414424225145312,0.2275209579710985
104,104,104,04-14,1.7223751613588745,-0.8138075695272032,-0.04524965399091039
105,105,105,04-15,2.186055264362968,0.4155741075508431,-0.03804223137667356
106,106,106,04-16,1.5702050776316845,-1.2172648486332411,-0.015421266011505537
107,107,107,04-17,1.9471297030247727,-0.2179029499975384,-0.15524409446881385
108,108,108,04-18,2.1799667357229,0.3994312420235739,0.08511883271197894
109,109,109,04-19,2.2188427504575565,0.5025054517706812,0.11321453466085304
110,110,110,04-20,2.266314487501019,0.6283699935575535,0.2930979529889411
111,111,111,04-21,2.2496356066595413,0.5841483192440876,0.5318172833818942
112,112,112,04-22,1.977279772956599,-0.13796433866471253,0.6326019518781535
