,unnamed: 0,unnamed: 0,mth_day,too long,too long_norm,too long_ravg
0,0,0,01-01,,,
1,1,1,01-02,7.971014814667067,-1.0989160941249008,
2,2,2,01-03,8.937737458446781,-0.18931081611462253,
3,3,3,01-04,7.929167759026368,-1.1382906788880611,
4,4,4,01-05,6.6402113449387725,-2.351091025423077,-1.3430448868212699
5,5,5,01-06,7.842984296896652,-1.2193821196801042,-1.565257341572717
6,6,6,01-07,6.948222142301903,-2.061278586696854,-2.0025304475592502
7,7,7,01-08,6.554019001661216,-2.432190822633581,-1.822776477052913
8,8,8,01-09,6.149351177326557,-2.812949452033823,-1.651402404467306
9,9,9,01-10,9.075415946885876,-0.059766855850033364,-1.6382991712976904
10,10,10,01-11,7.733022922863992,-1.3228465899094384,-1.3441383693258906
11,11,11,01-12,7.926540488915474,-1.1407627206624085,-0.9352541965229886
12,12,12,01-13,8.824015401553364,-0.2963137748660562,-0.5501500617066818
13,13,13,01-14,9.161375828325774,0.02111421418383045,-0.496302079863431
14,14,14,01-15,8.605068374710138,-0.5023246431359821,-0.4566368580059439
15,15,15,01-16,9.418791681140057,0.26332103520947153,-0.12233009487970148
16,16,16,01-17,7.985958580124406,-1.0848552587645153,0.15060220722954484
17,17,17,01-18,10.058334965238995,0.8650778580950458,0.11274989807869586
18,18,18,01-19,10.564439581446603,1.3412800377894216,-0.07564313673396901
19,19,19,01-20,8.920000682907617,-0.2059996407212634,-0.12903610987341654
20,20,20,01-21,7.403730934702067,-1.6326828520119714,-0.3798614666907248
21,21,21,01-22,9.078317428843272,-0.057036803627213764,-0.8851840642143819
22,22,22,01-23,6.3865051165308655,-2.589807399668365,-1.3374732403950016
23,23,23,01-24,6.836013310455142,-2.166857727046896,-1.6211672246699909
24,24,24,01-25,7.680299402928407,-1.372455019294296,-1.8306053351654767
25,25,25,01-26,7.1109518231474675,-1.9081635463711988,-2.0516064154829468
26,26,26,01-27,6.068194067572305,-2.8893115149848896,-1.5714000244449768
27,27,27,01-28,7.669046261617731,-1.3830432855320312,-1.2681808631532274
28,28,28,01-29,9.448666714271033,0.2914309465594532,-1.1517815880192035
29,29,29,01-30,8.769569566130132,-0.3475427592963993,-1.0350476915064926
30,30,30,01-31,8.422549812277952,-0.6740593684901511,-0.6099007353198019
31,31,31,02-01,7.855336033201713,-1.207760167294934,-0.2721241600444265
32,32,32,02-02,8.779254784230003,-0.3384297778647454,-0.5110668570813502
33,33,33,02-03,9.82296690225881,0.6436161661202211,-0.5938227400792234
34,34,34,02-04,7.924986137372843,-1.1422252356620892,-0.5760846695105878
35,35,35,02-05,8.241855042474139,-0.8440780572836385,-0.5206291469306947
36,36,36,02-06,8.535661256704742,-0.5676309450783377,-0.35242984277953776
37,37,37,02-07,8.208962671238968,-0.8750270318155754,-0.5044150045848624
38,38,38,02-08,9.851821621220656,0.6707660470421964,-0.4652830227497502
39,39,39,02-09,8.853793782966045,-0.2682948047117269,-0.2639855457907705
40,40,40,02-10,8.17452145022017,-0.9074333446514162,-0.2292254501034209
41,41,41,02-11,9.52548103156897,0.36370680447023945,-0.1595968042485071
42,42,42,02-12,8.757318094543786,-0.3590703709542397,0.01914403290453097
43,43,43,02-13,8.652967935264511,-0.4572551566860925,-0.09902604634138804
44,44,44,02-14,10.991609299378991,1.7432110699604249,-0.06633564926440776
45,45,45,02-15,8.100251378237505,-0.9773152801872408,-0.27906323333429645
46,46,46,02-16,8.38298031376764,-0.7112909621895345,-0.09866596923871043
47,47,47,02-17,8.168967976191185,-0.912658699949093,-0.07829405701598226
48,48,48,02-18,9.90766841215798,0.7233132136192764,-0.3008870268718025
49,49,49,02-19,8.782874759590888,-0.3350236833497233,-0.29431605991711424
50,50,50,02-20,9.57218703232813,0.4076532508255035,0.14675639589223552
51,51,51,02-21,8.142152866939423,-0.9378894784591114,0.37370693801853866
52,52,52,02-22,11.19559414233608,1.935143772666564,0.20007819027659648
53,53,53,02-23,9.616177442069633,0.44904455280872574,0.5178302809311934
54,54,54,02-24,8.800479308635511,-0.3184592728323765,0.775919427250276
55,55,55,02-25,10.809104038840987,1.571488860577858,0.8797973198626877
56,56,56,02-26,11.217959948726797,1.9561881287399985,0.4728178176310474
57,57,57,02-27,8.80455740704633,-0.3146221227846412,0.2465289939123589
58,58,58,02-28,8.600382945526752,-0.5067332407232777,0.2599716014362408
59,59,59,02-29,8.173187596617176,-0.9086883895034058,-0.2476569871744632
60,60,60,03-01,8.88619960995043,-0.2378036276890851,-0.7049292502260691
61,61,61,03-02,7.57207762901166,-1.4742826710863652,-0.7296088424720787
62,62,62,03-03,8.302043813996196,-0.7874454495696381,-0.7224540027216304
63,63,63,03-04,8.64718153485049,-0.462699676260699,-0.6920333724813882
64,64,64,03-05,8.646007651758692,-0.4638042022205877,-0.8544245296369707
65,65,65,03-06,8.367172698521737,-0.7261646080619527,-0.945355409138784
66,66,66,03-07,7.850669940760553,-1.2121505706225808,-0.8764230739214834
67,67,67,03-08,6.992233102875033,-2.019867948097245,-0.9842390331653912
68,68,68,03-09,8.74160887119736,-0.3738514382658343,-0.9879498800914952
69,69,69,03-10,7.959664883298662,-1.1095954317241454,-1.050713133735304
70,70,70,03-11,8.622344466169583,-0.4860692837772119,-1.1173334338650551
71,71,71,03-12,7.966946402820272,-1.1027441299248044,-0.9078624740628236
72,72,72,03-13,7.4258481797542135,-1.6118723714010896,-0.9889926993878241
73,73,73,03-14,8.327979442197389,-0.7630421892838544,-0.9025482677423362
74,74,74,03-15,8.224260778704815,-0.8606327902158368,-0.8835727696543914
