,unnamed: 0,unnamed: 0,mth_day,bollywood,bollywood_norm,bollywood_ravg
235,235,235,08-23,0.01016086571501733,-0.8999189098208743,0.017577095240180696
236,236,236,08-24,0.064567106693712,0.10242086050487266,-0.2411097755687082
237,237,237,08-25,0.020668986186227777,-0.7063251810463953,0.6186390351057166
238,238,238,08-26,0.010534515540077487,-0.8930350657416681,0.6008895324350708
239,239,239,08-27,0.3376391299675826,5.1332949691922005,0.5696901711611521
240,240,240,08-28,0.10617104018727112,0.8689005215222876,0.4506412608927616
241,241,241,08-29,1.6653345369377348e-16,-1.0871150774643863,0.5102432047484712
242,242,242,08-30,0.02579580044368793,-0.6118726011054705,1.044731274987925
243,243,243,08-31,0.04007987548472499,-0.3487135179121378,0.3806424741414279
244,244,244,09-01,0.18460415306569275,2.3138933556950545,0.08997203747417222
245,245,245,09-02,0.1213617174588585,1.1487621641132175,0.6113097881725816
246,246,246,09-03,0.01150681778954047,-0.8751220984812471,0.532102708779429
247,247,247,09-04,0.16978690142108446,2.04091142672607,0.5866263917741404
248,248,248,09-05,1.8239378261699e-16,-1.0871150774643863,0.8580420319251335
249,249,249,09-06,0.057836899942163275,-0.02157141994386924,0.6342753970835281
250,250,250,09-07,0.2729975611331545,3.942387196601013,0.9694528196008101
251,251,251,09-08,0.04848642016783626,-0.19383764493641506,1.2107805766706992
252,252,252,09-09,0.12066587239334982,1.1359424366224429,1.2885134108740768
253,253,253,09-10,0.2483814249231817,3.4888779691454066,2.027487093158952
254,254,254,09-11,0.025315674992631453,-0.6207180722441208,1.3794181308421345
255,255,255,09-12,0.2985024791732752,4.412270673765381,1.5904201583176512
256,256,256,09-13,0.06193741658857961,0.05397342270010905,1.5519164923218458
257,257,257,09-14,0.11720459833667406,1.0721745199166837,0.7892509845535477
258,258,258,09-15,0.10812617402310476,0.9049204406476136,0.7115181503501704
259,259,259,09-16,2.696255916946808e-16,-1.0871150774643847,0.16400934402601364
260,260,260,09-17,2.696255916946808e-16,-1.0871150774643847,0.027025114437873057
261,261,261,09-18,0.12019230769230795,1.12721783582044,-0.3328564851256384
262,262,262,09-19,0.017325017325017573,-0.7679319548287347,-0.4965596858535397
263,263,263,09-20,2.5376526277146434e-16,-1.087115077464385,-0.4684411726689704
264,264,264,09-21,0.05481206207347311,-0.07729876371979394,-0.3959885620093441
265,265,265,09-22,0.009157509157509408,-0.9184039983569698,-0.674460917834713
266,266,266,09-23,0.02359603586597477,-0.6523994135066279,-0.26061387304425376
267,267,267,09-24,0.02950070064164049,-0.5436162991317722,0.3452947482792778
268,268,268,09-25,0.15210483578840958,1.7151503139140205,0.17699202932184585
269,269,269,09-26,0.19732955693507107,2.5483366504768044,0.4614313112526674
270,270,270,09-27,2.220446049250313e-16,-1.0871150774643856,0.6137890409801852
271,271,271,09-28,0.10179239749386204,0.7882316932279593,0.8040257363656673
272,272,272,09-29,0.07321520655394388,0.2617469648584787,0.4798119855842917
273,273,273,09-30,0.09145612014237194,0.5978038731811208,0.0015571456537046835
