,unnamed: 0,unnamed: 0,mth_day,justice,justice_norm,justice_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.6994756988092057,-0.6608314999714571,
2,2,2,01-03,2.84672639560326,-0.3545957247153948,
3,3,3,01-04,2.2470897777204306,-1.6016538952183041,
4,4,4,01-05,2.385052159785616,-1.3147349335580074,-1.0627505258922378
5,5,5,01-06,2.308052622764225,-1.4748700869222229,-1.1317322285713691
6,6,6,01-07,2.5509028145847137,-0.9698170149680408,-1.4197408621644356
7,7,7,01-08,2.500460339933209,-1.074721716046246,-1.2667226331335213
8,8,8,01-09,2.01580834997999,-2.082647526273793,-1.0965390620189592
9,9,9,01-10,2.6885543485039163,-0.6835445210328183,-0.8352942316848436
10,10,10,01-11,2.8760395254890336,-0.2936335068706353,-0.5574912473164414
11,11,11,01-12,3.0617558751365594,0.09259889508247138,-0.5482771643938553
12,12,12,01-13,3.3523770966572823,0.6970008912423723,-0.2950038979178232
13,13,13,01-14,2.5270433894714515,-1.0194372185107294,-0.12974682191699646
14,14,14,01-15,2.746513276993513,-0.5630079274176003,-0.332053793037633
15,15,15,01-16,3.1653285510788236,0.307997934972142,-0.1427987600402505
16,16,16,01-17,2.292374685437623,-1.5074753335944544,-0.051393739377107096
17,17,17,01-18,3.6077652783294583,1.2281290930667663,0.0158620856690518
18,18,18,01-19,3.616084750771864,1.245431015221233,0.09740603139366398
19,19,19,01-20,2.721079512649254,-0.615902268233776,0.14120534194273535
20,20,20,01-21,2.9817712800908764,-0.07374425306992723,0.14139780633874194
21,21,21,01-22,3.2916915599478647,0.5707937982665704,-0.2445451723363812
22,22,22,01-23,2.2929299539994945,-1.5063205472184151,-0.6763159599447498
23,23,23,01-24,2.494302179803523,-1.0875287789839725,-0.9532752767087592
24,24,24,01-25,2.3704063330072294,-1.345193710428979,-1.3491770917743149
25,25,25,01-26,1.922039250099824,-2.2776581688178323,-1.8073629752286398
26,26,26,01-27,1.8395764842995312,-2.449155143463261,-1.661251691335699
27,27,27,01-28,1.9698043857253047,-2.1783215024593816,-1.6580848434746676
28,28,28,01-29,2.714467672994985,-0.6296528438607688,-1.6143654653671564
29,29,29,01-30,2.50343868034049,-1.0685276918177855,-1.3315034248377025
30,30,30,01-31,2.496538733136197,-1.0828774417839129,-0.9848418640384192
31,31,31,02-01,2.738109139969272,-0.5804859256411079,-0.6357423192912229
32,32,32,02-02,2.839710900405408,-0.3691857786675617,-0.8580631200133676
33,33,33,02-03,2.9769724967311855,-0.08372423397620385,-1.0264272754965853
34,34,34,02-04,2.0730620215989437,-1.963577648193637,-0.7969075820202226
35,35,35,02-05,2.017700411727367,-2.0787126247170917,-0.7539312954177664
36,36,36,02-06,3.1587135185104867,0.2942407190742631,-0.6977114552090471
