,unnamed: 0,unnamed: 0,mth_day,boring,boring_norm,boring_ravg
0,0,0,01-01,,,
1,1,1,01-02,13.627615970414002,-1.2033255331240909,
2,2,2,01-03,14.766097598251633,-0.4543681662744314,
3,3,3,01-04,13.013029288011793,-1.6076352840219532,
4,4,4,01-05,11.230233806136496,-2.780458610361327,-1.8119823188619064
5,5,5,01-06,12.161967904711668,-2.1675114182328774,-1.909447132615318
6,6,6,01-07,11.415477453065467,-2.6585949011567576,-2.291947269389333
7,7,7,01-08,12.738684999998839,-1.78811441564456,-2.084910837341323
8,8,8,01-09,11.277492791324006,-2.7493689869185216,-1.7031626115393748
9,9,9,01-10,14.901311729276793,-0.3654166917338927,-1.3917968357556465
10,10,10,01-11,14.711980784845665,-0.489969255549637,-1.040451374632692
11,11,11,01-12,15.001789483007267,-0.29931676353050685,-0.7356513013600895
12,12,12,01-13,14.619935038109162,-0.5505221344190291,-0.4526059337392468
13,13,13,01-14,15.518623877246663,0.04068602399105512,-0.2659355668798298
14,14,14,01-15,13.85901717557293,-1.051096781193466,-0.4318981185179398
15,15,15,01-16,16.60384481757593,0.7546055094226095,-0.2956292672505613
16,16,16,01-17,13.19831399168383,-1.4857445653782968,-0.08278901338918156
17,17,17,01-18,16.244633926345976,0.5182963440737641,-0.03826432261113084
18,18,18,01-19,16.56115142299948,0.7265193887492493,0.09114604460399783
19,19,19,01-20,15.924712752365274,0.3078341686593595,0.006412261548176812
20,20,20,01-21,15.039308594395859,-0.27463457790269385,-0.048045845949265975
21,21,21,01-22,15.83102762234354,0.2462028110876833,-0.28934170760960365
22,22,22,01-23,12.701627069702404,-1.8124932103629527,-0.011420625990052427
23,23,23,01-24,14.043887254777243,-0.9294788258882621,-0.3610433739223004
24,24,24,01-25,19.09593959186572,2.3940458784665566,-0.5903078072893208
25,25,25,01-26,12.735967228417149,-1.7899023189341283,-0.8836387737229531
26,26,26,01-27,12.948294951767378,-1.6502211781048164,-0.672391288506673
27,27,27,01-28,13.15569310311517,-1.5137829875141098,-0.7008296656872904
28,28,28,01-29,14.628316556907187,-0.5450082990652735,-1.4125098908519924
29,29,29,01-30,13.784514120507918,-1.1001090889719671,-1.157148301055613
30,30,30,01-31,12.605037195217006,-1.876035472521655,-1.0166975920462356
31,31,31,02-01,15.06500082610879,-0.25773278015585216,-0.7462728996029936
32,32,32,02-02,14.229280163221016,-0.8075169240485521,-0.7250529275487986
33,33,33,02-03,15.622110213252812,0.108765167145343,-0.4802546688862489
34,34,34,02-04,14.821853994920895,-0.4176884667401037,-0.3306080113364606
35,35,35,02-05,16.01720451664819,0.36868046300333146,-0.29312904096820197
36,36,36,02-06,13.969894351274133,-0.9781555272229254,-0.22478063602061127
37,37,37,02-07,15.406828981487081,-0.032858957946300664,-0.33313606357923603
38,38,38,02-08,14.852653990109015,-0.39742649436300814,-0.44300796003357795
39,39,39,02-09,14.633851049149433,-0.5413673982064052,-0.5161529108581152
40,40,40,02-10,13.819763827451675,-1.076919845466155,-0.4988767219445
41,41,41,02-11,15.350083638728805,-0.07018924194389188,-0.6779099741531471
42,42,42,02-12,14.127462388236784,-0.8744983937412342,-0.5916567848805716
