,unnamed: 0,unnamed: 0,mth_day,monster,monster_norm,monster_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.245489298989678,-0.9764699758140466,
2,2,2,01-03,1.5598328816833635,-0.08299958308803101,
3,3,3,01-04,1.3861387871971125,-0.5766967328276749,
4,4,4,01-05,1.148342603169778,-1.2525936228198185,-0.8548937281746056
5,5,5,01-06,1.5643676708182812,-0.0701101841870432,-1.0064150757337191
6,6,6,01-07,0.8254045945338803,-2.1704922703110205,-1.361046694622772
7,7,7,01-08,0.9256369772961536,-1.8855980611687275,-1.2569723906495194
8,8,8,01-09,0.8112271672090781,-2.210789296422348,-1.0643574710960406
9,9,9,01-10,1.6058332942136602,0.04774909101184099,-1.1994489937583257
10,10,10,01-11,1.5549409485808503,-0.09690410549894676,-0.8164616447171925
11,11,11,01-12,1.2791977072407872,-0.8806593201607533,-0.5794895562793496
12,12,12,01-13,1.6338675256219477,0.12743182393577868,-0.3492431924051202
13,13,13,01-14,1.4258706003758106,-0.4637655305416694,-0.4384904222005861
14,14,14,01-15,1.2972631960130925,-0.8293111131769711,-0.4812412884713482
15,15,15,01-16,1.4174378363151714,-0.4877342877609542,-0.6814817470588719
16,16,16,01-17,1.4646964777429836,-0.35340930312352004,-0.3420787392372869
17,17,17,01-18,0.8565023140968704,-2.082102071685896,-0.3103548575998559
18,18,18,01-19,2.350326571098342,2.1638498708652887,-0.14692454442125608
19,19,19,01-20,1.4928377793134466,-0.273422240717083,0.0012785272072575644
20,20,20,01-21,1.6422546176666075,0.15127076589462776,-0.00874568032058165
21,21,21,01-22,1.7302854799384455,0.4014841420101276,0.280528559652281
22,22,22,01-23,1.443535987141709,-0.4135545482905553,-0.3013584477002264
23,23,23,01-24,1.4671425885661349,-0.34645663184871994,-0.3675606809648368
24,24,24,01-25,1.121998594458709,-1.3274721732497559,-0.5125281852955651
25,25,25,01-26,1.3530889033161495,-0.6706356403047448,-0.6719908711904491
26,26,26,01-27,1.336237059235049,-0.7185342600897419,-0.5122927232826263
27,27,27,01-28,1.393669477450312,-0.5552919733591765,-0.4281280676381136
28,28,28,01-29,1.78064903557566,0.5446343391563809,-0.4193857824143546
29,29,29,01-30,1.6448090424757458,0.15853130201835655,-0.11652538231521613
30,30,30,01-31,1.140453025275036,-1.2750184619072022,-0.06643830499693258
31,31,31,02-01,1.9924087330381413,1.1465267602900862,0.173484179760197
32,32,32,02-02,1.4419678240756002,-0.4180117961800407,0.18662221592602696
33,33,33,02-03,1.9001312071818828,0.8842429351836011,0.3579452034005022
34,34,34,02-04,1.808382628484044,0.6234625561513608,0.7863764684614502
35,35,35,02-05,2.0064614181042217,1.1864692268652075,0.5194698764745579
36,36,36,02-06,2.044845290941603,1.2955691284584858,0.5745240873913978
37,37,37,02-07,1.4289851990109788,-0.4549127916312672,0.3199239908212381
38,38,38,02-08,1.5581839049409467,-0.08768653067900156,-0.0669920505076813
39,39,39,02-09,1.3626859342668511,-0.6433576442373571,-0.3167922484229389
40,40,40,02-10,0.9916264676319158,-1.6980336918221557,-0.47729687494668105
41,41,41,02-11,1.4791484384494862,-0.312331960626338,-0.4970563680951353
42,42,42,02-12,1.7060298153457143,0.33254136931603306,-0.3148825166631793
43,43,43,02-13,1.3872741143299592,-0.5734697505219928,-0.6217151503218575
44,44,44,02-14,1.9427417924665296,1.0053565779127345,-0.5887580072299854
45,45,45,02-15,0.7149809618122024,-2.484353446189426,-0.6071819992095812
46,46,46,02-16,1.0611969862692876,-1.5002908332709228,-0.9406990428315772
47,47,47,02-17,1.4402565152685791,-0.4228759125039129,-0.9608140542897141
48,48,48,02-18,1.0019956812430066,-1.6685608924159427,-1.1657568386876058
49,49,49,02-19,1.3448125521842893,-0.6941598192708143,-0.690631625306047
50,50,50,02-20,1.5101200763850555,-0.2243001284746159,-0.385369247856359
51,51,51,02-21,1.717941303990616,0.3663978340999268,-0.03463416649202198
52,52,52,02-22,1.705587243654476,0.3312834314272055,0.2924911679437183
53,53,53,02-23,2.1806368767221618,1.6815345756821092,0.7048573313562789
54,54,54,02-24,1.6925373071562917,0.29419111419849875,0.8012751254059304
55,55,55,02-25,2.2152923682636816,1.78003716120455,0.6865941083633628
56,56,56,02-26,1.7136521580101722,0.3542066358232927,0.6616176755296822
57,57,57,02-27,1.4758566727083513,-0.3216882681554781,0.2902914229974365
58,58,58,02-28,1.6528635175382045,0.1814248344251221,0.2352435679959388
59,59,59,02-29,1.3967898090219566,-0.5464229395113648,-0.0036196295747745
60,60,60,03-01,1.5763346432405132,-0.0360960158104874,-0.09264681684380548
61,61,61,03-02,1.7110667291647086,0.3468579757802704,-0.02964727001262976
62,62,62,03-03,1.5257211964621007,-0.17995648779089315,0.07175888172068319
63,63,63,03-04,1.6088448730128009,0.056309012831576126,0.5451487254633172
64,64,64,03-05,1.8669257179370755,0.7898617448249999,0.5710657134665799
65,65,65,03-06,2.3960868917524563,2.293916122944439,0.5508931301100017
66,66,66,03-07,1.631043823944656,0.11940591220908912,0.3671241925018821
67,67,67,03-08,1.6684836362533917,0.2258224756408015,0.5385052060802537
68,68,68,03-09,1.137796179321015,-1.2825701134396108,0.03879100347942768
69,69,69,03-10,1.9706197382069333,1.0845950943018057,-0.34225521411088433
70,70,70,03-11,0.8120595194778409,-2.208423470779956,-0.34577840724735465
71,71,71,03-12,1.5917215707454715,0.0076388174025666935,-0.5581467314203147
72,72,72,03-13,1.623606578153035,0.0982667533902672,-0.4607690699251623
73,73,73,03-14,1.2201870586745531,-1.048387469396959,-0.5732259689166037
74,74,74,03-15,1.3433544825703931,-0.6983041444686962,-0.12862407150356805
75,75,75,03-16,1.733230084456436,0.40985370035315694,-0.4367159328257592
76,76,76,03-17,1.7505870036095803,0.4591879136982578,-0.5254220370754373
77,77,77,03-18,0.9413584455077094,-1.8409123505305809,-0.2945454335663241
78,78,78,03-19,1.4363534032723264,-0.43396987210780136,-0.21579009448175954
79,79,79,03-20,1.7075534849023506,0.3368721516577203,-0.3030306543564898
80,80,80,03-21,1.5096021991974593,-0.2257721099613088,-0.43897365710291786
81,81,81,03-22,1.5490705843510857,-0.1135896588952245,0.2532394238026107
82,82,82,03-23,1.463619617515878,-0.3564701027803104,0.30410974632581017
83,83,83,03-24,2.4025780333805207,2.312366134902591,0.2323286168294973
84,84,84,03-25,1.5437375509614557,-0.12874793696860465,0.2838018308870182
85,85,85,03-26,1.556027899280021,-0.09381462532015727,0.13337906891805115
86,86,86,03-27,1.6182590141383555,0.08306717438381694,0.07569301825386791
87,87,87,03-28,1.2315373098231777,-1.016126230709027,-0.5885393741417714
