,unnamed: 0,unnamed: 0,mth_day,technology,technology_norm,technology_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.9969210144451768,-1.4132861495567641,
2,2,2,01-03,1.3385543878032884,-0.28913403170804697,
3,3,3,01-04,1.4582089552938389,0.1045919504247846,
4,4,4,01-05,1.4110840279191588,-0.05047365804017962,-0.7520399828237866
5,5,5,01-06,1.1548662462399606,-0.8935638956067843,-0.7175300419052011
6,6,6,01-07,0.8276202258770018,-1.9703741124557288,-0.9003784807334435
7,7,7,01-08,1.0598470936290194,-1.2062265040452516,-0.89300215383086
8,8,8,01-09,1.0051450850318822,-1.386224664677501,-0.8852808122121708
9,9,9,01-10,1.4716590893248684,0.1488499118402856,-0.6595296530916273
10,10,10,01-11,1.4251632683110615,-0.004145608328045368,-0.3038022039211682
11,11,11,01-12,1.5665051808929351,0.4609430591164778,-0.1226247619881604
12,12,12,01-13,1.4762603869011959,0.16399058256702576,-0.08031592786046364
13,13,13,01-14,1.3902094690471292,-0.11916185244720486,-0.19468198878215512
14,14,14,01-15,1.0822918136448456,-1.1323716599113205,-0.07263693639582493
15,15,15,01-16,1.2631218500847172,-0.5373464536898633,-0.07871675384632752
16,16,16,01-17,1.647702525870974,0.7281247059899357,-0.29158168345599017
17,17,17,01-18,1.5554191267262183,0.4244641544134623,-0.2272730504920248
18,18,18,01-19,1.0881184469401528,-1.1131989950909502,0.07238007390403513
19,19,19,01-20,1.5074710470846564,0.2666899453365873,0.02320604654762676
20,20,20,01-21,1.6286849899738545,0.6655470864650394,-0.21488798398724296
21,21,21,01-22,1.1734569982520866,-0.8323906178283136,-0.3527769058194419
22,22,22,01-23,1.2135573659594223,-0.7004394772192826,-0.3000105736782525
23,23,23,01-24,1.3039898578596725,-0.4028693765797313,-0.6550502549911196
24,24,24,01-25,1.1843335752821786,-0.7966010022438139,-0.8626738636040363
25,25,25,01-26,0.8600849749842606,-1.8635481425406155,-0.8588503952060158
26,26,26,01-27,1.2501001738817643,-0.5801945652124607,-0.9854670654473584
27,27,27,01-28,1.1804287828673763,-0.8094498074401906,-1.0751188958868638
28,28,28,01-29,0.9826821339096824,-1.4601394986673386,-1.0372673436818098
29,29,29,01-30,1.1405170140631031,-0.9407803592167622,-0.6605777889741115
30,30,30,01-31,1.2533528117075827,-0.5694916890134907,-0.7387187325139296
31,31,31,02-01,1.5469478358388682,0.3965891857055753,-0.7573109965402708
32,32,32,02-02,1.1076164990389992,-1.0490402264513692,-0.4085090663223722
