,unnamed: 0,unnamed: 0,mth_day,ocean,ocean_norm,ocean_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.9635767342022998,-0.8191819926828338,
2,2,2,01-03,1.0825213227004309,-0.3870320686257072,
3,3,3,01-04,1.2353259901273692,0.16813842090995967,
4,4,4,01-05,1.333686772380145,0.5255031830857905,-0.27205722059265075
5,5,5,01-06,1.3453593426904344,0.567912009219333,-0.3635976098877254
6,6,6,01-07,0.7245312678913333,-1.6876828754624469,-0.6559359963596458
7,7,7,01-08,0.8124037269259355,-1.3684243284532818,-0.6901654881774649
8,8,8,01-09,0.5997434651273685,-2.1410623874572305,-0.8581904690474702
9,9,9,01-10,1.1787982076316936,-0.03723852999695617,-1.1689375385612149
10,10,10,01-11,1.056204429872356,-0.4826467021342402,-0.9767090452055772
11,11,11,01-12,0.832180740737102,-1.2965704078631357,-0.7940278173296957
12,12,12,01-13,1.0419841392255818,-0.5343119153286207,-0.4325577732564702
13,13,13,01-14,1.1140899094252894,-0.27233696119799283,-0.4270905264602727
14,14,14,01-15,1.1966877650551992,0.027757876982122436,-0.4115078631586957
15,15,15,01-16,1.1878270106121909,-0.004435049219771018,-0.2065470492482112
16,16,16,01-17,1.081938186204559,-0.3891507223247778,-0.03366857856194929
17,17,17,01-18,1.1706602124900842,-0.06680552440022848,-0.14775216503633545
18,18,18,01-19,1.3274817049256564,0.5029589087889504,-0.2773600154936933
19,19,19,01-20,0.9256882762116316,-0.9568384800443096,-0.26613706416586097
20,20,20,01-21,0.9826488181909182,-0.7498892257620244,-0.5581308821570548
21,21,21,01-22,1.206360985787627,0.06290265874722258,-0.5600164748833748
22,22,22,01-23,0.5997293610973321,-2.14111363027194,-0.9213774382896824
23,23,23,01-24,1.1675462785737951,-0.07811908075814883,-0.9352394387350412
24,24,24,01-25,0.7307175446343367,-1.6652068716488952,-0.9914217368316012
25,25,25,01-26,0.9027960828276128,-1.0400104827164631,-1.1621692347522663
26,26,26,01-27,0.8898674019837326,-1.086983014341384,-0.5663460351532849
27,27,27,01-28,0.9243825832010154,-0.9615823287767684,-0.6533630858079241
28,28,28,01-29,1.5836926758923,1.4338255673219482,-0.5834778331342391
29,29,29,01-30,1.0238432712665129,-0.600221384685985,-0.514856995668615
30,30,30,01-31,0.8461285003043494,-1.2458953556067842,-0.3507273894119005
31,31,31,02-01,1.0161189389066088,-0.6282854579227184,-0.21789216065728376
32,32,32,02-02,1.1609167863263454,-0.10220537680109748,-0.6035819419234114
33,33,33,02-03,1.1437513357016087,-0.16457095624906784,-0.7129622986379446
34,34,34,02-04,0.946751053087766,-0.8803131202748178,-0.6458851138866702
35,35,35,02-05,0.8432087165215387,-1.2565035249731835,-0.671450141975204
36,36,36,02-06,0.956902114187462,-0.8434322470991386,-0.8251683929987862
37,37,37,02-07,0.9738999554938268,-0.7816756264539209,-0.8840210318961311
38,38,38,02-08,0.9070610789227904,-1.0245148829425914,-0.5802861249449649
39,39,39,02-09,1.046560025103367,-0.517686789633137,-0.3916078469758188
40,40,40,02-10,1.4483495240163249,0.9420963214321788,0.2121764617809739
41,41,41,02-11,1.1547986377352155,-0.12443385715830645,0.5565112684561978
42,42,42,02-12,1.954012683674152,2.7792736054416176,1.3429350725618698
43,43,43,02-13,1.5425465238105285,1.2843332135974233,1.3893050755274672
44,44,44,02-14,2.205788912351061,3.69402794169144,1.3956586629283585
45,45,45,02-15,1.1231370732206452,-0.2394667718395521,1.40067332835004
46,46,46,02-16,1.4588420609367203,0.9802178458375276,0.9962740614746578
47,47,47,02-17,1.1630800319713357,-0.0943458646282167,0.8244672527669564
48,48,48,02-18,1.286173560586679,0.3528780041893236,0.4296582728229162
49,49,49,02-19,1.2588187382624751,0.2534923613512153,0.3323348656656419
50,50,50,02-20,1.553787525231489,1.3251740620271992,0.24696295978123145
51,51,51,02-21,0.9624137875579436,-0.8234072147831979,0.33117296729420426
52,52,52,02-22,1.3178559033635904,0.4679864105310648,0.1924826623151764
53,53,53,02-23,1.3021473898505562,0.4109141804496204,0.12210612986363185
54,54,54,02-24,1.0571355299948226,-0.4792638256848436,0.07826448007402682
55,55,55,02-25,1.142596465948465,-0.1687668333580523,0.17255264046800808
56,56,56,02-26,1.4813858881651676,1.0621241632895693,0.2252783641715011
57,57,57,02-27,1.1181245603335326,-0.2576782524193106,0.06856672993577975
58,58,58,02-28,1.4049290114687645,0.7843407527520226,-0.000496412686056121
59,59,59,02-29,1.0433483044955378,-0.5293556249647076,-0.08193402621275968
60,60,60,03-01,0.9430822356785276,-0.8936426814158588,-0.4297726209950489
61,61,61,03-02,1.0081075366676662,-0.6573925145182736,-0.6890420477470923
62,62,62,03-03,0.9069530413643662,-1.0249074054041665,-0.7938791663068542
63,63,63,03-04,0.6899579418741734,-1.813294812931571,-0.8288592582815402
64,64,64,03-05,1.2317973194483034,0.15531804139345176,-0.776572255927576
65,65,65,03-06,0.9855809545930656,-0.7392361768128233,-0.6286294047153017
66,66,66,03-07,1.0294308239703671,-0.5799206672920738,-0.4743904006485578
67,67,67,03-08,1.2524255464011311,0.23026459275537225,-0.2232521831569161
68,68,68,03-09,1.1616687385952456,-0.09947338100370247,-0.2009614296683853
69,69,69,03-10,1.1046963963705627,-0.30646550798172106,-0.0046208917172975705
70,70,70,03-11,1.2686090510267558,0.2890625623246373,0.2525875561291337
71,71,71,03-12,1.3098246004950835,0.4388070508937025,0.06715899064718239
72,72,72,03-13,1.4541938696298529,0.963330019786514,-0.04771381738451181
