,unnamed: 0,unnamed: 0,mth_day,surreal,surreal_norm,surreal_ravg
0,0,0,01-01,,,
1,1,1,01-02,8.247335052332971,-1.7463531674070718,
2,2,2,01-03,9.148402811086298,-0.9626633949368432,
3,3,3,01-04,9.201146931118515,-0.9167900108037992,
4,4,4,01-05,6.8493630111695865,-2.96221776828333,-1.890762221416032
5,5,5,01-06,7.7658525996211685,-2.1651150975156144,-1.9797092422690243
6,6,6,01-07,7.275681447786952,-2.5914338895495317,-2.298110827333453
7,7,7,01-08,7.6337201076706505,-2.2800352925250262,-2.211074418485564
8,8,8,01-09,6.951859642736525,-2.8730729053234185,-1.8056737464537391
9,9,9,01-10,9.80158121982924,-0.39457155771646574,-1.7447468832390314
10,10,10,01-11,9.646082997396162,-0.5298137360923816,-1.3302262146045103
11,11,11,01-12,8.186166101314843,-1.79955391822737,-0.8763749310113039
12,12,12,01-13,10.135317157969402,-0.10430987774240476,-0.4355323560279188
13,13,13,01-14,10.764684220872871,0.4430724090342126,-0.1879935552281824
14,14,14,01-15,9.993081143570237,-0.2280174554231077,-0.237820678545296
15,15,15,01-16,11.50926638002758,1.0906612470819526,0.13360230649768667
16,16,16,01-17,9.302342788632501,-0.8287764759950632,0.13944047095589848
17,17,17,01-18,10.748485695920987,0.4289839920305264,0.006808221909097735
18,18,18,01-19,10.175592649229259,-0.06928089099313381,-0.09049952253033
19,19,19,01-20,9.849699892237496,-0.352721085246592,-0.29006611459742154
20,20,20,01-21,9.32178843869033,-0.8118639220596742,0.07958025388252415
21,21,21,01-22,10.132525010014886,-0.10673830532059672,-0.10953519980890328
22,22,22,01-23,11.85240611581609,1.3891017348846109,-0.3064327441545123
23,23,23,01-24,9.443843139725123,-0.7057087301180383,-0.6653974077297917
24,24,24,01-25,8.817264122662166,-1.250666157066788,-0.7978838274030448
25,25,25,01-26,7.3733259781575695,-2.506509066698269,-1.0581439846480707
26,26,26,01-27,8.407810136812477,-1.6067824400991917,-1.406749123677039
27,27,27,01-28,8.337079581329224,-1.6682992487907529,-1.2783222698578
