,unnamed: 0,unnamed: 0,mth_day,enigmatic,enigmatic_norm,enigmatic_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.621863644857491,0.23328377624652266,
2,2,2,01-03,2.312759342604021,-0.5158503206557625,
3,3,3,01-04,2.9496840913415374,1.0277776488085086,
4,4,4,01-05,2.5006045609952063,-0.06059538887063388,-0.5706274367062983
5,5,5,01-06,1.6871525031402084,-2.0320486112680545,-0.5866505846096227
6,6,6,01-07,1.668880606462071,-2.076331724498371,-0.7660109115719861
7,7,7,01-08,2.5821952545943208,0.1371448888265767,-0.9822494820375712
8,8,8,01-09,1.868718290833122,-1.5920122824299432,-0.873475250840838
9,9,9,01-10,2.4143438414147926,-0.2696537739850027,-0.5203345977738989
10,10,10,01-11,2.769896130899088,0.5920499983097658,-0.3109578829915147
11,11,11,01-12,2.56142023930357,0.08679530713358,-0.2313627233803155
12,12,12,01-13,2.1872330103792117,-0.8200714358040655,0.1130350248914602
13,13,13,01-14,2.779248410039593,0.6147158464937713,0.19376428267561688
14,14,14,01-15,2.721341281435824,0.4743742072007114,0.03325464468165462
15,15,15,01-16,2.614204675425667,0.21472177271993745,0.3013405951686804
16,16,16,01-17,2.3725235921594536,-0.3710078296540079,0.4323001059110756
17,17,17,01-18,3.2251186693596186,1.6953110100557347,0.5221579924343569
18,18,18,01-19,2.5114485148572894,-0.034314371349694166,0.3634296419023583
19,19,19,01-20,3.001708923562634,1.1538631656334597,0.2346250331897809
20,20,20,01-21,2.328378663058804,-0.47799589599128,0.277351900860969
21,21,21,01-22,2.2953240461677065,-0.5581058795555269,-0.03671624622550659
22,22,22,01-23,2.478302186461256,-0.11464662362687933,-0.009283287932009105
23,23,23,01-24,2.4475824509444952,-0.18909787246311893,-0.4846064442628865
24,24,24,01-25,2.5793640893889296,0.13028337841129073,-0.5862699179948093
25,25,25,01-26,1.8249548562458675,-1.6980757723518047,-0.5330237139507253
26,26,26,01-27,2.076691143487774,-1.0879767383828174,-0.3088646754076105
27,27,27,01-28,2.4271452847156505,-0.23862865529102315,-0.1562720912619988
28,28,28,01-29,3.0332510813722497,1.2303076076318102,-0.20900603250172128
29,29,29,01-30,2.825354797282128,0.7264576324105508,0.10643368952952233
30,30,30,01-31,2.4488110561251983,-0.186120269027044,0.17734272363929096
31,31,31,02-01,2.605886672736507,0.19456255983565687,0.2710351414938305
32,32,32,02-02,2.2522401214552783,-0.6625225337242056,0.07286613750983861
33,33,33,02-03,2.6590989194557246,0.3235258518362143,0.06616760145936998
34,34,34,02-04,2.5426455252399403,0.04129358372785885,0.07826865175601483
35,35,35,02-05,2.8087712804947187,0.6862664161077391,0.2444522247806508
36,36,36,02-06,2.4787695379826844,-0.1135139672471748,0.4399840716494268
37,37,37,02-07,3.017306131000484,1.1916639979834722,0.3302851784247617
38,38,38,02-08,2.73631688697398,0.5106685474884504,0.22283215843304985
39,39,39,02-09,2.387518170521178,-0.33466750751177565,0.09405401907876633
40,40,40,02-10,2.2766248682688404,-0.6034245362224125,-0.14129333701597688
41,41,41,02-11,2.4899561812338065,-0.08640242001796235,-0.5484999744956526
42,42,42,02-12,1.896121807006263,-1.5255981038156339,-0.5673808249884106
43,43,43,02-13,2.0091876320165443,-1.2515758268945822,-0.6595823607991289
44,44,44,02-14,2.6895737032771043,0.3973834445319024,-0.5362181266371729
45,45,45,02-15,2.159255501570565,-0.887876722376086,-0.6439405714413403
46,46,46,02-16,2.582036801977464,0.1367608687493231,-0.5362626126303245
47,47,47,02-17,2.223268511221852,-0.7327370888429667,-0.5121509171138535
48,48,48,02-18,2.16269934336981,-0.8795303509495384,-0.30167387855164146
49,49,49,02-19,2.0688807805429743,-1.1069056537957571,-0.04856481702578997
50,50,50,02-20,3.2106501707413964,1.660245675905175,0.13196919440663935
51,51,51,02-21,2.7858757569867376,0.6307776467790231,0.8001141400648119
52,52,52,02-22,3.0289835358206565,1.2199649373438992,1.182154987756152
53,53,53,02-23,3.877390074390728,3.276132585106068,1.535080862538788
54,54,54,02-24,3.108515080335464,1.4127147351985017,1.4098606471463444
55,55,55,02-25,2.942616791676199,1.01064959490006,1.2799626399940067
56,56,56,02-26,2.9006433978528365,0.9089243835505127,1.4479419554031658
57,57,57,02-27,2.4642882091954625,-0.14861039613500146,1.1595939959332444
58,58,58,02-28,3.44484870039348,2.227840829798855,1.09282331489783
59,59,59,02-29,3.1635291366489944,1.5460448282865389,0.7098795677366909
60,60,60,03-01,2.9432113928558685,1.0120906489860144,0.5415413672170696
61,61,61,03-02,1.9945657530861396,-1.2870128880667735,0.18186205021016044
62,62,62,03-03,2.483889744032622,-0.10110481956721544,-0.0751109687244406
63,63,63,03-04,1.573832750461268,-2.306686298176456,-0.3006166486400053
64,64,64,03-05,2.808662473835099,0.6860027161912488,-0.4820887752720725
65,65,65,03-06,2.6052463715254066,0.1930107487931509,-0.2929294097423579
66,66,66,03-07,2.493942174063053,-0.07674211080638875,-0.3320647604035657
67,67,67,03-08,2.4628662130856105,-0.15205669488848622,-0.3058954301993446
68,68,68,03-09,2.3870026421671566,-0.3359169235344629,-0.3718922421565063
69,69,69,03-10,1.6386199701593045,-2.1496703169511293,-0.6204006948182291
70,70,70,03-11,2.645274648381738,0.2900218444482789,-0.7206307124600156
71,71,71,03-12,1.9900158098804928,-1.2980399671771865,-0.7955786289987007
72,72,72,03-13,2.2458034512672715,-0.6781222166571073,-0.8938581796328879
73,73,73,03-14,2.2773182033807737,-0.6017441941205969,-0.6412892046771689
74,74,74,03-15,2.1436926762997706,-0.9255942273395876,-0.5466923675053671
75,75,75,03-16,2.2639031371975142,-0.6342564672168142,-0.6639876131608201
76,76,76,03-17,2.8794673474214854,0.8576028674790895,-0.5491106675607066
77,77,77,03-18,1.6996288267016406,-2.0018114411099046,-0.4773306413759913
78,78,78,03-19,2.530203466657557,0.011139456943573612,-0.09582549030968908
79,79,79,03-20,2.4550234900682355,-0.17106403701230494,0.3546484744505139
80,80,80,03-21,3.0881821930424778,1.3634366790582255,0.17199014025310402
81,81,81,03-22,3.3791382423916585,2.068587321344404,0.6268042646735802
82,82,82,03-23,2.427261443220844,-0.2383471377053699,0.4860474752466557
83,83,83,03-24,2.82560883347486,0.7270733054129527,0.6648622238376257
84,84,84,03-25,2.1817329108799584,-0.8334012796179738,0.5215910584366014
85,85,85,03-26,2.8977138574488914,0.9018244545335152,0.1896089201919504
86,86,86,03-27,2.7334868150257843,0.5038096866520805,0.34038787509172685
87,87,87,03-28,2.5572524868742756,0.07669449187649766,0.520233199518013
88,88,88,03-29,2.8005438008776893,0.6663265916932889,0.4337506205738452
89,89,89,03-30,3.2708505899257387,1.806145251970669,0.3251243856661303
