,unnamed: 0,unnamed: 0,mth_day,clint eastwood,clint eastwood_norm,clint eastwood_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2676909815903824,0.4506169023984433,
2,2,2,01-03,0.14287733653038642,-0.7618767486755047,
3,3,3,01-04,0.23271972169010954,0.110890980775406,
4,4,4,01-05,0.07042995586855393,-1.4656618920962032,-0.7057914374811349
5,5,5,01-06,0.08514594685303642,-1.322704400314198,-0.8152471440156267
6,6,6,01-07,0.09304048298085114,-1.2460134669747536,-0.6345167169988345
7,7,7,01-08,0.2000870034924192,-0.20611733680850589,-0.4704399491793565
8,8,8,01-09,0.2545032737840883,0.3225058134252484,-0.3069762139797637
9,9,9,01-10,0.334059730075668,1.0953515876922746,-0.028686839976832405
10,10,10,01-11,0.1713913321560681,-0.4848794808986471,0.34276564771072177
11,11,11,01-12,0.2570279742104825,0.3470318437033897,0.4245200442432826
12,12,12,01-13,0.3224635677804565,0.9827014591505716,0.26271311075247783
13,13,13,01-14,0.2505816063558871,0.28440904238685905,0.4129175618424634
14,14,14,01-15,0.15456520080327082,-0.6483357875195801,0.4913320731284772
15,15,15,01-16,0.42683167174235603,1.9965782942321881,0.6406763284477691
16,16,16,01-17,0.21982309575600145,-0.014392413182564047,0.7679408229414281
17,17,17,01-18,0.34926862648273765,1.2430973756191408,0.7319956558169776
18,18,18,01-19,0.4010669258948781,1.7462884261125249,0.7218105321113854
19,19,19,01-20,0.22838051362214976,0.06873803964015547,0.3446790868073422
20,20,20,01-21,0.14827448374777472,-0.7094465297531335,0.3732299824963958
21,21,21,01-22,0.1939010482453197,-0.2662103775920704,0.0927268799716181
22,22,22,01-23,0.2374572071966121,0.1569129609517568,-0.4203477343100109
23,23,23,01-24,0.17601931678575836,-0.43992123952952494,-0.5125822891181379
24,24,24,01-25,0.08417266716030937,-1.3321592595772496,-0.5436102151742489
25,25,25,01-26,0.17141296921039167,-0.4846692892086067,-0.5296917828617177
26,26,26,01-27,0.12911046480407934,-0.8956140860897999,-0.6614346128826097
27,27,27,01-28,0.2024975976898919,-0.18269978371688345,-0.5734925930961788
28,28,28,01-29,0.1560878599301951,-0.6335440191735948,-0.25453744979319265
29,29,29,01-30,0.2303356294547471,0.08773087918905972,-0.08495247794480569
30,30,30,01-31,0.2811714094350488,0.5815716002406677,0.08239393928850318
31,31,31,02-01,0.27615505242895233,0.5328405418817153,0.06704529772802978
32,32,32,02-02,0.232469932150336,0.10846441731005324,0.2524482311137181
33,33,33,02-03,0.19301769700001087,-0.2747916330797239,0.07973453228521016
34,34,34,02-04,0.270599713580827,0.4788735811405351,0.4198093780135376
35,35,35,02-05,0.12366112629267302,-0.9485513137819879,0.3133488351979436
36,36,36,02-06,0.4912144775417022,2.6220206746106323,0.14841606547628514
37,37,37,02-07,0.2104010005601744,-0.10592271501184897,0.5264918442092473
38,38,38,02-08,0.1306012246619256,-0.8811322010198972,0.5438587088337369
39,39,39,02-09,0.42653157648677226,1.9936630393180488,0.7589981045943665
40,40,40,02-10,0.2813261450559581,0.5830747688874727,0.34947240105774746
41,41,41,02-11,0.25653934214364343,0.342285060781789,0.3783083814831643
42,42,42,02-12,0.2382759367474099,0.1648664533909189,0.4319068507611681
43,43,43,02-13,0.2282111911005724,0.06709316754065253,0.06521666421005974
44,44,44,02-14,0.16370566350644306,-0.5595413853518748,-0.017687099892942648
45,45,45,02-15,0.200049868723756,-0.20647807998860104,0.0589261399584365
46,46,46,02-16,0.2301216493735703,0.08565218426945832,0.18868633284132755
47,47,47,02-17,0.3038585724781032,0.8019644998900639,-0.07691521110961175
48,48,48,02-18,0.31842073244043423,0.9434276106882652,-0.0490266839504368
49,49,49,02-19,0.06416564675623672,-1.5265160961649833,-0.21456664285561075
50,50,50,02-20,0.1809306711277606,-0.3922102223968251,-0.2702783140283237
51,51,51,02-21,0.09780613826428863,-1.1997178334196446,-0.5181265807316969
52,52,52,02-22,0.19571201723096315,-0.2486178427668193,-0.7980220768524767
53,53,53,02-23,0.15077812263830426,-0.6851251003301752,-0.5400300016157541
54,54,54,02-24,0.14554670340563866,-0.7359453660364137,-0.2627385392496383
55,55,55,02-25,0.22351129584083146,0.021436355255351515,-0.14704642428494905
56,56,56,02-26,0.3521963505708317,1.27153855179987,-0.050442993152510496
57,57,57,02-27,0.16926195773511066,-0.5055651436315087,0.08125449105459752
58,58,58,02-28,0.25537794465711805,0.33100274402781193,0.14692758231775507
59,59,59,02-29,0.2321194626175825,0.10505980491247303,0.11071196814531664
60,60,60,03-01,0.18610888480255827,-0.34190681845746834,-0.24911434544241465
61,61,61,03-02,0.2011431647964596,-0.19585732977927914,0.08832035500171746
62,62,62,03-03,0.1299540299734094,-0.8874193297265179,0.5054769548481085
63,63,63,03-04,0.3776743724056005,1.5190430590332842,0.683874069792379
64,64,64,03-05,0.5130296152034082,2.8339423431061586,0.8116588265481387
65,65,65,03-06,0.34230425821462024,1.175442494578096,0.8254005350269109
66,66,66,03-07,0.2650335765384587,0.42480172207708894,0.8325745873544118
67,67,67,03-08,0.20963056292708865,-0.1134070789066445,0.4264490077413816
68,68,68,03-09,0.13438499562862785,-0.8443750157615137,-0.11522713832204085
69,69,69,03-10,0.1268358765567787,-0.9177104186448968,-0.38880347179776015
70,70,70,03-11,0.17846997026501235,-0.416114533274376,-0.6348361575014624
71,71,71,03-12,0.17333318268110712,-0.4660155062762198,-0.8349754960579681
72,72,72,03-13,0.11307449809191965,-1.0513943921451243,-0.6724866861861752
73,73,73,03-14,0.08601694890275967,-1.3142431102456786,-0.5893177686244927
74,74,74,03-15,0.2347442212143241,0.13055784346924368,-0.5819987690834932
75,75,75,03-16,0.17820414102912513,-0.4186969132748011,-0.7340093651053524
76,76,76,03-17,0.18299046079341447,-0.37220053602837866,-0.8455682546137219
77,77,77,03-18,0.07944569769299661,-1.3780790824073748,-0.7219316672017482
78,78,78,03-19,0.0441715147597501,-1.7207477291953417,-0.7883580697119684
79,79,79,03-20,0.16237957459073254,-0.5724235857738366,-0.7121006504667372
80,80,80,03-21,0.19371676634140408,-0.2680005715920785,-0.7356883463323874
81,81,81,03-22,0.2253036031191833,0.03884760219658663,-0.4240340424102362
82,82,82,03-23,0.16842180900566747,-0.5137267112222801,-0.18585687966210532
83,83,83,03-24,0.2719351658400944,0.4918467411255331,0.18862459010116672
84,84,84,03-25,0.19127872555451764,-0.2916847527065565,0.1272555442445071
85,85,85,03-26,0.3936734731138913,1.6744652328057958,0.03536313373191438
86,86,86,03-27,0.15581292593561255,-0.6362148467320361,-0.10104623078104463
87,87,87,03-28,0.16854737994588756,-0.5125068608789698,-0.3798478507070944
