,unnamed: 0,unnamed: 0,mth_day,good acting,good acting_norm,good acting_ravg
0,0,0,01-01,,,
1,1,1,01-02,8.655681478090786,-0.06358872464827996,
2,2,2,01-03,8.488649169221167,-0.21721262908883712,
3,3,3,01-04,6.474260401522485,-2.0698977152815323,
4,4,4,01-05,6.653001005415293,-1.9055053911982325,-1.3587464439436738
5,5,5,01-06,6.882217238843224,-1.6946893342409899,-1.6794029383062792
6,6,6,01-07,6.3310794984705225,-2.201584869204172,-2.0588424115638424
7,7,7,01-08,6.563819740721071,-1.9875276908239128,-1.6941112719783689
8,8,8,01-09,6.0133058354365625,-2.4938494686342167,-1.6733486533957618
9,9,9,01-10,8.853651209878683,0.11848912223130854,-1.6039417301916494
10,10,10,01-11,6.788449774250902,-1.7809296797025906,-1.1643023881564292
11,11,11,01-12,7.33500609393205,-1.2782477950163167,-0.7789094585675471
12,12,12,01-13,9.199147770949972,0.4362511830071504,-0.4961504765868983
13,13,13,01-14,9.078001544093956,0.3248298867093787,-0.4705680736806931
14,14,14,01-15,7.857936166341568,-0.7972955767503236,-0.4052455364835126
15,15,15,01-16,9.020542730026566,0.27198353966853983,0.023893628872819872
16,16,16,01-17,7.214593384478763,-1.3889944565195076,0.1866225002906737
17,17,17,01-18,10.134574528683752,1.296587197121678,0.010978414935846328
18,18,18,01-19,10.26073955427255,1.4126244115142732,0.11598524455298832
19,19,19,01-20,7.932154982403634,-0.7290346254195855,0.0959659209479388
20,20,20,01-21,8.542967571912305,-0.16725459904747172,0.028714695422794406
21,21,21,01-22,8.889942982964936,0.1518675980382428,-0.3928626124032948
22,22,22,01-23,6.775867620489758,-1.7925018096703742,-0.7652135834492659
23,23,23,01-24,7.384337265166867,-1.232876649834857,-0.9832838974105392
24,24,24,01-25,7.831639371063035,-0.8214814147615532,-1.3293230390413822
25,25,25,01-26,6.509533099324173,-2.037456509187225,-1.6159949723823928
26,26,26,01-27,6.285517457113582,-2.2434894488325283,-1.2811127466668346
27,27,27,01-28,7.019785792710954,-1.5681640020078214,-1.1798387312552092
28,28,28,01-29,8.960533538116277,0.2167915446229743,-1.3993224498130488
29,29,29,01-30,8.045016969317201,-0.6252325573651042,-1.3207427111470582
30,30,30,01-31,6.399796882610038,-2.1383837261085907,-1.1460099413002776
31,31,31,02-01,7.022162506611383,-1.5659780771912828,-0.789079931221794
32,32,32,02-02,7.4254188841334114,-1.1950928297518444,-1.084891341859209
33,33,33,02-03,9.348284494994653,0.5734160584630809,-1.173108645913019
34,34,34,02-04,7.030753283330541,-1.5580769192015167,-0.9268636726197452
35,35,35,02-05,7.469515128037182,-1.1545363816879637,-0.7422403978062991
36,36,36,02-06,8.006221348379093,-0.660913886348949,-0.4654030197667553
37,37,37,02-07,8.226586465582914,-0.4582384283106058,-0.8554200401134245
38,38,38,02-08,9.23141854038803,0.4659314384854186,-0.537047583995102
39,39,39,02-09,6.8039365833520185,-1.7666860636169346,-0.06530778271271635
40,40,40,02-10,9.107714676269678,0.3521578175084184,0.0407675065288003
41,41,41,02-11,10.546996662470423,1.6759024260063502,0.026845680465036333
42,42,42,02-12,8.698223047224557,-0.024462150899849086,0.1796097389446191
43,43,43,02-13,8.135764867489309,-0.5417693846931896,0.4268756067532003
44,44,44,02-14,10.228003030011314,1.3825157893629152,0.18101418235245664
45,45,45,02-15,8.417021042640643,-0.2830908567654473,-0.16796986867849684
46,46,46,02-16,7.503792362388389,-1.1230107288960438,-0.20765689227715486
47,47,47,02-17,8.270334888458757,-0.418001880179371,-0.1497913104089403
48,48,48,02-18,8.439317434534109,-0.262584292491797,-0.4143551125081976
49,49,49,02-19,8.513261655325675,-0.1945758934839024,-0.428593100986838
50,50,50,02-20,8.502072308400361,-0.20486702323262868,-0.27515112060262364
51,51,51,02-21,8.324136900765449,-0.36851878763728935,-0.2309005551652289
52,52,52,02-22,8.504799400496282,-0.20235884659075776,-0.37389740050395376
53,53,53,02-23,8.559011607386472,-0.15249848755500306,-0.1557355061743839
54,54,54,02-24,7.50645115991442,-1.1205653645241456,-0.026480538948311767
55,55,55,02-25,9.93648097981581,1.114395472493517,0.15772822889508295
56,56,56,02-26,9.345290908549597,0.570662780123804,0.14669457668274058
57,57,57,02-27,9.525856747124989,0.736733819423079,0.01196915438613797
58,58,58,02-28,8.432819336807496,-0.2685607598648119,0.12177080773343535
59,59,59,02-29,7.680105485389942,-0.9608510213346187,-0.1437826926356877
60,60,60,03-01,8.222762481765916,-0.4617554444403614,-0.3000288328934693
61,61,61,03-02,8.20409377914184,-0.4789255297212211,-0.4495624771792512
62,62,62,03-03,8.325990416705038,-0.3668140614228858,-0.590619688823839
63,63,63,03-04,8.550346459854287,-0.16046804629161235,-0.573250002589462
64,64,64,03-05,7.512606620062391,-1.1149040297323378,-0.5233471697244952
65,65,65,03-06,7.793419834740754,-0.8566329039283576,-0.7032486229255817
66,66,66,03-07,8.548312808959768,-0.16233844725056093,-0.6551259330155649
67,67,67,03-08,7.030473493681474,-1.5583342489277392,-0.8721411179485359
68,68,68,03-09,8.63992765325524,-0.07807792196278443,-0.6353144349909101
69,69,69,03-10,7.134607905449273,-1.462559155889439,-0.6230773289561045
70,70,70,03-11,9.057589133053462,0.3060560680134191,-0.7773815243092653
71,71,71,03-12,7.873250851234679,-0.7832102677195247,-0.5558830441630627
72,72,72,03-13,7.541680952597336,-1.088163619369526,-0.5646102404469037
73,73,73,03-14,8.47545965067297,-0.2293433680505238,-0.4157516348957995
74,74,74,03-15,8.582994179891568,-0.1304410996658301,-0.4486344844063188
75,75,75,03-16,8.105714453125918,-0.5694075225828147,-0.7643924617561959
76,76,76,03-17,8.843071804023612,0.10875897095030368,-0.43739060807269103
