,unnamed: 0,unnamed: 0,mth_day,dogs,dogs_norm,dogs_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1647455318831077,1.0716361469803852,
2,2,2,01-03,0.8626410757378871,-0.13713234288172882,
3,3,3,01-04,1.0463398246407314,0.5978758795528075,
4,4,4,01-05,0.6933382618392205,-0.8145401153355195,-0.2601893506626851
5,5,5,01-06,0.5629435580436833,-1.3362702851056178,-0.6620561492768418
6,6,6,01-07,0.6613062391037151,-0.9427053871864371,-0.7474574975150695
7,7,7,01-08,0.56212020706843,-1.3395646447045544,-0.7325020005008809
8,8,8,01-09,0.7345762159406826,-0.6495404323110954,-0.6709837950423458
9,9,9,01-10,1.0687665622488651,0.6876088616379398,-0.6846366297992539
10,10,10,01-11,0.7855888002621769,-0.4454308825843094,-0.5294239517526044
11,11,11,01-12,0.5424702469654962,-1.4181872936470663,-0.22354296156018694
12,12,12,01-13,0.8940577150797729,-0.01142931890653984,0.061857825035976886
13,13,13,01-14,1.0208085876587425,0.4957212964499501,0.030959689188805
14,14,14,01-15,1.162553203136407,1.0628642872658876,-0.04907909514346137
15,15,15,01-16,1.0224328038610575,0.5022200465549085,0.1918130410617332
16,16,16,01-17,0.6655654527939673,-0.9256635885779076,0.3629844384976046
17,17,17,01-18,0.9037036265991704,0.02716552358410132,0.13264222549762525
18,18,18,01-19,1.1507403256723776,1.0155990657086884,-0.05328938374326666
19,19,19,01-20,0.6753955020136168,-0.886331981549926,-0.2137362978495899
20,20,20,01-21,0.8837366977706883,-0.05272536817946398,-0.2474028787248944
21,21,21,01-22,0.7818322514833287,-0.4604614380830307,-0.2675174348795457
22,22,22,01-23,0.6150802315581135,-1.1276630738297346,-0.5963699559009606
23,23,23,01-24,0.8735405452548017,-0.09352181334380648,-0.4994850880682142
24,24,24,01-25,0.6576046449441748,-0.9575160604198008,-0.6288665227311326
25,25,25,01-26,0.8206806441270691,-0.3050227745534478,-0.7623817289940463
26,26,26,01-27,0.6897208463552299,-0.8290139761569743,-0.4456911534591275
27,27,27,01-28,0.5816175414865007,-1.2615526756605129,-0.2406935109091816
28,28,28,01-29,1.0899782863504277,0.7724803793797776,-0.27516168942325964
29,29,29,01-30,1.1809478039632162,1.1364640419558694,-0.2726791299910197
30,30,30,01-31,0.6059173760669074,-1.1643251315042693,-0.35842133270926163
31,31,31,02-01,0.8244034029849406,-0.2901274179600082,-0.26309405687219384
32,32,32,02-02,0.5611448531614834,-1.3434671924664259,-0.5696504344863776
33,33,33,02-03,0.7245669733955732,-0.6895890206381063,-0.7365480742566003
34,34,34,02-04,0.6302771185235946,-1.0668578863053255,-0.5910353051921934
35,35,35,02-05,0.9306739701352572,0.13507820333453416,-0.4461977611495615
36,36,36,02-06,0.8241232095035598,-0.2912485171178278,-0.19675836529781154
37,37,37,02-07,1.0415966927143911,0.5788978462957829,-0.11403780170155894
38,38,38,02-08,0.9351954029085968,0.15316918264407384,0.017314244144327178
39,39,39,02-09,0.8486118227783827,-0.19326563906059105,-0.15563315441750447
40,40,40,02-10,0.8272480291982768,-0.2787456112300087,-0.2265595713447825
41,41,41,02-11,0.671328130684001,-0.9026061880364558,-0.4543079602103802
42,42,42,02-12,0.717764447878716,-0.7168070186814963,-0.6078629979529188
43,43,43,02-13,0.7000732145633013,-0.7875924868978029,-0.6228862514119271
44,44,44,02-14,0.7049296660633543,-0.7681610438111581,-0.7695675064975603
45,45,45,02-15,0.8260834799873662,-0.2834051598146407,-0.8106252147304396
46,46,46,02-16,0.6072899751987134,-1.1588331417438082,-1.0823940904894955
47,47,47,02-17,0.6097594346750009,-1.1489524374337303,-1.213889435340895
