,unnamed: 0,unnamed: 0,mth_day,nudity (full frontal),nudity (full frontal)_norm,nudity (full frontal)_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.288015400417997,-0.7777737330032065,
2,2,2,01-03,3.3752156407771605,-0.6163225588634917,
3,3,3,01-04,3.3640371408067726,-0.6370195424716366,
4,4,4,01-05,2.3573854565067576,-2.5008343176436405,-1.4960498291152762
5,5,5,01-06,2.4510978365052165,-2.327325922255504,-1.5961189539356144
6,6,6,01-07,2.5646830993380805,-2.1170229004541783,-1.7425316027337658
7,7,7,01-08,2.963729679362291,-1.378188481925236,-1.6601791734921745
8,8,8,01-09,2.9007483016010864,-1.4947984516523996,-1.3850003304327874
9,9,9,01-10,3.6309098345097035,-0.14290496702208774,-1.2825539155070758
10,10,10,01-11,3.2491347318302055,-0.8497612592873176,-0.7714179035103413
11,11,11,01-12,2.7830874446226272,-1.712647432701235,-0.3739956026270844
12,12,12,01-13,4.221079220574176,0.9497931715262296,-0.19605640200343247
13,13,13,01-14,4.251623199335908,1.0063453233743056,-0.1121830525218554
14,14,14,01-15,3.477381124981082,-0.4271632479104883,-0.050061606712615024
15,15,15,01-16,3.902711248410572,0.3603351298673749,0.27830809291097275
16,16,16,01-17,3.4504465538676268,-0.4770325844318753,-0.035018122757463216
17,17,17,01-18,3.8472079214076738,0.2575707650402917,-0.3658871572754632
18,18,18,01-19,3.2057089157362206,-0.9301641224843864,-0.4568864356893232
19,19,19,01-20,3.1794033350539754,-0.9788688837336944,-0.6186855987404404
20,20,20,01-21,3.182487303645394,-0.9731589183936484,-0.7199268594687177
21,21,21,01-22,3.378382107424847,-0.6104598484393283,-0.8434033228926102
22,22,22,01-23,3.1223623890985004,-1.08448014880154,-1.0187199124000883
23,23,23,01-24,3.447067977676625,-0.4832880155030626,-1.0113428932466066
24,24,24,01-25,2.6375749708902765,-1.982063659529257,-0.9390979951940625
25,25,25,01-26,3.2033094297632445,-0.9346067688128022,-0.8264576922388812
26,26,26,01-27,3.4166053585362235,-0.5396895300783836,-0.5144778044118922
27,27,27,01-28,3.7434062038115696,0.06538196929175955,-0.3325761603812408
28,28,28,01-29,4.133369760857699,0.7873991781603934,0.015992033716879406
29,29,29,01-30,4.0365415630767565,0.6081218486808456,0.21630248177410485
30,30,30,01-31,3.767151035067272,0.10934550505946422,0.4855297448796574
31,31,31,02-01,3.852438901014768,0.2672559195305504,0.3059384125531765
32,32,32,02-02,4.289067841852496,1.0756740485549323,0.2016303264620212
33,33,33,02-03,3.1614194541182097,-1.0121660246671265,0.011673571016620385
