,unnamed: 0,unnamed: 0,mth_day,inspirational,inspirational_norm,inspirational_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.497028100314775,-0.6361011875850917,
2,2,2,01-03,6.127663288450552,0.22408422563396785,
3,3,3,01-04,4.411048466546276,-2.117375714593429,
4,4,4,01-05,4.692101967827468,-1.734019177114308,-1.3212011675295023
5,5,5,01-06,4.463192413173741,-2.0462514527056483,-1.4554584820715757
6,6,6,01-07,4.777494644851807,-1.6175436988125038,-1.9539805897241682
7,7,7,01-08,4.9064527277471655,-1.4416450748375311,-1.6889444539491472
8,8,8,01-09,3.934748284420316,-2.7670484202815864,-1.3181037783713798
9,9,9,01-10,5.576897903972354,-0.5271588999433058,-0.9531651577863522
10,10,10,01-11,6.323367801570411,0.4910248763522955,-0.7029721665443285
11,11,11,01-12,6.068496098499367,0.14338027080451815,-0.5456688228011551
12,12,12,01-13,5.878051583001041,-0.11638575136036065,-0.2702816201704896
13,13,13,01-14,5.5984037112307705,-0.4978250123784909,-0.06308961017425985
14,14,14,01-15,5.146130326051948,-1.114725204497593,-0.2800491122936547
15,15,15,01-16,6.488300749425585,0.7159931600340724,-0.14451644118166293
16,16,16,01-17,5.368999399124143,-0.8107321363640736,0.06517719259321454
17,17,17,01-18,6.664681550368838,0.9565762974764688,0.10518610562102253
18,18,18,01-19,6.800458651204728,1.1417760512889041,0.20237358283500206
19,19,19,01-20,5.7743961984782235,-0.2577715342116431,-0.10053873784441196
20,20,20,01-21,5.573641711635079,-0.531600341213716,-0.1903340979277819
21,21,21,01-22,5.1558403374865165,-1.1014807640424116,-0.4411317467751102
22,22,22,01-23,4.974004694984876,-1.3495042968642932,-0.7714742585484472
23,23,23,01-24,5.561464824991279,-0.5482095956075013,-1.0318419235516438
24,24,24,01-25,5.347337436685568,-0.8402790193511179,-1.1928317970821596
25,25,25,01-26,4.629082579713456,-1.8199775242308216,-1.2844991072228076
26,26,26,01-27,4.865474302923045,-1.4975395823968105,-1.1636470499116076
27,27,27,01-28,4.752611239517195,-1.651484624886299,-1.2483651560523157
28,28,28,01-29,5.505612592964672,-0.6243919529970935,-1.243962235619225
29,29,29,01-30,5.188804108009697,-1.0565182324517466,-0.966359345028256
30,30,30,01-31,5.366705144017024,-0.8138614967525754,-0.7659072856058535
31,31,31,02-01,5.850211060465468,-0.15436018068500745,-0.5566375417171318
32,32,32,02-02,5.7472292380571846,-0.29482722586239635,-0.6638689587620422
33,33,33,02-03,5.67315368732163,-0.3958661615539681,-0.6578267138496727
