,unnamed: 0,unnamed: 0,mth_day,based on comic,based on comic_norm,based on comic_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.11791635984877336,-1.5001797885940111,
2,2,2,01-03,0.23829526390256925,-0.6222397952218002,
3,3,3,01-04,0.33139942303267306,0.05678171184458746,
4,4,4,01-05,0.18802874182808801,-0.9888404916128604,-0.3645306286480493
5,5,5,01-06,0.246879014175146,-0.5596373175148514,0.1540573625131194
6,6,6,01-07,0.5192678199540681,1.4269319092106398,0.19407071376273294
7,7,7,01-08,0.5445540879581103,1.611348158373001,0.3872252369103937
8,8,8,01-09,0.2712138921047996,-0.38215968772411896,0.4770761932642975
9,9,9,01-10,0.490305931348153,1.2157088507305518,0.5346681062666385
10,10,10,01-11,0.2619483245038217,-0.4497347534894379,0.03363176870922938
11,11,11,01-12,0.2942593687910961,-0.21408583950080465,-0.28044824426974363
12,12,12,01-13,0.10706968116361076,-1.5792861161338148,0.07742598616581207
13,13,13,01-14,0.2861632546457832,-0.2731319195008373,-0.011994124581951962
14,14,14,01-15,0.5656338386215548,1.7650856948892153,-0.008820104850225793
15,15,15,01-16,0.4167408015207349,0.6791881862439677,0.06099375039509757
16,16,16,01-17,0.26455956230800953,-0.4306906350990809,0.09133475113660744
17,17,17,01-18,0.3516946065908124,0.2047972919711356,0.1424981539079094
18,18,18,01-19,0.13203095262679526,-1.3972401116847557,-0.2254760422904549
19,19,19,01-20,0.32825493106855513,0.03384849712697465,-0.4734392511146474
20,20,20,01-21,0.2629047400988335,-0.4427594823009707,-0.2938797362827265
21,21,21,01-22,0.21274367495677515,-0.8085910667011869,-0.3581865732438227
22,22,22,01-23,0.4122815781934436,0.646666453892444,-0.19883066213504907
23,23,23,01-24,0.2987899437551992,-0.18104372979544092,-0.16917051942383626
24,24,24,01-25,0.263131643416049,-0.4411046450321141,0.14381970666171187
25,25,25,01-26,0.3526560666856309,0.21180935339425166,0.2884548675910121
26,26,26,01-27,0.5203990154262889,1.435181874212318,0.3047783113893909
27,27,27,01-28,0.3317337354968148,0.05921989887461492,0.5574038830245646
28,28,28,01-29,0.4257107302288913,0.7446071166827167,0.6141425564647609
29,29,29,01-30,0.5066227547376211,1.3347097000156007,0.8377274858131741
30,30,30,01-31,0.3098100454327665,-0.10067260439093592,0.5786269637117623
31,31,31,02-01,0.5365973995404597,1.55331892948473,0.268113566401454
32,32,32,02-02,0.30723932028222073,-0.11942125839615347,0.2357318643133927
33,33,33,02-03,0.07627712517432428,-1.8038604849872344,0.06621846695646139
34,34,34,02-04,0.3990705919174928,0.5503169041543486,-0.09884720108652112
35,35,35,02-05,0.3671655903506804,0.3176293158740131,-0.34547506409023826
36,36,36,02-06,0.17401198839518714,-1.0910666126488309,-0.4122207699367657
37,37,37,02-07,0.3336988501067036,0.07355175146242722,-0.2089281504431424
38,38,38,02-08,0.25232822170538044,-0.5198954934753175,-0.3243972067843145
39,39,39,02-09,0.2435241551874052,-0.5841047680254952,-0.4614516404652434
40,40,40,02-10,0.3040752262245444,-0.14249743389268432,-0.2654021652604513
41,41,41,02-11,0.2544121266963882,-0.5046972862115593,-0.3711998940823051
42,42,42,02-12,0.3353001480209385,0.0852302385799215,-0.4028234146518912
43,43,43,02-13,0.24665999954902545,-0.5612346214686962,-0.3136991694794699
44,44,44,02-14,0.2263118325861152,-0.7096366168928335,-0.3121753449707086
45,45,45,02-15,0.3168458790373587,-0.04935929699096772,-0.21625115558309915
46,46,46,02-16,0.3053288630953087,-0.1333544868401164,-0.2632398297127619
47,47,47,02-17,0.3333281041748189,0.07084785011409747,-0.05715169062374215
48,48,48,02-18,0.2966429837224328,-0.1967018061980553,-0.20509361186158595
49,49,49,02-19,0.4162068786704411,0.6752942130654224,-0.21737017270035844
50,50,50,02-20,0.10460132974990846,-1.5972881443198963,-0.2817951678561552
51,51,51,02-21,0.30674606162060297,-0.12301866202360265,-0.4207173391176886
52,52,52,02-22,0.2523269925637909,-0.5199044577748967,-0.5980172328225482
53,53,53,02-23,0.2190380694242517,-0.7626851774551034,-0.8645987814611203
54,54,54,02-24,0.150779938041609,-1.2605011684272125,-0.6118858755136124
55,55,55,02-25,0.19689260952902052,-0.9241950787660108,-0.3023468988968037
56,56,56,02-26,0.3125059898943537,-0.08101070863484892,-0.3769768137564134
57,57,57,02-27,0.5614010247048562,1.7342151976772495,-0.4095195153732107
58,58,58,02-28,0.1909296253524823,-0.967683946932555,-0.3027271741306981
59,59,59,02-29,0.19226547823245999,-0.9579413871558874,-0.2793694196019021
60,60,60,03-01,0.2386370473918771,-0.6197471209721364,-0.482519870483103
61,61,61,03-02,0.21610882644061508,-0.7840485515932353,-1.056429656488395
62,62,62,03-03,0.14537592073429315,-1.299913413922054,-1.0163686825369151
63,63,63,03-04,0.08925054799835315,-1.7092435183545032,-0.5366847131874569
64,64,64,03-05,0.2238874323279915,-0.7273181032236736,-0.44859910004679104
65,65,65,03-06,0.5868972136019729,1.920162428940861,-0.3625626240538975
66,66,66,03-07,0.3111042979066932,-0.09123344212814098,-0.13744726369445562
67,67,67,03-08,0.2868902700485791,-0.2678296956358742,0.2298710019184657
68,68,68,03-09,0.3305763255705449,0.050778748234597285,0.12109522472717765
69,69,69,03-10,0.3914400182621473,0.4946660753230247,-0.4454096915257814
70,70,70,03-11,0.13439856786295268,-1.379972766371402,-0.5157227688555679
71,71,71,03-12,0.12083865738326822,-1.4788670685768934,-0.5296238409391001
72,72,72,03-13,0.25325835453807155,-0.5131119061068599,-0.6951789803169884
