,unnamed: 0,unnamed: 0,mth_day,cold war,cold war_norm,cold war_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.9929201790507493,0.2519803204045315,
2,2,2,01-03,0.8918624901535755,-0.1924035823631478,
3,3,3,01-04,0.7845066045804779,-0.6644827278163519,
4,4,4,01-05,0.7053703687696659,-1.0124707899195171,-0.5197164776741844
5,5,5,01-06,0.8374238086415023,-0.4317883735241336,-0.7623354065795452
6,6,6,01-07,0.6924846094082816,-1.0691337128264873,-0.9879937026948958
7,7,7,01-08,0.6618752233017348,-1.2037332530276337,-1.0461310431724018
8,8,8,01-09,0.5839597185563771,-1.5463533590552514,-1.053155627745369
9,9,9,01-10,0.7051802577345204,-1.0133067706813879,-1.139827665780152
10,10,10,01-11,0.6957855713278297,-1.0546182973573204,-0.9283999053732559
11,11,11,01-12,0.7191628752289503,-0.9518206017328306,-0.8503470063968325
12,12,12,01-13,0.9809703178556884,0.1994328496148875,-0.567075309685538
13,13,13,01-14,0.7683756460194182,-0.7354158591690907,-0.33051447109681736
14,14,14,01-15,0.9704739395441307,0.15327682121251535,-0.02194724664203888
15,15,15,01-16,1.0279591633041691,0.4060582608509359,0.11680221223342616
16,16,16,01-17,1.1168146461246862,0.7967850493713504,0.02647923207362553
17,17,17,01-18,0.9084816092653412,-0.11932384848004025,0.3047497917628733
18,18,18,01-19,0.8577278029166175,-0.3425050313439163,0.32691325870270144
19,19,19,01-20,1.1480659922516947,0.934207498966396,0.1109610532947918
20,20,20,01-21,1.000715207055464,0.286257622851484,-0.3042744297585185
21,21,21,01-22,0.7333000095204599,-0.8896549715965218,-0.4722590387459866
22,22,22,01-23,0.5502405015062181,-1.6946278489485114,-0.4727214624977578
23,23,23,01-24,0.6792725459013527,-1.1272315024048487,-0.8090031320024429
24,24,24,01-25,0.8570968420466926,-0.34527957385454355,-0.742335978323259
25,25,25,01-26,0.6892215364515957,-1.0834825180617147,-0.937013648454135
26,26,26,01-27,1.091680182621105,0.6862605449265875,-0.7830757597880879
27,27,27,01-28,0.4676692074038777,-2.057720992381777,-0.6178255318043231
28,28,28,01-29,0.7602833113210555,-0.7710005169522284,-0.7573267064080212
29,29,29,01-30,0.9047506430029152,-0.1357301345022596,-0.49076196508426895
