,unnamed: 0,unnamed: 0,mth_day,imdb top 250,imdb top 250_norm,imdb top 250_ravg
0,0,0,01-01,,,
1,1,1,01-02,32.11796364918458,-0.4516401424961834,
2,2,2,01-03,31.643308022935706,-0.6147493090687434,
3,3,3,01-04,28.78703646040694,-1.596269485603414,
4,4,4,01-05,24.406972588621922,-3.1014208588367755,-1.8774944365951207
5,5,5,01-06,26.322626855777173,-2.443131451364275,-2.202084461574372
6,6,6,01-07,24.534041283410374,-3.0577553722013326,-2.619689406406773
7,7,7,01-08,26.45052687105134,-2.3991802923716916,-2.4719070044277025
8,8,8,01-09,24.351803537470584,-3.120378978063145,-2.043844484582635
9,9,9,01-10,31.367360425046922,-0.7095750737289949,-1.663031303941434
10,10,10,01-11,31.88106939263,-0.5330457397663708,-1.186616247752908
11,11,11,01-12,32.97173637693944,-0.1582523675170678,-0.7733765990654834
12,12,12,01-13,32.852387515004715,-0.1992650350701764,-0.4436227783379209
13,13,13,01-14,33.66581200898396,0.08025759975285487,-0.19315917157170448
14,14,14,01-15,30.109401699770256,-1.14185605369777,-0.24600944981500397
15,15,15,01-16,35.740528259337246,0.7932065668683037,-0.06774083909026146
16,16,16,01-17,30.958288075891147,-0.8501474092261679,0.12274661293974527
17,17,17,01-18,36.08435846343981,0.9113592968313872,0.08196086353229247
18,18,18,01-19,36.17835414468398,0.943659677109864,0.17768032137235446
19,19,19,01-20,32.95368089457186,-0.16445689669186206,-0.0998362809011067
20,20,20,01-21,31.780691431426114,-0.5675393066573983,-0.1802782517751389
21,21,21,01-22,30.89500721053815,-0.871893046772463,-0.5318599029775887
22,22,22,01-23,29.55374773529948,-1.332799234470361,-0.5871696220091928
23,23,23,01-24,29.94563999644765,-1.1981306103833118,-0.9419961277337096
24,24,24,01-25,35.212630272399345,0.6118013629202396,-1.2546609533078057
25,25,25,01-26,26.75830631851033,-2.2934159310389637,-1.339528155025585
26,26,26,01-27,26.321472123006156,-2.4435282601019748,-1.1353402652295006
27,27,27,01-28,29.413201045042637,-1.38109625707914,-0.9636894397147272
28,28,28,01-29,33.118928015727754,-0.10767189569385384,-1.264487374274689
29,29,29,01-30,32.942713617491734,-0.16822565729467162,-0.9700669106488756
30,30,30,01-31,29.960610352130338,-1.192986244439531,-0.6542134579406639
31,31,31,02-01,31.898973730870384,-0.5268931492840836,-0.4097306680282027
32,32,32,02-02,31.836365793855446,-0.548407543852704,-0.5136667715931836
33,33,33,02-03,33.681942067688276,0.08580048239562751,-0.5563015143100425
34,34,34,02-04,31.30417324636079,-0.7312885170837395,-0.3660880734717857
35,35,35,02-05,32.19829853907021,-0.4240341135958249,-0.25305878000758936
36,36,36,02-06,33.28179266625388,-0.05170559940999015,0.08258900979489638
37,37,37,02-07,33.872498255619256,0.15128261150109448,0.18392635588029413
38,38,38,02-08,37.69687438017858,1.4654791949622104,0.2542198804420661
39,39,39,02-09,35.45132177132986,0.6938245589080139,0.3933196309817669
40,40,40,02-10,32.53151874593818,-0.3095273697131076,0.2446993149969738
41,41,41,02-11,34.62702086991896,0.4105643896423797,0.03350209072769274
42,42,42,02-12,30.68683847798564,-0.9434274953187488,0.00014427925493639324
43,43,43,02-13,30.18493294507132,-1.115900734114592,-0.33974745341794393
44,44,44,02-14,37.11443723476471,1.2653323261256724,-0.54001907087859
45,45,45,02-15,29.51671270114402,-1.3455258371292682,-0.8628119069767965
46,46,46,02-16,29.03471772598925,-1.5111570744769844,-0.9137323110425124
47,47,47,02-17,28.990963535323267,-1.5261926269468595,-0.8521319775118146
48,48,48,02-18,29.79775332887211,-1.2489499197130438,-1.0603263705904504
49,49,49,02-19,31.260492786503487,-0.7462987329304046,-0.93871614211669
50,50,50,02-20,33.479302235128124,0.01616596765385657,-0.3898683692576146
51,51,51,02-21,31.640062861067857,-0.6158644662867057,-0.09159122489978999
52,52,52,02-22,38.61776037709007,1.7819295626774685,0.07464882640819852
53,53,53,02-23,34.19896972133637,0.26347023920008816,0.3895548064289234
54,54,54,02-24,32.700353249624065,-0.2515096118651128,0.7528814145318966
55,55,55,02-25,36.75884330709522,1.143137147193945,0.7630712692426603
56,56,56,02-26,39.82309108498208,2.196125616271696,0.4976558771845794
57,57,57,02-27,31.817980704831875,-0.5547253380221229,0.4162857336251373
58,58,58,02-28,33.98352999823361,0.18943721032898253,0.3810874111541567
59,59,59,02-29,32.77822321416863,-0.22475062215656447,0.09732540609166578
60,60,60,03-01,32.085780243835046,-0.4626995466909963,-0.3492847008647188
61,61,61,03-02,31.804275698830644,-0.5594348831810007,-0.2700366510131282
62,62,62,03-03,32.0251479848747,-0.4835350254666118,-0.40131674516848936
63,63,63,03-04,33.20167483515196,-0.07923703891257958,-0.5177023146777464
64,64,64,03-05,31.69134115509079,-0.5982433546031845,-0.5267493626108407
65,65,65,03-06,30.74609712796832,-0.9230640392121068,-0.7528763212665779
66,66,66,03-07,31.927816140678054,-0.5169818342895622,-0.781382118386289
67,67,67,03-08,27.856032858974853,-1.916196635115424,-0.8791491193291742
68,68,68,03-09,31.52742842927042,-0.6545698081848785,-0.8903603916505566
69,69,69,03-10,31.49463440201816,-0.6658390445698913,-0.9024272178013876
70,70,70,03-11,31.49558906108257,-0.665510988531478,-1.1190709339332119
71,71,71,03-12,30.535406813849978,-0.9954649961170922,-1.0541479555321935
72,72,72,03-13,28.14515348912109,-1.8168441310805088,-0.9391740588567342
73,73,73,03-14,28.989607051710447,-1.5266587647093124,-0.9235554746953998
74,74,74,03-15,33.534906294880855,0.035273571867876274,-0.7960224668000516
75,75,75,03-16,31.767339449882694,-0.5721275396018837,-1.1758000673391449
76,76,76,03-17,33.7223526821096,0.09968705884061073,-0.8288662033871348
77,77,77,03-18,23.90437882417581,-3.2741305993516536,-0.6522214412262914
78,78,78,03-19,34.20272023125121,0.2647590526315535,-0.5849020268234243
79,79,79,03-20,32.073876267312365,-0.4667901917442523,-0.3701513476659643
80,80,80,03-21,34.71032296116193,0.43919005828507934,-0.2892765391802463
81,81,81,03-22,35.51694912215737,0.7163765353428759,0.4939570708706864
82,82,82,03-23,35.13445049400551,0.5849359097549185,0.41824368348101215
83,83,83,03-24,37.57986675008011,1.4252710609539423,0.5120596256121495
84,84,84,03-25,32.88074234139856,-0.18952127170649144,0.3390015394156523
85,85,85,03-26,33.71193005791549,0.09610546104257196,0.3827050951148576
86,86,86,03-27,31.68867815699374,-0.5991584588939036,0.2346138069082005
87,87,87,03-28,36.28002598787653,0.978597869538107,-0.015804549623790368
88,88,88,03-29,32.548733285483195,-0.3036118194850236,-0.03558139505124662
89,89,89,03-30,33.20748899811496,-0.07723907823800304,-0.14841112029751016
90,90,90,03-31,32.535432835543645,-0.3081823442712289,-0.15157110941323848
91,91,91,04-01,31.741890052625074,-0.5808728904350092,-0.3990486685462247
92,92,92,04-02,31.633503822742014,-0.6181183935882737,-0.5838698949742794
93,93,93,04-03,31.95899541867593,-0.5062674852598105,-0.5841399706609706
94,94,94,04-04,29.321700612174762,-1.4125391780533514,-0.2917502505441143
95,95,95,04-05,33.20277339762868,-0.07885953235815027,-0.3312625241091153
96,96,96,04-06,37.6406428722485,1.4461559764299088,-0.13314148941690662
97,97,97,04-07,31.051994198911572,-0.8179465318250154,-0.23310332642615395
98,98,98,04-08,35.092755038512465,0.5706078145649786,0.008748379176517792
99,99,99,04-09,30.21363250583785,-1.1060385073152943,-0.12366523292216446
100,100,100,04-10,33.544502133184075,0.038571055562679035,-0.5495586817530179
101,101,101,04-11,30.89079299964353,-0.8733412049502437,-0.5052308314237707
102,102,102,04-12,30.204418682597947,-1.1092047165552124,-0.7337981455921375
103,103,103,04-13,31.825971431476308,-0.5519794298495316,-0.5528768329779749
104,104,104,04-14,31.10190287760659,-0.8007960704452225,-0.4774260667630619
105,105,105,04-15,33.372571543238,-0.020510631630318504,-0.3200979819576413
106,106,106,04-16,34.86189458050917,0.4912756528521568,-0.09348513743981984
