,unnamed: 0,unnamed: 0,mth_day,campy,campy_norm,campy_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.3905871778173746,-1.1730550710176486,
2,2,2,01-03,2.6479882303664177,-0.673394263378323,
3,3,3,01-04,2.3028459347841563,-1.3433762873572872,
4,4,4,01-05,1.7961482281080945,-2.326965836970791,-1.4071219523249372
5,5,5,01-06,2.5614268153363207,-0.8414252256297299,-1.440856407824786
6,6,6,01-07,1.92104714364346,-2.084515029595844,-1.4951044764466246
7,7,7,01-08,2.286317030308453,-1.3754618040167403,-1.1488816905169372
8,8,8,01-09,2.4803123620750624,-0.9988826751093542,-0.888695548603958
9,9,9,01-10,3.3729892178141805,0.733960428220837,-0.9058632417731328
10,10,10,01-11,2.600360034555224,-0.7658489854929159,-0.591538293541687
11,11,11,01-12,2.5083630301761968,-0.9444313846447776,-0.4833152519136554
12,12,12,01-13,2.89259709849523,-0.1985653402071693,-0.6101954737038353
13,13,13,01-14,2.6208246530702803,-0.7261235542485506,-0.7304438172351099
14,14,14,01-15,2.088137084721435,-1.7601640058504338,-0.7480788596558701
15,15,15,01-16,3.001312475684291,0.01247036703318969,-0.6348784098661523
16,16,16,01-17,2.5458517151739604,-0.8716592400174762,-0.750781820885097
17,17,17,01-18,2.858255370893038,-0.2652286859064715,-0.8123622303343089
18,18,18,01-19,2.5343501493548546,-0.8939858063208377,-0.6112846526230805
19,19,19,01-20,2.4304851831784977,-1.0956060109438224,-0.5363777531237427
20,20,20,01-21,2.7096496711267646,-0.5536985395830635,-0.4964593208798152
21,21,21,01-22,3.2328429196918123,0.4619117640292168,-0.2610792810712418
22,22,22,01-23,2.6692359748789345,-0.6321486465539109,-0.281039026595216
23,23,23,01-24,3.5857937617707534,1.1470515529449687,-0.4386128632652197
24,24,24,01-25,2.4726563831686867,-1.0137442794646832,-0.656898868117286
25,25,25,01-26,1.9434387213436024,-2.0410490309638445,-0.9908207570652118
26,26,26,01-27,2.0349473945431016,-1.8634145686954613,-0.9686084170660298
27,27,27,01-28,2.200720595464164,-1.5416195696583381,-1.1352956867418225
28,28,28,01-29,2.737892306629818,-0.498874606558819,-1.1815799285868955
29,29,29,01-30,3.0705785036785547,0.14692793489021275,-0.8695511349462937
30,30,30,01-31,2.3295959823702796,-1.2914497305351231,-0.5658943726789513
31,31,31,02-01,2.9078914702573178,-0.16887626912023276,-0.3074801415969913
32,32,32,02-02,2.9735229525164444,-0.04147399509140736,-0.3395838865611749
33,33,33,02-03,2.999455585967906,0.008865816833421745,-0.392878132064888
34,34,34,02-04,2.638662537736135,-0.6914970763439205,-0.2393921241465325
35,35,35,02-05,2.905850816282688,-0.17283753813206618,-0.3204702667579135
36,36,36,02-06,2.8040073356608124,-0.3705336830249898,-0.30337459257128524
37,37,37,02-07,2.6572862725574167,-0.6553451247885183,-0.472573484439419
38,38,38,02-08,3.0263641335223803,0.061100050028362274,-0.39281961196238
39,39,39,02-09,2.4764771310906504,-1.0063275343753806,-0.5095646250097748
40,40,40,02-10,2.885174536355052,-0.2129738414816862,-0.4974612528334315
41,41,41,02-11,2.545002551474102,-0.8733076164164356,-0.3474690105065477
42,42,42,02-12,2.841417763174259,-0.29791344996692964,-0.050129068630176486
43,43,43,02-13,3.1208987127430388,0.2446083291727849,0.060250106929209776
44,44,44,02-14,3.945414971615276,1.845139701286589,-0.07364469930820661
45,45,45,02-15,2.8176491686100347,-0.344052481019063,-0.2450082129757517
46,46,46,02-16,2.4713178136011735,-1.0163426789061845,-0.2820880592654556
47,47,47,02-17,2.0153334466076487,-1.9014886984217068,-0.3215084155109098
48,48,48,02-18,2.7268073156378256,-0.5203925277051525,-0.8705011446841683
49,49,49,02-19,2.9990539608517213,0.008086191700059694,-0.8151176869635424
50,50,50,02-20,2.2485281535524217,-1.4488166737529615,-0.33432881020649635
51,51,51,02-21,2.988834421803456,-0.011751734695307195,0.14167103397604086
52,52,52,02-22,3.957392699272024,1.8683905816360915,0.2959998266075637
53,53,53,02-23,3.486605866207233,0.9545103666735164,0.4630809656600021
54,54,54,02-24,3.2038236401679447,0.4055802280839847,0.9266905422302972
55,55,55,02-25,3.5154866335247563,1.0105730260146897,0.9019825935411112
56,56,56,02-26,3.68150337782276,1.3328407856688091,0.4283972896456793
57,57,57,02-27,2.9124643895533167,-0.15999942683042456,0.3228086268672057
58,58,58,02-28,2.4935834050785624,-0.9731212417364988,0.2584284427187916
59,59,59,02-29,3.1602408699430846,0.32097839000267525,-0.2003163479142136
60,60,60,03-01,3.00483032018278,0.01929912319349957,-0.5830353287815084
61,61,61,03-02,2.097548022111051,-1.7418957177833414,-0.8114059581706271
62,62,62,03-03,2.498553660739702,-0.9634730995349604,-0.7579291610328154
63,63,63,03-04,2.206591451624454,-1.5302232031651362,-0.8046299640991658
64,64,64,03-05,2.6588753430465344,-0.6522604589096292,-0.670893134876475
65,65,65,03-06,3.0158929161266883,0.04077357160457349,-0.6595505737695451
66,66,66,03-07,3.418198750287958,0.8217200985296439,-0.6514973236680272
67,67,67,03-08,2.132606851495561,-1.6738403511417614,-0.5422225529360262
68,68,68,03-09,2.5234455276327443,-0.9151535989258536,-0.5557453541189491
69,69,69,03-10,2.5443498738192467,-0.8745745787731303,-0.719257275530592
70,70,70,03-11,2.6170775889940487,-0.7333972660071669,-0.9135755643400658
